Entity,Label,Role,Verb,Voice,Sentiment,Uncertainty,Is_Violent,Is_Pronoun,Identity_Group
israel,ISR_POLITICAL,AGENT,manage,active,0.0,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,grant,active,0.0,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,grant,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,condemn,active,-0.7651737332344055,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,condemn,active,-0.7651737332344055,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,describe,active,-0.7651737332344055,0.0,False,False,NAMED_ENTITY
we,IN_GROUP,PATIENT,defend,active,-0.8281734585762024,0.0154,False,True,IN_GROUP
un,INTL_ACTORS,AGENT,address,active,-0.8281734585762024,0.0154,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,address,active,-0.8281734585762024,0.0154,False,False,NAMED_ENTITY
we,IN_GROUP,AGENT,lose,active,-0.7498258352279663,0.0152,False,True,IN_GROUP
usa,INTL_ACTORS,PATIENT,lose,active,-0.7498258352279663,0.0152,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,PATIENT,destroy,passive,-0.7498258352279663,0.0152,True,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,bring,active,0.904916524887085,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,AGENT,look,active,-0.7926293611526489,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,AGENT,mean,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,AGENT,impose,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,preserve,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,bid,active,-0.8538371324539185,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,AGENT,remain,active,-0.8538371324539185,0.0,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,AGENT,bleed,active,-0.8538371324539185,0.0,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,PATIENT,leave,active,0.4823678135871887,0.0161,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,AGENT,depart,active,0.0,0.0,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,AGENT,remain,active,0.0,0.0,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,AGENT,bid,active,0.0,0.0,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,AGENT,lapse,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,bid,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,AGENT,remain,active,0.0,0.0,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,AGENT,bleed,active,0.0,0.0,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,PATIENT,leave,active,0.47882696986198425,0.0164,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,revoke,passive,-0.5627635717391968,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,have,active,0.0,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,have,active,0.0,0.0,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,AGENT,follow,active,0.0,0.0,False,False,NAMED_ENTITY
usa,INTL_ACTORS,AGENT,head,active,-0.7538674473762512,0.012,False,False,NAMED_ENTITY
usa,INTL_ACTORS,AGENT,play,active,-0.7538674473762512,0.012,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,deny,active,-0.7538674473762512,0.012,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,provide,active,-0.7538674473762512,0.012,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,ensure,active,-0.7538674473762512,0.012,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,ensure,active,-0.7538674473762512,0.012,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,happen,active,-0.7836349606513977,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,serve,active,-0.7836349606513977,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,explain,active,-0.8071979880332947,0.0172,False,False,NAMED_ENTITY
hamas,PAL_ORG,PATIENT,contain,active,-0.8071979880332947,0.0172,False,False,NAMED_ENTITY
