Entity,Label,Role,Verb,Voice,Sentiment,Uncertainty,Is_Violent,Is_Pronoun,Identity_Group
pa,PAL_POLITICAL,AGENT,participate,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,produce,active,0.0,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,rally,active,0.0,0.0408,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,resolve,active,0.0,0.0408,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,want,active,0.0,0.0408,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,integrate,passive,0.623979389667511,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,exist,active,0.623979389667511,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,defend,active,0.623979389667511,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,defend,active,0.623979389667511,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,fuel,active,-0.7886958718299866,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,blame,active,-0.7886958718299866,0.0,False,False,NAMED_ENTITY
iran,INTL_ACTORS,AGENT,carry,active,-0.7493950724601746,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,exercise,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,discuss,active,0.0,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,leak,active,-0.7191484570503235,0.0714,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,undermine,active,-0.7849999070167542,0.0303,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,pressure,active,-0.7849999070167542,0.0303,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,pressure,active,-0.7849999070167542,0.0303,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,take,active,-0.7849999070167542,0.0303,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,undermine,active,-0.7849999070167542,0.0303,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,emerge,active,-0.7849999070167542,0.0303,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,come,active,0.0,0.0312,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,cooperation,active,0.0,0.0312,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,welcome,active,0.0,0.0312,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,respect,active,0.0,0.1667,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,respect,active,0.0,0.1667,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,reshape,active,0.0,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,reshape,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,stick,active,-0.5318571329116821,0.0,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,AGENT,follow,active,-0.5318571329116821,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,make,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,make,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,release,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,act,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,describe,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,describe,active,0.0,0.0,False,False,NAMED_ENTITY
