Entity,Label,Role,Verb,Voice,Sentiment,Uncertainty,Is_Violent,Is_Pronoun,Identity_Group
kiev,UKR_POLITICAL,AGENT,strive,active,-0.8515574932098389,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,continue,active,-0.8515574932098389,0.0,False,False,NAMED_ENTITY
kiev,UKR_POLITICAL,AGENT,continue,active,-0.8563435077667236,0.0333,False,False,NAMED_ENTITY
zelensky,UKR_POLITICAL,AGENT,expect,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,come,active,-0.7438170909881592,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,AGENT,leave,active,-0.5286710858345032,0.0,False,False,NAMED_ENTITY
kiev,UKR_POLITICAL,PATIENT,leave,active,-0.5286710858345032,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,force,passive,-0.5008229613304138,0.027,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,force,passive,-0.5008229613304138,0.027,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,take,active,0.0,0.0256,False,False,NAMED_ENTITY
eu,WEST_ACTORS,PATIENT,disavow,active,0.0,0.0256,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,take,passive,-0.49418479204177856,0.0247,False,False,NAMED_ENTITY
kiev,UKR_POLITICAL,AGENT,achieve,active,-0.5582556128501892,0.0256,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,resolve,passive,0.0,0.0,False,False,NAMED_ENTITY
trump,WEST_ACTORS,AGENT,have,active,-0.6864327788352966,0.0,False,False,NAMED_ENTITY
trump,WEST_ACTORS,PATIENT,have,active,-0.6864327788352966,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,shock,passive,-0.5065429210662842,0.0,False,False,NAMED_ENTITY
trump,WEST_ACTORS,AGENT,look,active,-0.6260309219360352,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,point,active,0.0,0.0263,False,False,NAMED_ENTITY
usa,WEST_ACTORS,PATIENT,point,active,0.0,0.0263,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,prioritize,active,0.0,0.0263,False,False,NAMED_ENTITY
kiev,UKR_POLITICAL,PATIENT,consider,active,-0.8692181706428528,0.0,False,False,NAMED_ENTITY
kiev,UKR_POLITICAL,AGENT,face,active,-0.7417644262313843,0.0286,False,False,NAMED_ENTITY
trump,WEST_ACTORS,AGENT,see,active,0.0,0.0,False,False,NAMED_ENTITY
trump,WEST_ACTORS,AGENT,change,active,0.0,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,AGENT,have,active,0.0,0.0,False,False,NAMED_ENTITY
usa,WEST_ACTORS,PATIENT,have,active,0.0,0.0,False,False,NAMED_ENTITY
trump,WEST_ACTORS,AGENT,deny,active,-0.5756835341453552,0.0,False,False,NAMED_ENTITY
