Entity,Label,Role,Verb,Voice,Sentiment,Uncertainty,Is_Violent,Is_Pronoun,Identity_Group
ukraine,UKR_POLITICAL,PATIENT,need,active,0.5198779702186584,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,need,active,0.5198779702186584,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,preserve,active,0.5198779702186584,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,preserve,active,0.5198779702186584,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,stop,active,0.5198779702186584,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,avoid,active,0.0,0.0175,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,consider,active,0.0,0.0175,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,place,active,0.0,0.0175,False,False,NAMED_ENTITY
eu,WEST_ACTORS,AGENT,consider,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,consider,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,file,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,file,active,0.0,0.0,False,False,NAMED_ENTITY
eu,WEST_ACTORS,AGENT,recognize,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,deem,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,deem,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,submit,active,-0.5365664958953857,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,submit,active,-0.5365664958953857,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,eliminate,active,-0.7578094005584717,0.0185,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,amount,active,-0.7578094005584717,0.0185,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,change,active,-0.500425398349762,0.0417,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,change,active,-0.500425398349762,0.0417,False,False,NAMED_ENTITY
civilians,CIVILIANS,AGENT,constitute,active,-0.8462578654289246,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,constitute,active,-0.5006816387176514,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,establish,passive,-0.7917285561561584,0.0455,False,False,NAMED_ENTITY
we,IN_GROUP,AGENT,ignore,active,0.0,0.0476,False,True,IN_GROUP
un,INTL_ACTORS,PATIENT,share,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,indicate,active,0.0,0.0323,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,amount,active,0.0,0.0323,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,wag,active,-0.8440160751342773,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,wag,active,-0.8440160751342773,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,wag,active,-0.8440160751342773,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,wag,active,-0.8440160751342773,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,look,active,0.0,0.0476,False,False,NAMED_ENTITY
poland,WEST_ACTORS,AGENT,join,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,join,active,0.0,0.0,False,False,NAMED_ENTITY
eu,WEST_ACTORS,PATIENT,approach,passive,0.0,0.0,False,False,NAMED_ENTITY
eu,WEST_ACTORS,AGENT,approach,passive,0.0,0.0,False,False,NAMED_ENTITY
we,IN_GROUP,AGENT,call,active,-0.6199283599853516,0.0,False,True,IN_GROUP
russia,RU_POLITICAL,AGENT,seek,active,-0.8657406568527222,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,silence,active,-0.8657406568527222,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,undermine,active,-0.8892080187797546,0.0,False,False,NAMED_ENTITY
we,IN_GROUP,AGENT,demonstrate,active,-0.7511152625083923,0.0,False,True,IN_GROUP
un,INTL_ACTORS,PATIENT,demonstrate,active,-0.7511152625083923,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,extend,active,-0.7511152625083923,0.0,False,False,NAMED_ENTITY
civilians,CIVILIANS,PATIENT,weaponize,active,-0.7511152625083923,0.0,False,False,NAMED_ENTITY
we,IN_GROUP,AGENT,secure,active,-0.5512114763259888,0.0217,False,True,IN_GROUP
we,IN_GROUP,AGENT,lose,active,-0.5512114763259888,0.0217,False,True,IN_GROUP
russia,RU_POLITICAL,AGENT,want,active,-0.6806487441062927,0.0,False,False,NAMED_ENTITY
they,OUT_GROUP,PATIENT,protect,active,0.0,0.0833,False,True,OUT_GROUP
ukraine,UKR_POLITICAL,AGENT,place,active,-0.66588294506073,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,place,active,-0.66588294506073,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,understand,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,need,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,make,active,0.8454682230949402,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,make,active,0.8454682230949402,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,establish,active,0.8454682230949402,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,establish,active,0.8454682230949402,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,move,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,have,active,0.0,0.0556,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,have,active,0.0,0.0556,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,study,active,0.0,0.0588,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,reflect,active,-0.7979753613471985,0.0455,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,reflect,active,-0.7979753613471985,0.0455,False,False,NAMED_ENTITY
we,IN_GROUP,AGENT,aspire,active,0.0,0.0,False,True,IN_GROUP
russia,RU_POLITICAL,AGENT,include,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,include,active,0.0,0.0,False,False,NAMED_ENTITY
kremlin,RU_POLITICAL,PATIENT,diminish,active,-0.706662118434906,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,supply,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,highlight,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,emerge,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,cut,active,-0.5870339274406433,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,continue,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,influence,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,point,active,0.0,0.0,False,False,NAMED_ENTITY
putin,RU_POLITICAL,PATIENT,topple,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,foster,active,0.0,0.0,False,False,NAMED_ENTITY
putin,RU_POLITICAL,PATIENT,dismantle,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,underscore,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,require,active,0.0,0.0,False,False,NAMED_ENTITY
putin,RU_POLITICAL,PATIENT,require,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,restore,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,enable,active,0.0,0.0,False,False,NAMED_ENTITY
putin,RU_POLITICAL,PATIENT,necessitate,active,-0.677778959274292,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,protect,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,protect,active,0.0,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,border,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,fragment,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,include,active,0.0,0.0303,False,False,NAMED_ENTITY
kremlin,RU_POLITICAL,PATIENT,counter,active,0.0,0.0303,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,achieve,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,AGENT,boast,active,0.5074772834777832,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,AGENT,enhance,active,0.5074772834777832,0.0,False,False,NAMED_ENTITY
ukraine,UKR_POLITICAL,PATIENT,enhance,active,0.5074772834777832,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,utilize,active,0.0,0.0,False,False,NAMED_ENTITY
russia,RU_POLITICAL,PATIENT,exceed,active,0.0,0.0,False,False,NAMED_ENTITY
putin,RU_POLITICAL,AGENT,fall,active,-0.8513885736465454,0.0,False,False,NAMED_ENTITY
trump,WEST_ACTORS,AGENT,trump,active,0.0,0.0,False,False,NAMED_ENTITY
trump,WEST_ACTORS,PATIENT,have,active,0.0,0.0,False,False,NAMED_ENTITY
poland,WEST_ACTORS,AGENT,formulate,active,0.0,0.0,False,False,NAMED_ENTITY
