Entity,Label,Role,Verb,Voice,Sentiment,Uncertainty,Is_Violent,Is_Pronoun,Identity_Group
pa,PAL_POLITICAL,PATIENT,manage,active,0.0,0.0476,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,prove,active,0.8341217637062073,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,follow,active,0.8341217637062073,0.0,False,False,NAMED_ENTITY
usa,INTL_ACTORS,AGENT,report,active,0.8341217637062073,0.0,False,False,NAMED_ENTITY
trump,INTL_ACTORS,PATIENT,incentivize,passive,0.0,0.0,False,False,NAMED_ENTITY
usa,INTL_ACTORS,AGENT,call,active,0.0,0.0,False,False,NAMED_ENTITY
trump,INTL_ACTORS,PATIENT,impose,active,0.0,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,expect,passive,0.0,0.0303,False,False,NAMED_ENTITY
usa,INTL_ACTORS,AGENT,demonstrate,active,-0.648412823677063,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,AGENT,continue,active,-0.8232740759849548,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,AGENT,fall,active,0.846378743648529,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,fall,active,0.846378743648529,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,stand,active,-0.8475283980369568,0.0769,False,False,NAMED_ENTITY
we,IN_GROUP,AGENT,know,active,-0.7171010375022888,0.0227,False,True,IN_GROUP
we,IN_GROUP,AGENT,achieve,active,-0.7171010375022888,0.0227,False,True,IN_GROUP
we,IN_GROUP,PATIENT,divide,active,-0.5254295468330383,0.0,False,True,IN_GROUP
israel,ISR_POLITICAL,PATIENT,have,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,continue,active,-0.5879982113838196,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,choose,active,-0.5879982113838196,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,choose,active,-0.5879982113838196,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,live,active,0.0,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,continue,active,0.0,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,allow,active,0.0,0.0,False,False,NAMED_ENTITY
trump,INTL_ACTORS,PATIENT,address,active,0.0,0.0,False,False,NAMED_ENTITY
trump,INTL_ACTORS,PATIENT,ask,active,0.0,0.0,False,False,NAMED_ENTITY
trump,INTL_ACTORS,PATIENT,do,active,0.0,0.0,False,False,NAMED_ENTITY
trump,INTL_ACTORS,PATIENT,push,active,0.0,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,advertise,active,-0.7083802819252014,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,commit,active,-0.7083802819252014,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,commit,active,-0.7083802819252014,0.0,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,AGENT,travel,active,-0.7083802819252014,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,weaken,active,-0.6797401905059814,0.0,False,False,NAMED_ENTITY
syria,INTL_ACTORS,PATIENT,reinforce,active,-0.6797401905059814,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,pose,active,0.0,0.0,False,False,NAMED_ENTITY
trump,INTL_ACTORS,AGENT,abandon,active,-0.8948434591293335,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,AGENT,become,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,unite,active,0.5998124480247498,0.0345,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,unite,active,0.5998124480247498,0.0345,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,begin,active,0.0,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,approach,active,0.0,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,approach,active,0.0,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,face,active,0.0,0.0,False,False,NAMED_ENTITY
lebanon,INTL_ACTORS,AGENT,end,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,begin,active,0.0,0.0,False,False,NAMED_ENTITY
