Entity,Label,Role,Verb,Voice,Sentiment,Uncertainty,Is_Violent,Is_Pronoun,Identity_Group
we,IN_GROUP,AGENT,represent,active,0.7893360257148743,0.0,False,True,IN_GROUP
we,IN_GROUP,AGENT,help,active,0.5702022314071655,0.0,False,True,IN_GROUP
un,INTL_ACTORS,PATIENT,provide,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,face,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,include,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,include,active,0.0,0.0,False,False,NAMED_ENTITY
saudi arabia,INTL_ACTORS,PATIENT,broaden,active,0.0,0.0,False,False,NAMED_ENTITY
turkey,INTL_ACTORS,PATIENT,enter,active,0.0,0.0,False,False,NAMED_ENTITY
turkey,INTL_ACTORS,AGENT,fit,active,0.0,0.0,False,False,NAMED_ENTITY
turkey,INTL_ACTORS,PATIENT,fit,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,AGENT,accompany,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,accompany,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,secure,active,-0.5663466453552246,0.0196,False,False,NAMED_ENTITY
saudi arabia,INTL_ACTORS,AGENT,show,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,show,active,0.0,0.0,False,False,NAMED_ENTITY
hamas,PAL_ORG,AGENT,amount,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,AGENT,maintain,active,0.0,0.0667,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,AGENT,extend,active,0.0,0.04,False,False,NAMED_ENTITY
turkey,INTL_ACTORS,PATIENT,extend,active,0.0,0.04,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,underscore,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,underscore,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,replace,active,0.0,0.0,False,False,NAMED_ENTITY
saudi arabia,INTL_ACTORS,PATIENT,reflect,active,0.0,0.0294,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,unfold,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,AGENT,echo,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,echo,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,AGENT,behave,active,-0.5804077982902527,0.0,False,False,NAMED_ENTITY
netanyahu,ISR_POLITICAL,AGENT,put,active,0.0,0.0,False,False,NAMED_ENTITY
netanyahu,ISR_POLITICAL,PATIENT,put,active,0.0,0.0,False,False,NAMED_ENTITY
hamas,PAL_ORG,PATIENT,tell,passive,-0.8205270171165466,0.0,False,False,NAMED_ENTITY
hamas,PAL_ORG,PATIENT,defeat,passive,-0.8205270171165466,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,keep,active,-0.8205270171165466,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,make,passive,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,tell,active,-0.6952751278877258,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,unfold,active,-0.5645738840103149,0.0,False,False,NAMED_ENTITY
iran,INTL_ACTORS,AGENT,strike,active,0.0,0.0,True,False,NAMED_ENTITY
hamas,PAL_ORG,AGENT,continue,active,-0.5753512382507324,0.0,False,False,NAMED_ENTITY
idf,ISR_MILITARY,AGENT,need,active,-0.5753512382507324,0.0,False,False,NAMED_ENTITY
idf,ISR_MILITARY,PATIENT,need,active,-0.5753512382507324,0.0,False,False,NAMED_ENTITY
we,IN_GROUP,AGENT,keep,active,-0.6579615473747253,0.1,False,True,IN_GROUP
we,IN_GROUP,AGENT,call,active,-0.8680289387702942,0.05,False,True,IN_GROUP
un,INTL_ACTORS,PATIENT,wound,passive,-0.6472962498664856,0.0,True,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,continue,active,-0.6472962498664856,0.0,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,AGENT,seem,active,0.5935611128807068,0.0714,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,PATIENT,rehabilitate,passive,0.5935611128807068,0.0714,False,False,NAMED_ENTITY
hamas,PAL_ORG,PATIENT,dismantle,active,0.0,0.0227,False,False,NAMED_ENTITY
hostages,CIVILIANS,PATIENT,return,active,0.0,0.0227,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,PATIENT,demilitarize,active,0.0,0.0227,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,maintain,active,0.0,0.0227,False,False,NAMED_ENTITY
we,IN_GROUP,AGENT,see,active,-0.6856294870376587,0.0,False,True,IN_GROUP
un,INTL_ACTORS,PATIENT,see,active,-0.6856294870376587,0.0,False,False,NAMED_ENTITY
hamas,PAL_ORG,PATIENT,resume,active,0.0,0.0,False,False,NAMED_ENTITY
hamas,PAL_ORG,PATIENT,eliminate,passive,-0.5471056699752808,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,test,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,test,active,0.0,0.0,False,False,NAMED_ENTITY
idf,ISR_MILITARY,PATIENT,wound,passive,-0.8039242029190063,0.0,True,False,NAMED_ENTITY
we,IN_GROUP,AGENT,keep,active,-0.8731546401977539,0.0,False,True,IN_GROUP
un,INTL_ACTORS,PATIENT,use,active,-0.8731546401977539,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,cover,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,watch,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,take,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,take,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,AGENT,have,active,-0.7650772333145142,0.0167,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,AGENT,tell,active,-0.7650772333145142,0.0167,False,False,NAMED_ENTITY
we,IN_GROUP,AGENT,have,active,-0.7650772333145142,0.0167,False,True,IN_GROUP
we,IN_GROUP,AGENT,fear,active,-0.7650772333145142,0.0167,False,True,IN_GROUP
we,IN_GROUP,AGENT,have,active,-0.7650772333145142,0.0167,False,True,IN_GROUP
we,IN_GROUP,AGENT,fear,active,-0.7650772333145142,0.0167,False,True,IN_GROUP
we,IN_GROUP,AGENT,have,active,-0.8734833002090454,0.0,False,True,IN_GROUP
we,IN_GROUP,AGENT,fear,active,-0.8734833002090454,0.0,False,True,IN_GROUP
we,IN_GROUP,PATIENT,force,passive,-0.8989529013633728,0.0,False,True,IN_GROUP
we,IN_GROUP,AGENT,have,active,-0.8989529013633728,0.0,False,True,IN_GROUP
we,IN_GROUP,AGENT,fear,active,-0.8989529013633728,0.0,False,True,IN_GROUP
gaza,PAL_RESISTANCE,PATIENT,end,active,0.6022888422012329,0.0,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,AGENT,debut,active,0.0,0.0,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,PATIENT,leave,active,0.0,0.0,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,PATIENT,define,passive,0.0,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,possess,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,possess,active,0.0,0.0,False,False,NAMED_ENTITY
pa,PAL_POLITICAL,PATIENT,satisfy,active,0.0,0.0,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,PATIENT,enter,active,-0.7485097050666809,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,funnel,passive,0.0,0.0,False,False,NAMED_ENTITY
egypt,INTL_ACTORS,AGENT,provide,active,-0.8793597221374512,0.0,False,False,NAMED_ENTITY
hamas,PAL_ORG,PATIENT,play,active,0.0,0.0526,False,False,NAMED_ENTITY
hamas,PAL_ORG,AGENT,become,active,0.0,0.0526,False,False,NAMED_ENTITY
egypt,INTL_ACTORS,AGENT,construct,active,-0.7886338829994202,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,construct,active,-0.7886338829994202,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,point,active,-0.7886338829994202,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,designate,active,-0.7886338829994202,0.0,False,False,NAMED_ENTITY
egypt,INTL_ACTORS,AGENT,suggest,active,-0.7604404091835022,0.0294,False,False,NAMED_ENTITY
gaza,PAL_RESISTANCE,PATIENT,maintain,active,-0.7604404091835022,0.0294,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,entrust,active,-0.7548798322677612,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,create,active,-0.6761900186538696,0.0,False,False,NAMED_ENTITY
iran,INTL_ACTORS,PATIENT,detect,active,-0.8147674798965454,0.0,False,False,NAMED_ENTITY
usa,INTL_ACTORS,AGENT,oppose,active,-0.8664622902870178,0.0645,False,False,NAMED_ENTITY
usa,INTL_ACTORS,PATIENT,oppose,active,-0.8664622902870178,0.0645,False,False,NAMED_ENTITY
usa,INTL_ACTORS,AGENT,believe,active,-0.8664622902870178,0.0645,False,False,NAMED_ENTITY
usa,INTL_ACTORS,AGENT,deter,active,-0.639640212059021,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,undertake,active,-0.639640212059021,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,deter,active,-0.639640212059021,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,anticipate,active,-0.5749955773353577,0.0,False,False,NAMED_ENTITY
syria,INTL_ACTORS,AGENT,deny,active,-0.5749955773353577,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,lead,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,PATIENT,underscore,active,0.0,0.0,False,False,NAMED_ENTITY
un,INTL_ACTORS,AGENT,come,active,-0.6293727159500122,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,PATIENT,make,active,0.0,0.0,False,False,NAMED_ENTITY
israel,ISR_POLITICAL,AGENT,reach,active,0.0,0.0,False,False,NAMED_ENTITY
