label,entity,adjective,is_negated,sentiment,competence,morality,dehuman_flag,negated_dehuman_flag,dehuman_category
ISR_POLITICAL,israel,vague,False,-0.7652,-1.4852,0.1203,0,0,
ISR_POLITICAL,israel,arbitrary,False,-0.7652,-1.1029,-0.8091,0,0,
ISR_POLITICAL,israel,politicized,False,-0.7652,-1.8392,-1.0436,0,0,
INTL_ACTORS,un,united,False,-0.8282,0.3318,0.4007,0,0,
PAL_POLITICAL,pa,legitimate,False,-0.8282,-0.1462,0.1693,0,0,
INTL_ACTORS,un,unequal,False,-0.7498,-1.4327,-0.4645,0,0,
PAL_RESISTANCE,gaza,urban,False,-0.7498,0.2741,0.4435,0,0,
PAL_RESISTANCE,gaza,social,False,-0.7498,0.8349,0.5586,0,0,
PAL_POLITICAL,pa,dominant,False,-0.8538,0.2861,-0.4271,0,0,
PAL_POLITICAL,pa,dominant,False,0.0,0.2861,-0.4271,0,0,
PAL_ORG,hamas,responsibilitiespolitical,False,0.0,0.0,0.0,0,0,
PAL_ORG,hamas,frank,False,-0.5575,-0.2681,0.4615,0,0,
ISR_POLITICAL,israel,not_technical,True,0.6138,-1.635,-0.1399,0,0,
ISR_POLITICAL,israel,regulatory,False,-0.6138,0.1925,-0.9479,0,0,
PAL_RESISTANCE,gaza,subject,False,-0.6138,0.1535,0.4407,0,0,
ISR_POLITICAL,israel,terrorist,False,-0.8208,-0.5389,-2.5498,0,0,
PAL_POLITICAL,pa,sensitive,False,-0.8219,0.2106,0.1923,0,0,
PAL_POLITICAL,pa,collective,False,-0.7284,0.1211,0.3669,0,0,
PAL_POLITICAL,pa,capable,False,-0.7284,1.7875,0.2008,0,0,
ISR_POLITICAL,israel,not_content,True,0.8594,-1.1678,-0.6042,0,0,
PAL_POLITICAL,pa,dangerous,False,-0.9249,-1.102,-1.671,0,0,
PAL_POLITICAL,pa,modern,False,-0.9249,1.5079,0.6621,0,0,
PAL_POLITICAL,pa,capable,False,-0.9249,1.7875,0.2008,0,0,
ISR_POLITICAL,israel,infernal,False,-0.9249,-0.8265,-1.3682,0,0,
PAL_POLITICAL,pa,integrated,False,-0.8428,2.8531,-0.1211,0,0,
PAL_POLITICAL,pa,capable,False,-0.8458,1.7875,0.2008,0,0,
INTL_ACTORS,un,absent,False,-0.6883,-1.3505,0.2149,0,0,
PAL_POLITICAL,pa,human,False,-0.8689,0.5286,0.3597,0,0,
PAL_POLITICAL,pa,human,False,-0.8689,0.5286,0.3597,0,0,
PAL_POLITICAL,pa,social,False,-0.8328,0.8349,0.5586,0,0,
PAL_POLITICAL,pa,practical,False,-0.8857,1.7972,1.1803,0,0,
INTL_ACTORS,un,unconditional,False,-0.7698,-0.1656,0.8196,0,0,
PAL_POLITICAL,palestine,human,False,0.0,0.5286,0.3597,0,0,
INTL_ACTORS,un,unequal,False,0.0,-1.4327,-0.4645,0,0,
PAL_POLITICAL,pa,balanced,False,-0.8743,1.1237,1.1284,0,0,
PAL_POLITICAL,pa,harsh,False,0.0,-0.9191,-1.0979,0,0,
PAL_POLITICAL,pa,organizational,False,-0.5963,1.1951,-0.0341,0,0,
ISR_POLITICAL,netanyahu,widespread,False,-0.9228,-0.2146,-0.7277,0,0,
PAL_POLITICAL,pa,complex,False,0.0,1.0454,-0.0222,0,0,
PAL_POLITICAL,pa,capable,False,0.0,1.7875,0.2008,0,0,
INTL_ACTORS,un,fateful,False,-0.5746,-0.8399,-0.1965,0,0,
PAL_POLITICAL,pa,reliable,False,0.0,1.8482,0.7718,0,0,
ISR_POLITICAL,israel,mainstream,False,-0.7826,0.0655,0.1365,0,0,
PAL_POLITICAL,pa,poor,False,-0.8389,-1.7811,-0.1785,0,0,
PAL_ORG,hamas,transnational,False,0.0,0.3091,-1.1469,0,0,
ISR_POLITICAL,israel,logical,False,0.0,0.505,0.4526,0,0,
ISR_POLITICAL,israel,simple,False,0.0,1.1249,0.9273,0,0,
PAL_POLITICAL,pa,capable,False,0.8928,1.7875,0.2008,0,0,
PAL_POLITICAL,pa,spiritual,False,0.0,0.6504,1.3528,0,0,
INTL_ACTORS,trump,countless,False,-0.7858,-0.0183,0.1703,0,0,
PAL_POLITICAL,pa,competent,False,0.0,0.272,0.5042,0,0,
INTL_ACTORS,un,massive,False,-0.8415,0.1972,-0.7881,0,0,
INTL_ACTORS,un,vital,False,-0.8415,0.7278,0.6316,0,0,
PAL_RESISTANCE,gaza,technological,False,0.0,1.4148,0.038,0,0,
INTL_ACTORS,un,artificial,False,0.0,0.1137,-0.229,0,0,
