label,entity,adjective,is_negated,sentiment,competence,morality,dehuman_flag,negated_dehuman_flag,dehuman_category
INTL_ACTORS,un,coherent,False,0.0,0.3077,0.8538,0,0,
PAL_POLITICAL,pa,unlimited,False,0.0,1.2299,0.1783,0,0,
PAL_POLITICAL,pa,sovereign,False,0.624,-0.478,0.455,0,0,
PAL_POLITICAL,pa,capable,False,0.624,1.7875,0.2008,0,0,
PAL_POLITICAL,pa,sovereign,False,0.624,-0.478,0.455,0,0,
PAL_POLITICAL,pa,capable,False,0.624,1.7875,0.2008,0,0,
PAL_POLITICAL,pa,antisemitic,False,-0.7887,-1.1636,-2.0154,0,0,
INTL_ACTORS,iran,indiscriminate,False,-0.785,-1.4499,-1.5218,0,0,
ISR_POLITICAL,israel,net,False,0.7219,0.7177,0.3606,0,0,
ISR_POLITICAL,israel,wartime,False,-0.7185,-0.2271,-0.1132,0,0,
INTL_ACTORS,iran,brutal,False,0.0,-0.8285,-2.3151,0,0,
INTL_ACTORS,iran,unjustified,False,0.0,-2.1718,-1.2313,0,0,
INTL_ACTORS,iran,obvious,False,0.0,-0.5387,0.0115,0,0,
ISR_POLITICAL,israel,careless,False,0.0,-2.5734,-0.4388,0,0,
PAL_POLITICAL,pa,very,False,0.0,0.7466,0.6939,0,0,
ISR_POLITICAL,israel,dear,False,0.8828,-0.3313,0.6703,0,0,
INTL_ACTORS,iran,wanton,False,-0.824,-1.316,-0.7438,0,0,
INTL_ACTORS,iran,not_unanswered,True,0.824,0.9316,-0.0746,0,0,
INTL_ACTORS,un,not_unanswered,True,0.824,0.9316,-0.0746,0,0,
INTL_ACTORS,iran,destabilizing,False,-0.7733,-1.3461,-1.8857,0,0,
ISR_POLITICAL,israel,social,False,0.0,0.8349,0.5586,0,0,
PAL_POLITICAL,pa,bearable,False,0.0,-1.2141,0.5544,0,0,
INTL_ACTORS,un,much,False,-0.5345,0.4329,0.583,0,0,
INTL_ACTORS,usa,satisfying,False,-0.4949,0.4556,1.0766,0,0,
ISR_POLITICAL,israel,familiar,False,-0.6351,0.5019,0.3695,0,0,
INTL_ACTORS,un,geopolitical,False,-0.6158,-0.0148,-0.6893,0,0,
PAL_POLITICAL,pa,advanced,False,-0.5829,2.9294,-0.3625,0,0,
ISR_POLITICAL,israel,far,False,-0.8458,0.2577,0.5521,0,0,
INTL_ACTORS,un,terrorist,False,-0.8553,-0.5389,-2.5498,0,0,
INTL_ACTORS,un,transnational,False,-0.8553,0.3091,-1.1469,0,0,
INTL_ACTORS,un,criminal,False,-0.8553,-0.7445,-1.6987,0,0,
PAL_POLITICAL,pa,intact,False,0.0,-0.5806,0.7118,0,0,
INTL_ACTORS,iran,northwestern,False,0.0,-0.4346,-0.2072,0,0,
PAL_POLITICAL,pa,separatist,False,-0.7141,-0.4337,-1.6399,0,0,
PAL_POLITICAL,pa,capable,False,-0.7141,1.7875,0.2008,0,0,
ISR_POLITICAL,israel,executive,False,0.0,0.8734,-0.3271,0,0,
ISR_POLITICAL,israel,independent,False,0.0,1.0854,0.372,0,0,
ISR_POLITICAL,israel,qualitative,False,0.0,0.9776,0.8638,0,0,
INTL_ACTORS,iran,dead,False,-0.875,-0.9736,-0.1385,0,0,
ISR_POLITICAL,israel,persistent,False,-0.6151,-0.5376,-0.5337,0,0,
ISR_POLITICAL,israel,subsequent,False,-0.6151,-0.3133,-0.2264,0,0,
INTL_ACTORS,iran,mortal,False,-0.5507,-0.9237,0.2757,0,0,
INTL_ACTORS,iran,mortal,False,-0.5507,-0.9237,0.2757,0,0,
INTL_ACTORS,iran,vulnerable,False,-0.5507,-1.5936,-0.5574,0,0,
INTL_ACTORS,un,remarkable,False,0.0,1.238,0.8918,0,0,
ISR_POLITICAL,israel,lucky,False,0.4363,-0.2971,0.4099,0,0,
PAL_POLITICAL,pa,advanced,False,0.0,2.9294,-0.3625,0,0,
ISR_POLITICAL,israel,daring,False,0.9027,-0.0755,-0.2206,0,0,
PAL_POLITICAL,pa,painful,False,-0.8848,-1.4033,-0.4238,0,0,
ISR_POLITICAL,israel,existential,False,-0.5346,-0.631,0.5361,0,0,
PAL_POLITICAL,pa,vast,False,-0.5346,0.5041,-0.021,0,0,
PAL_POLITICAL,pa,capable,False,-0.5346,1.7875,0.2008,0,0,
ISR_POLITICAL,israel,defensive,False,0.0,-0.1636,-0.3229,0,0,
ISR_POLITICAL,israel,defensive,False,0.0,-0.1636,-0.3229,0,0,
ISR_POLITICAL,israel,chemical,False,-0.682,0.9335,-0.5013,0,0,
INTL_ACTORS,un,unclear,False,0.0,-1.4318,-0.4139,0,0,
INTL_ACTORS,iran,immense,False,0.0,0.4737,0.342,0,0,
INTL_ACTORS,iran,cooperative,False,0.0,1.0949,0.2454,0,0,
PAL_POLITICAL,pa,expansionist,False,0.0,-0.4409,-2.3215,0,0,
INTL_ACTORS,iran,dominant,False,0.0,0.2861,-0.4271,0,0,
INTL_ACTORS,un,opposite,False,0.0,-0.1526,0.5158,0,0,
INTL_ACTORS,iran,reckless,False,0.0,-2.1092,-1.3504,0,0,
INTL_ACTORS,iran,indiscriminate,False,0.0,-1.4499,-1.5218,0,0,
INTL_ACTORS,un,domestic,False,0.0,0.3028,-0.4336,0,0,
PAL_POLITICAL,pa,rapid,False,0.6368,0.9915,-0.3066,0,0,
ISR_POLITICAL,israel,decisive,False,0.6368,0.5658,0.47,0,0,
INTL_ACTORS,iran,desperate,False,0.6368,-1.9335,-0.8429,0,0,
INTL_ACTORS,iran,escalatory,False,0.6368,-1.206,-1.0439,0,0,
INTL_ACTORS,un,obvious,False,0.0,-0.5387,0.0115,0,0,
INTL_ACTORS,iran,enormous,False,0.0,0.4165,-0.1265,0,0,
PAL_POLITICAL,pa,massive,False,-0.8418,0.1972,-0.7881,0,0,
INTL_ACTORS,un,logistical,False,-0.8418,0.4142,-0.5372,0,0,
INTL_ACTORS,iran,centralized,False,-0.7448,0.8464,-0.7842,0,0,
INTL_ACTORS,iran,advanced,False,-0.7448,2.9294,-0.3625,0,0,
INTL_ACTORS,iran,vast,False,-0.7448,0.5041,-0.021,0,0,
PAL_POLITICAL,pa,entrenched,False,0.0,-0.7967,-1.0242,0,0,
INTL_ACTORS,qatar,core,False,-0.8818,1.3246,0.1021,0,0,
INTL_ACTORS,un,behavioral,False,0.0,0.1201,-0.2733,0,0,
PAL_POLITICAL,pa,profound,False,0.0,0.2498,1.0858,0,0,
INTL_ACTORS,un,unprovoked,False,0.0,-1.8539,-1.4853,0,0,
PAL_POLITICAL,pa,passive,False,0.0,0.0607,0.2603,0,0,
INTL_ACTORS,un,collective,False,0.0,0.1211,0.3669,0,0,
INTL_ACTORS,un,unchecked,False,-0.8442,-1.4727,-1.3866,0,0,
ISR_POLITICAL,israel,grave,False,-0.7586,-0.7139,0.2804,0,0,
PAL_POLITICAL,pa,complex,False,0.0,1.0454,-0.0222,0,0,
ISR_POLITICAL,israel,multi,False,0.0,1.5487,-0.1,0,0,
ISR_POLITICAL,israel,dimensional,False,0.0,0.6312,0.0155,0,0,
ISR_POLITICAL,israel,multi,False,-0.5932,1.5487,-0.1,0,0,
ISR_POLITICAL,israel,front,False,-0.5932,0.6006,0.4623,0,0,
PAL_POLITICAL,pa,front,False,-0.8754,0.6006,0.4623,0,0,
PAL_POLITICAL,pa,offensive,False,-0.5779,-0.5148,-1.0666,0,0,
INTL_ACTORS,un,unprecedented,False,-0.5779,0.7364,-0.5512,0,0,
INTL_ACTORS,saudi arabia,dependent,False,-0.5296,-0.5375,-0.0878,0,0,
PAL_POLITICAL,palestine,free,False,0.8041,1.1814,0.4539,0,0,
PAL_POLITICAL,palestine,free,False,-0.7112,1.1814,0.4539,0,0,
INTL_ACTORS,un,safe,False,-0.7288,0.7771,0.7522,0,0,
INTL_ACTORS,saudi arabia,cautious,False,0.0,-0.6137,0.0934,0,0,
ISR_POLITICAL,netanyahu,personal,False,0.0,1.1114,0.7794,0,0,
PAL_POLITICAL,pa,safe,False,-0.7888,0.7771,0.7522,0,0,
PAL_POLITICAL,pa,ashamed,False,-0.9121,-1.9888,-0.0197,0,0,
INTL_ACTORS,usa,peaceful,False,0.0,0.3609,2.2424,0,0,
INTL_ACTORS,un,loud,False,-0.7458,-0.7503,0.0464,0,0,
INTL_ACTORS,hezbollah,content,False,-0.6816,1.1678,0.6042,0,0,
CIVILIANS,civilians,more,False,-0.8783,0.8631,0.4455,0,0,
PAL_RESISTANCE,gaza,entire,False,-0.8783,0.4004,0.2851,0,0,
PAL_POLITICAL,pa,honest,False,-0.7915,0.0523,1.3339,0,0,
