label,entity,adjective,is_negated,sentiment,competence,morality,dehuman_flag,negated_dehuman_flag,dehuman_category
UKR_POLITICAL,ukraine,obvious,False,-0.8875,-0.5387,0.0115,0,0,
INTL_ACTORS,un,understandable,False,0.0,-0.4257,0.5953,0,0,
RU_POLITICAL,russia,not_interested,True,0.6651,-1.1012,-0.6024,0,0,
RU_POLITICAL,russia,interesting,False,0.0,0.8451,0.7901,0,0,
UKR_POLITICAL,ukraine,impossible,False,-0.8239,-0.6195,0.1752,0,0,
UKR_POLITICAL,ukraine,ready,False,-0.566,1.0796,0.7275,0,0,
UKR_POLITICAL,ukraine,dangerous,False,-0.566,-1.102,-1.671,0,0,
RU_POLITICAL,russia,decisive,False,-0.8257,0.5658,0.47,0,0,
INTL_ACTORS,un,unified,False,-0.6768,1.4447,0.2842,0,0,
RU_POLITICAL,russia,tough,False,-0.7661,0.2067,-0.0791,0,0,
INTL_ACTORS,un,unprecedented,False,-0.5902,0.7364,-0.5512,0,0,
INTL_ACTORS,un,unprecedented,False,0.0,0.7364,-0.5512,0,0,
UKR_POLITICAL,ukraine,probable,False,0.0,-0.4344,-0.1326,0,0,
UKR_POLITICAL,ukraine,right,False,-0.5472,0.3563,0.7214,0,0,
RU_POLITICAL,russia,limited,False,0.0,0.379,0.1615,0,0,
RU_POLITICAL,russia,northeastern,False,0.0,-0.4075,-0.2737,0,0,
RU_POLITICAL,russia,aware,False,0.0,0.1151,0.1133,0,0,
RU_POLITICAL,russia,offensive,False,0.0,-0.5148,-1.0666,0,0,
WEST_ACTORS,usa,armored,False,0.0,0.5113,-0.8154,0,0,
UKR_POLITICAL,ukraine,more,False,0.5662,0.8631,0.4455,0,0,
INTL_ACTORS,un,persistent,False,-0.8772,-0.5376,-0.5337,0,0,
INTL_ACTORS,un,due,False,-0.8162,-0.6619,-0.2705,0,0,
INTL_ACTORS,un,unacceptable,False,-0.8162,-1.8676,-0.9674,0,0,
UKR_POLITICAL,ukraine,war,False,0.0,-0.2536,-0.4997,0,0,
INTL_ACTORS,un,unfounded,False,-0.8186,-2.0949,-0.7538,0,0,
INTL_ACTORS,un,unsupported,False,-0.8186,-1.4408,-0.4448,0,0,
INTL_ACTORS,un,most,False,-0.6663,0.8378,0.2542,0,0,
INTL_ACTORS,un,unattainable,False,0.0,-1.1068,0.4852,0,0,
INTL_ACTORS,un,unique,False,0.0,2.2745,0.857,0,0,
UKR_POLITICAL,yermak,not_welcome,True,0.7614,-0.8159,-1.0535,0,0,
WEST_ACTORS,eu,neutral,False,-0.6805,0.2469,0.8183,0,0,
INTL_ACTORS,un,likely,False,0.0,-0.3397,-0.0507,0,0,
WEST_ACTORS,trump,not_reassuring,True,0.809,0.3434,-1.0332,0,0,
WEST_ACTORS,trump,not_reassuring,True,0.809,0.3434,-1.0332,0,0,
WEST_ACTORS,trump,not_reassuring,True,0.809,0.3434,-1.0332,0,0,
WEST_ACTORS,trump,not_reassuring,True,0.6041,0.3434,-1.0332,0,0,
WEST_ACTORS,trump,not_reassuring,True,0.875,0.3434,-1.0332,0,0,
INTL_ACTORS,un,foundational,False,0.0,0.7289,1.237,0,0,
INTL_ACTORS,un,serious,False,0.0,0.0489,0.1019,0,0,
UKR_POLITICAL,ukraine,corrupt,False,-0.9245,-2.0636,-2.9143,0,0,
UKR_POLITICAL,ukraine,corrupt,False,-0.8854,-2.0636,-2.9143,0,0,
INTL_ACTORS,un,uncompromising,False,-0.5479,0.7563,-0.1323,0,0,
INTL_ACTORS,un,residual,False,-0.7371,0.0416,0.026,0,0,
INTL_ACTORS,un,middle,False,-0.8636,-0.1658,0.6115,0,0,
RU_POLITICAL,russia,frozen,False,0.0,-0.581,0.1731,0,0,
RU_POLITICAL,russia,present,False,0.0,0.745,0.4826,0,0,
WEST_ACTORS,trump,pathetic,False,-0.9161,-2.4455,-0.8109,0,0,
WEST_ACTORS,trump,pathetic,False,-0.9255,-2.4455,-0.8109,0,0,
WEST_ACTORS,trump,pathetic,False,-0.927,-2.4455,-0.8109,0,0,
WEST_ACTORS,trump,pathetic,False,-0.9309,-2.4455,-0.8109,0,0,
WEST_ACTORS,trump,pathetic,False,-0.9309,-2.4455,-0.8109,0,0,
INTL_ACTORS,un,united,False,-0.6841,0.3318,0.4007,0,0,
INTL_ACTORS,un,united,False,-0.6841,0.3318,0.4007,0,0,
WEST_ACTORS,trump,valid,False,0.0,-0.0728,0.678,0,0,
INTL_ACTORS,un,precarious,False,-0.6673,-1.8796,0.0047,0,0,
UKR_POLITICAL,donetsk,entire,False,0.0,0.4004,0.2851,0,0,
WEST_ACTORS,trump,unacceptable,False,-0.9043,-1.8676,-0.9674,0,0,
INTL_ACTORS,un,unexpected,False,-0.7101,-0.5839,-0.0385,0,0,
WEST_ACTORS,eu,worth,False,-0.8174,0.531,1.1333,0,0,
INTL_ACTORS,un,unique,False,0.0,2.2745,0.857,0,0,
WEST_ACTORS,usa,unique,False,0.0,2.2745,0.857,0,0,
RU_POLITICAL,russia,incredible,False,0.9563,1.2414,0.5834,0,0,
UKR_POLITICAL,ukraine,extra,False,-0.5249,0.7806,0.8091,0,0,
INTL_ACTORS,china,indifferent,False,0.0,-2.159,-0.1542,0,0,
UKR_POLITICAL,ukraine,presidential,False,-0.54,-0.373,0.0565,0,0,
WEST_ACTORS,eu,violent,False,-0.5224,-1.3491,-1.8348,0,0,
RU_POLITICAL,russia,special,False,-0.5001,1.2326,0.2925,0,0,
UKR_POLITICAL,ukraine,martial,False,0.0,0.3964,-0.2137,0,0,
WEST_ACTORS,trump,whole,False,0.0,0.1824,0.6025,0,0,
INTL_ACTORS,un,undisputed,False,0.0,0.2994,0.1205,0,0,
UKR_POLITICAL,ukraine,calm,False,0.0,-0.2695,1.7173,0,0,
INTL_ACTORS,un,present,False,0.0,0.745,0.4826,0,0,
INTL_ACTORS,un,permanent,False,0.0,0.3994,0.268,0,0,
INTL_ACTORS,un,prime,False,0.0,0.1551,0.1556,0,0,
INTL_ACTORS,un,prime,False,0.0,0.1551,0.1556,0,0,
UKR_POLITICAL,ukraine,capable,False,0.0,1.7875,0.2008,0,0,
RU_POLITICAL,russia,territorial,False,0.0,-0.1109,-0.4141,0,0,
UKR_POLITICAL,ukraine,offensive,False,0.0,-0.5148,-1.0666,0,0,
UKR_POLITICAL,ukraine,capable,False,0.0,1.7875,0.2008,0,0,
RU_POLITICAL,russia,overstrained,False,-0.7977,-2.1251,0.1214,0,0,
RU_POLITICAL,russia,imperial,False,-0.7977,0.0058,-0.6394,0,0,
UKR_POLITICAL,ukraine,empty,False,-0.6207,-1.1529,0.5157,0,0,
UKR_POLITICAL,ukraine,capable,False,0.0,1.7875,0.2008,0,0,
RU_POLITICAL,russia,primitive,False,-0.8302,-0.4772,-0.2824,1,0,subhuman
RU_POLITICAL,russia,biological,False,0.0,0.4774,-0.3179,0,0,
RU_POLITICAL,russia,territorial,False,-0.7604,-0.1109,-0.4141,0,0,
RU_POLITICAL,russia,worth,False,-0.7604,0.531,1.1333,0,0,
INTL_ACTORS,un,unmanned,False,0.0,0.6656,-0.4279,0,0,
INTL_ACTORS,un,striking,False,0.0,0.5428,0.3988,0,0,
RU_POLITICAL,russia,entire,False,-0.8322,0.4004,0.2851,0,0,
INTL_ACTORS,un,powerful,False,0.0,2.5081,-0.662,0,0,
INTL_ACTORS,un,underwater,False,0.0,0.2135,0.3187,0,0,
UKR_POLITICAL,ukraine,sudden,False,0.0,-1.0128,-0.2539,0,0,
UKR_POLITICAL,ukraine,precise,False,0.0,1.5582,0.4709,0,0,
UKR_POLITICAL,ukraine,primitive,False,-0.7517,-0.4772,-0.2824,1,0,subhuman
UKR_POLITICAL,ukraine,inventive,False,0.6335,0.7037,0.2826,0,0,
UKR_POLITICAL,ukraine,territorial,False,0.0,-0.1109,-0.4141,0,0,
INTL_ACTORS,un,not_afraid,True,-0.0,1.1227,0.2038,0,0,
INTL_ACTORS,un,creative,False,0.6202,1.459,0.6975,0,0,
INTL_ACTORS,un,honest,False,0.6202,0.0523,1.3339,0,0,
INTL_ACTORS,un,transparent,False,0.6202,0.6145,0.6204,0,0,
INTL_ACTORS,un,rational,False,0.6202,0.1504,0.8703,0,0,
INTL_ACTORS,un,uncovered,False,0.0,-0.4217,-0.3918,0,0,
UKR_POLITICAL,ukraine,right,False,0.0,0.3563,0.7214,0,0,
WEST_ACTORS,eu,concrete,False,0.0,0.7924,0.5239,0,0,
INTL_ACTORS,un,special,False,0.0,1.2326,0.2925,0,0,
INTL_ACTORS,un,special,False,0.0,1.2326,0.2925,0,0,
UKR_POLITICAL,ukraine,legislative,False,0.0,-0.0384,-0.2913,0,0,
INTL_ACTORS,un,minimal,False,0.0,0.2747,0.4453,0,0,
RU_POLITICAL,russia,inevitable,False,0.0,-1.1798,-0.2232,0,0,
RU_POLITICAL,putin,probable,False,0.0,-0.4344,-0.1326,0,0,
UKR_POLITICAL,zelensky,wartime,False,0.0,-0.2271,-0.1132,0,0,
UKR_POLITICAL,ukraine,dictatorial,False,0.0,-1.5413,-2.4329,0,0,
UKR_POLITICAL,ukraine,geopolitical,False,0.7344,-0.0148,-0.6893,0,0,
WEST_ACTORS,eu,democratic,False,0.0,-0.1872,0.6419,0,0,
WEST_ACTORS,eu,democratic,False,0.0,-0.1872,0.6419,0,0,
WEST_ACTORS,eu,democratic,False,0.0,-0.1872,0.6419,0,0,
UKR_POLITICAL,ukraine,equal,False,0.0,0.5392,0.9132,0,0,
INTL_ACTORS,un,undeveloped,False,-0.7499,-1.0621,0.7223,0,0,
