label,entity,adjective,is_negated,sentiment,competence,morality,dehuman_flag,negated_dehuman_flag,dehuman_category
INTL_ACTORS,un,unprecedented,False,0.0,0.7364,-0.5512,0,0,
INTL_ACTORS,un,unexpected,False,0.0,-0.5839,-0.0385,0,0,
WEST_ACTORS,eu,destructive,False,-0.7438,-1.023,-2.0518,0,0,
UKR_POLITICAL,ukraine,peaceful,False,-0.5287,0.3609,2.2424,0,0,
UKR_POLITICAL,zelensky,less,False,-0.5287,0.1494,0.6223,0,0,
UKR_POLITICAL,zelensky,less,False,-0.5287,0.1494,0.6223,0,0,
RU_POLITICAL,russia,terrorist,False,-0.5008,-0.5389,-2.5498,0,0,
WEST_ACTORS,trump,bored,False,-0.4942,-1.3106,0.3038,0,0,
UKR_POLITICAL,zelensky,senseless,False,-0.4942,-2.2335,-1.2549,0,0,
WEST_ACTORS,trump,bored,False,-0.4942,-1.3106,0.3038,0,0,
UKR_POLITICAL,zelensky,senseless,False,-0.4942,-2.2335,-1.2549,0,0,
WEST_ACTORS,eu,scared,False,0.0,-1.6058,-0.5617,0,0,
INTL_ACTORS,un,individual,False,0.0,0.7013,0.7541,0,0,
WEST_ACTORS,trump,confused,False,-0.626,-1.5244,-0.1363,0,0,
UKR_POLITICAL,kiev,prepared,False,-0.8692,0.6696,0.5031,0,0,
INTL_ACTORS,un,unprecedented,False,-0.8692,0.7364,-0.5512,0,0,
UKR_POLITICAL,kiev,irresponsible,False,0.0,-2.9935,-1.6426,0,0,
RU_POLITICAL,putin,impossible,False,-0.6756,-0.6195,0.1752,0,0,
INTL_ACTORS,un,untreatyable,False,-0.763,0.0,0.0,0,0,
WEST_ACTORS,eu,pan,False,0.0,0.5004,0.3015,0,0,
WEST_ACTORS,eu,pan,False,0.0,0.5004,0.3015,0,0,
UKR_POLITICAL,zelensky,terrorist,False,0.0,-0.5389,-2.5498,0,0,
WEST_ACTORS,eu,pan,False,-0.5831,0.5004,0.3015,0,0,
INTL_ACTORS,un,individual,False,-0.5831,0.7013,0.7541,0,0,
INTL_ACTORS,un,beloved,False,0.0,-0.2223,0.4206,0,0,
RU_POLITICAL,russia,ready,False,-0.5051,1.0796,0.7275,0,0,
RU_POLITICAL,moscow,steady,False,0.0,0.4758,0.7386,0,0,
