label,entity,adjective,is_negated,sentiment,competence,morality,dehuman_flag,negated_dehuman_flag,dehuman_category
RU_POLITICAL,russia,existential,False,0.0,-0.631,0.5361,0,0,
UKR_POLITICAL,ukraine,inter,False,0.0,0.4127,-0.143,0,0,
UKR_POLITICAL,ukraine,state,False,0.0,-0.0768,0.0313,0,0,
UKR_POLITICAL,ukraine,motivated,False,0.0,0.3149,-0.2383,0,0,
UKR_POLITICAL,ukraine,inter,False,0.0,0.4127,-0.143,0,0,
UKR_POLITICAL,ukraine,state,False,0.0,-0.0768,0.0313,0,0,
UKR_POLITICAL,ukraine,deliberate,False,-0.7578,-0.7521,-0.3372,0,0,
UKR_POLITICAL,ukraine,cultural,False,-0.7578,0.8317,0.6877,0,0,
UKR_POLITICAL,ukraine,entire,False,-0.5007,0.4004,0.2851,0,0,
INTL_ACTORS,un,underlying,False,0.0,-0.1757,0.1002,0,0,
UKR_POLITICAL,ukraine,inter,False,0.0,0.4127,-0.143,0,0,
UKR_POLITICAL,ukraine,state,False,0.0,-0.0768,0.0313,0,0,
RU_POLITICAL,russia,deliberate,False,-0.6294,-0.7521,-0.3372,0,0,
RU_POLITICAL,russia,hybrid,False,-0.6294,1.4795,-0.4469,0,0,
CIVILIANS,civilians,deliberate,False,-0.7511,-0.7521,-0.3372,0,0,
RU_POLITICAL,russia,more,False,-0.6806,0.8631,0.4455,0,0,
UKR_POLITICAL,ukraine,corruption,False,-0.6659,-1.245,-1.8959,0,0,
INTL_ACTORS,un,genuine,False,-0.496,0.8658,1.1715,0,0,
UKR_POLITICAL,ukraine,unique,False,0.0,2.2745,0.857,0,0,
INTL_ACTORS,un,unified,False,-0.7477,1.4447,0.2842,0,0,
INTL_ACTORS,un,accountable,False,0.0,-0.5654,-0.2988,0,0,
INTL_ACTORS,un,honest,False,0.0,0.0523,1.3339,0,0,
UKR_POLITICAL,ukraine,corruption,False,0.0,-1.245,-1.8959,0,0,
UKR_POLITICAL,ukraine,democratic,False,0.0,-0.1872,0.6419,0,0,
RU_POLITICAL,russia,partisan,False,0.0,-1.3334,-0.7977,0,0,
RU_POLITICAL,kremlin,technical,False,-0.7067,1.635,0.1399,0,0,
RU_POLITICAL,kremlin,feasible,False,0.0,0.4624,0.2454,0,0,
RU_POLITICAL,russia,natural,False,0.0,1.2376,1.0435,0,0,
RU_POLITICAL,russia,proactive,False,0.0,1.0854,-0.094,0,0,
WEST_ACTORS,nato,escalating,False,0.0,-0.702,-1.3281,0,0,
INTL_ACTORS,un,unparalleled,False,0.5075,2.052,0.5924,0,0,
WEST_ACTORS,poland,sixth,False,0.0,0.4552,0.2584,0,0,
UKR_POLITICAL,ukraine,immense,False,0.0,0.4737,0.342,0,0,
INTL_ACTORS,un,unified,False,-0.8913,1.4447,0.2842,0,0,
UKR_POLITICAL,ukraine,territorial,False,-0.5888,-0.1109,-0.4141,0,0,
