label_a,label_b,count
PAL_POLITICAL,INTL_ACTORS,2151
INTL_ACTORS,INTL_ACTORS,1647
ISR_POLITICAL,INTL_ACTORS,1491
ISR_POLITICAL,PAL_POLITICAL,1130
PAL_RESISTANCE,INTL_ACTORS,757
PAL_RESISTANCE,PAL_POLITICAL,692
PAL_RESISTANCE,ISR_POLITICAL,348
INTL_ACTORS,PAL_POLITICAL,339
PAL_POLITICAL,PAL_POLITICAL,338
INTL_ACTORS,ISR_POLITICAL,319
PAL_ORG,INTL_ACTORS,165
PAL_ORG,PAL_POLITICAL,134
ISR_POLITICAL,ISR_POLITICAL,110
PAL_RESISTANCE,PAL_ORG,90
PAL_ORG,ISR_POLITICAL,87
PAL_POLITICAL,SETTLERS,53
CIVILIANS,PAL_POLITICAL,36
ISR_MILITARY,PAL_POLITICAL,36
SETTLERS,INTL_ACTORS,36
INTL_ACTORS,PAL_RESISTANCE,32
CIVILIANS,INTL_ACTORS,31
ISR_MILITARY,INTL_ACTORS,30
ISR_MILITARY,ISR_POLITICAL,28
ISR_POLITICAL,SETTLERS,25
CIVILIANS,ISR_POLITICAL,21
ISR_POLITICAL,PAL_RESISTANCE,11
CIVILIANS,PAL_RESISTANCE,10
INTL_ACTORS,PAL_ORG,10
PAL_RESISTANCE,ISR_MILITARY,7
PAL_ORG,CIVILIANS,7
ISR_MILITARY,SETTLERS,5
PAL_RESISTANCE,CIVILIANS,5
PAL_RESISTANCE,SETTLERS,5
PAL_RESISTANCE,PAL_RESISTANCE,4
