entity_a,label_a,entity_b,label_b,count,freq_a,freq_b,jaccard,pmi
pa,PAL_POLITICAL,un,INTL_ACTORS,1170,3001,2207,0.2897,0.1193
israel,ISR_POLITICAL,pa,PAL_POLITICAL,851,1626,3001,0.2254,0.1008
israel,ISR_POLITICAL,un,INTL_ACTORS,624,1626,2207,0.1945,0.0966
gaza,PAL_RESISTANCE,pa,PAL_POLITICAL,528,1020,3001,0.1512,0.0849
un,INTL_ACTORS,usa,INTL_ACTORS,465,2207,1041,0.1671,0.3156
israel,ISR_POLITICAL,usa,INTL_ACTORS,462,1626,1041,0.2095,0.747
pa,PAL_POLITICAL,usa,INTL_ACTORS,452,3001,1041,0.1259,-0.1687
gaza,PAL_RESISTANCE,un,INTL_ACTORS,420,1020,2207,0.1496,0.1982
pa,PAL_POLITICAL,palestine,PAL_POLITICAL,335,3001,535,0.1047,0.3595
gaza,PAL_RESISTANCE,israel,ISR_POLITICAL,298,1020,1626,0.1269,0.1438
iran,INTL_ACTORS,usa,INTL_ACTORS,247,638,1041,0.1725,1.1933
iran,INTL_ACTORS,israel,ISR_POLITICAL,236,638,1626,0.1164,0.4843
iran,INTL_ACTORS,pa,PAL_POLITICAL,227,638,3001,0.0665,-0.456
palestine,PAL_POLITICAL,un,INTL_ACTORS,226,535,2207,0.0898,0.235
iran,INTL_ACTORS,un,INTL_ACTORS,225,638,2207,0.0859,-0.0254
gaza,PAL_RESISTANCE,usa,INTL_ACTORS,166,1020,1041,0.0876,-0.0569
israel,ISR_POLITICAL,palestine,PAL_POLITICAL,164,1626,535,0.0821,0.2132
gaza,PAL_RESISTANCE,palestine,PAL_POLITICAL,150,1020,535,0.1068,0.7572
trump,INTL_ACTORS,un,INTL_ACTORS,123,286,2207,0.0519,0.2609
hamas,PAL_ORG,pa,PAL_POLITICAL,113,256,3001,0.0359,-0.1449
pa,PAL_POLITICAL,trump,INTL_ACTORS,108,3001,286,0.034,-0.3701
israel,ISR_POLITICAL,netanyahu,ISR_POLITICAL,101,1626,235,0.0574,0.7007
palestine,PAL_POLITICAL,usa,INTL_ACTORS,99,535,1041,0.067,0.1283
trump,INTL_ACTORS,usa,INTL_ACTORS,96,286,1041,0.078,0.9875
netanyahu,ISR_POLITICAL,pa,PAL_POLITICAL,91,235,3001,0.0289,-0.3338
gaza,PAL_RESISTANCE,hamas,PAL_ORG,90,1020,256,0.0759,1.0836
israel,ISR_POLITICAL,trump,INTL_ACTORS,88,1626,286,0.0482,0.2186
hamas,PAL_ORG,un,INTL_ACTORS,87,256,2207,0.0366,-0.0788
netanyahu,ISR_POLITICAL,un,INTL_ACTORS,80,235,2207,0.0339,-0.0763
hamas,PAL_ORG,israel,ISR_POLITICAL,76,256,1626,0.0421,0.167
gaza,PAL_RESISTANCE,trump,INTL_ACTORS,71,1020,286,0.0575,0.5817
netanyahu,ISR_POLITICAL,usa,INTL_ACTORS,60,235,1041,0.0493,0.5928
netanyahu,ISR_POLITICAL,trump,INTL_ACTORS,58,235,286,0.1253,2.4077
egypt,INTL_ACTORS,pa,PAL_POLITICAL,49,75,3001,0.0162,0.4208
gaza,PAL_RESISTANCE,netanyahu,ISR_POLITICAL,47,1020,235,0.0389,0.2699
iran,INTL_ACTORS,trump,INTL_ACTORS,47,638,286,0.0536,0.6634
egypt,INTL_ACTORS,un,INTL_ACTORS,39,75,2207,0.0174,0.5348
pa,PAL_POLITICAL,settlers,SETTLERS,36,3001,44,0.012,0.7454
israel,ISR_POLITICAL,lebanon,INTL_ACTORS,34,1626,61,0.0206,1.0758
gaza,PAL_RESISTANCE,iran,INTL_ACTORS,33,1020,638,0.0203,-1.6812
egypt,INTL_ACTORS,gaza,PAL_RESISTANCE,32,75,1020,0.0301,1.363
hamas,PAL_ORG,usa,INTL_ACTORS,32,256,1041,0.0253,-0.4376
egypt,INTL_ACTORS,israel,ISR_POLITICAL,31,75,1626,0.0186,0.6444
iran,INTL_ACTORS,syria,INTL_ACTORS,28,638,52,0.0423,2.3756
israel,ISR_POLITICAL,syria,INTL_ACTORS,27,1626,52,0.0164,0.9735
iran,INTL_ACTORS,netanyahu,ISR_POLITICAL,27,638,235,0.0319,0.1471
lebanon,INTL_ACTORS,pa,PAL_POLITICAL,27,61,3001,0.0089,-0.1409
iran,INTL_ACTORS,lebanon,INTL_ACTORS,26,638,61,0.0386,2.0384
settlers,SETTLERS,un,INTL_ACTORS,26,44,2207,0.0117,0.7193
idf,ISR_MILITARY,israel,ISR_POLITICAL,25,40,1626,0.0152,1.241
civilians,CIVILIANS,pa,PAL_POLITICAL,25,35,3001,0.0083,0.5495
lebanon,INTL_ACTORS,un,INTL_ACTORS,25,61,2207,0.0111,0.1914
israel,ISR_POLITICAL,turkey,INTL_ACTORS,24,1626,38,0.0146,1.2561
