label_a,label_b,count
INTL_ACTORS,INTL_ACTORS,1403
ISR_POLITICAL,INTL_ACTORS,957
PAL_POLITICAL,INTL_ACTORS,633
ISR_POLITICAL,PAL_POLITICAL,438
INTL_ACTORS,ISR_POLITICAL,346
INTL_ACTORS,PAL_POLITICAL,271
PAL_ORG,INTL_ACTORS,241
PAL_RESISTANCE,INTL_ACTORS,227
PAL_RESISTANCE,ISR_POLITICAL,141
PAL_ORG,ISR_POLITICAL,117
PAL_RESISTANCE,PAL_POLITICAL,111
PAL_RESISTANCE,PAL_ORG,84
PAL_ORG,PAL_POLITICAL,81
ISR_POLITICAL,ISR_POLITICAL,58
CIVILIANS,INTL_ACTORS,46
PAL_POLITICAL,PAL_POLITICAL,32
CIVILIANS,ISR_POLITICAL,32
ISR_MILITARY,ISR_POLITICAL,24
ISR_MILITARY,INTL_ACTORS,23
CIVILIANS,PAL_POLITICAL,17
PAL_POLITICAL,SETTLERS,12
PAL_ORG,CIVILIANS,11
ISR_MILITARY,PAL_POLITICAL,7
PAL_RESISTANCE,CIVILIANS,7
PAL_RESISTANCE,ISR_MILITARY,6
CIVILIANS,PAL_ORG,6
CIVILIANS,PAL_RESISTANCE,4
PAL_ORG,ISR_MILITARY,4
