entity_a,label_a,entity_b,label_b,count,freq_a,freq_b,jaccard,pmi
israel,ISR_POLITICAL,un,INTL_ACTORS,469,1535,1464,0.1854,0.0752
israel,ISR_POLITICAL,pa,PAL_POLITICAL,387,1535,1113,0.1712,0.1934
pa,PAL_POLITICAL,un,INTL_ACTORS,347,1113,1464,0.1556,0.1044
iran,INTL_ACTORS,un,INTL_ACTORS,326,948,1464,0.1563,0.2458
iran,INTL_ACTORS,israel,ISR_POLITICAL,266,948,1535,0.12,-0.116
iran,INTL_ACTORS,pa,PAL_POLITICAL,237,948,1113,0.1299,0.1813
israel,ISR_POLITICAL,usa,INTL_ACTORS,221,1535,537,0.1194,0.4366
un,INTL_ACTORS,usa,INTL_ACTORS,207,1464,537,0.1154,0.4105
iran,INTL_ACTORS,usa,INTL_ACTORS,151,948,537,0.1132,0.5824
pa,PAL_POLITICAL,usa,INTL_ACTORS,138,1113,537,0.0913,0.221
gaza,PAL_RESISTANCE,israel,ISR_POLITICAL,133,338,1535,0.0764,0.3719
gaza,PAL_RESISTANCE,un,INTL_ACTORS,106,338,1464,0.0625,0.1128
hamas,PAL_ORG,israel,ISR_POLITICAL,106,279,1535,0.0621,0.3213
gaza,PAL_RESISTANCE,pa,PAL_POLITICAL,95,338,1113,0.0701,0.3502
hamas,PAL_ORG,un,INTL_ACTORS,84,279,1464,0.0506,0.054
gaza,PAL_RESISTANCE,hamas,PAL_ORG,84,338,279,0.1576,2.1688
hamas,PAL_ORG,pa,PAL_POLITICAL,78,279,1113,0.0594,0.3425
trump,INTL_ACTORS,un,INTL_ACTORS,69,205,1464,0.0431,0.2148
israel,ISR_POLITICAL,trump,INTL_ACTORS,66,1535,205,0.0394,0.0824
saudi arabia,INTL_ACTORS,un,INTL_ACTORS,57,126,1464,0.0372,0.6414
qatar,INTL_ACTORS,un,INTL_ACTORS,56,121,1464,0.0366,0.6743
iran,INTL_ACTORS,trump,INTL_ACTORS,52,948,205,0.0472,0.4337
israel,ISR_POLITICAL,netanyahu,ISR_POLITICAL,47,1535,119,0.0292,0.3772
netanyahu,ISR_POLITICAL,un,INTL_ACTORS,38,119,1464,0.0246,0.1389
netanyahu,ISR_POLITICAL,trump,INTL_ACTORS,37,119,205,0.1289,2.9367
iran,INTL_ACTORS,saudi arabia,INTL_ACTORS,37,948,126,0.0357,0.6449
qatar,INTL_ACTORS,turkey,INTL_ACTORS,37,121,74,0.2342,4.3826
hamas,PAL_ORG,iran,INTL_ACTORS,36,279,948,0.0302,-0.5414
pa,PAL_POLITICAL,trump,INTL_ACTORS,36,1113,205,0.0281,-0.3283
qatar,INTL_ACTORS,saudi arabia,INTL_ACTORS,35,121,126,0.1651,3.5346
hamas,PAL_ORG,qatar,INTL_ACTORS,34,279,121,0.0929,2.346
hezbollah,INTL_ACTORS,israel,ISR_POLITICAL,32,66,1535,0.0204,0.6731
israel,ISR_POLITICAL,qatar,INTL_ACTORS,29,1535,121,0.0178,-0.3434
iran,INTL_ACTORS,qatar,INTL_ACTORS,29,948,121,0.0279,0.3519
turkey,INTL_ACTORS,un,INTL_ACTORS,28,74,1464,0.0185,0.3837
israel,ISR_POLITICAL,saudi arabia,INTL_ACTORS,28,1535,126,0.0171,-0.4525
pa,PAL_POLITICAL,palestine,PAL_POLITICAL,28,1113,46,0.0248,1.4651
pa,PAL_POLITICAL,saudi arabia,INTL_ACTORS,27,1113,126,0.0223,-0.0411
gaza,PAL_RESISTANCE,usa,INTL_ACTORS,27,338,537,0.0318,-0.4133
iran,INTL_ACTORS,netanyahu,ISR_POLITICAL,26,948,119,0.025,0.2184
pa,PAL_POLITICAL,qatar,INTL_ACTORS,26,1113,121,0.0215,-0.0372
trump,INTL_ACTORS,usa,INTL_ACTORS,25,205,537,0.0349,0.1971
idf,ISR_MILITARY,israel,ISR_POLITICAL,24,48,1535,0.0154,0.7175
israel,ISR_POLITICAL,syria,INTL_ACTORS,24,1535,71,0.0152,0.1527
hezbollah,INTL_ACTORS,iran,INTL_ACTORS,24,66,948,0.0242,0.9533
gaza,PAL_RESISTANCE,qatar,INTL_ACTORS,23,338,121,0.0528,1.5053
hezbollah,INTL_ACTORS,un,INTL_ACTORS,23,66,1464,0.0153,0.265
israel,ISR_POLITICAL,palestine,PAL_POLITICAL,22,1535,46,0.0141,0.6533
hamas,PAL_ORG,usa,INTL_ACTORS,22,279,537,0.0277,-0.432
gaza,PAL_RESISTANCE,trump,INTL_ACTORS,22,338,205,0.0422,0.6806
syria,INTL_ACTORS,un,INTL_ACTORS,22,71,1464,0.0145,0.0955
hamas,PAL_ORG,turkey,INTL_ACTORS,21,279,74,0.0633,2.3602
netanyahu,ISR_POLITICAL,pa,PAL_POLITICAL,20,119,1113,0.0165,-0.3916
pa,PAL_POLITICAL,turkey,INTL_ACTORS,19,1113,74,0.0163,0.2197
hezbollah,INTL_ACTORS,pa,PAL_POLITICAL,19,66,1113,0.0164,0.3848
gaza,PAL_RESISTANCE,iran,INTL_ACTORS,18,338,948,0.0142,-1.8182
israel,ISR_POLITICAL,turkey,INTL_ACTORS,18,1535,74,0.0113,-0.3221
hamas,PAL_ORG,trump,INTL_ACTORS,18,279,205,0.0386,0.6678
hostages,CIVILIANS,israel,ISR_POLITICAL,17,39,1535,0.0109,0.5195
gaza,PAL_RESISTANCE,turkey,INTL_ACTORS,16,338,74,0.0404,1.6912
gaza,PAL_RESISTANCE,palestine,PAL_POLITICAL,16,338,46,0.0435,2.3771
