label_a,label_b,count
WEST_ACTORS,UKR_POLITICAL,572
RU_POLITICAL,UKR_POLITICAL,442
RU_POLITICAL,WEST_ACTORS,363
RU_POLITICAL,INTL_ACTORS,329
WEST_ACTORS,WEST_ACTORS,290
UKR_POLITICAL,INTL_ACTORS,284
WEST_ACTORS,INTL_ACTORS,266
UKR_POLITICAL,UKR_POLITICAL,251
WEST_ACTORS,RU_POLITICAL,226
UKR_POLITICAL,WEST_ACTORS,180
INTL_ACTORS,WEST_ACTORS,165
INTL_ACTORS,UKR_POLITICAL,143
UKR_POLITICAL,RU_POLITICAL,139
RU_POLITICAL,RU_POLITICAL,128
INTL_ACTORS,INTL_ACTORS,20
INTL_ACTORS,RU_POLITICAL,10
CIVILIANS,RU_POLITICAL,3
CIVILIANS,UKR_POLITICAL,3
UKR_MILITARY,RU_POLITICAL,3
