entity_a,label_a,entity_b,label_b,count,freq_a,freq_b,jaccard,pmi
russia,RU_POLITICAL,un,INTL_ACTORS,230,941,956,0.138,0.1434
ukraine,UKR_POLITICAL,un,INTL_ACTORS,212,775,956,0.1396,0.3058
russia,RU_POLITICAL,ukraine,UKR_POLITICAL,200,941,775,0.1319,0.2446
un,INTL_ACTORS,usa,WEST_ACTORS,148,956,388,0.1237,0.7855
ukraine,UKR_POLITICAL,zelensky,UKR_POLITICAL,134,775,539,0.1136,0.4707
eu,WEST_ACTORS,ukraine,UKR_POLITICAL,129,541,775,0.1087,0.4105
eu,WEST_ACTORS,un,INTL_ACTORS,126,541,956,0.0919,0.0737
eu,WEST_ACTORS,russia,RU_POLITICAL,125,541,941,0.0921,0.0851
russia,RU_POLITICAL,usa,WEST_ACTORS,124,941,388,0.1029,0.553
un,INTL_ACTORS,zelensky,UKR_POLITICAL,108,956,539,0.0779,-0.1433
ukraine,UKR_POLITICAL,usa,WEST_ACTORS,107,775,388,0.1013,0.6203
russia,RU_POLITICAL,zelensky,UKR_POLITICAL,102,941,539,0.074,-0.203
russia,RU_POLITICAL,trump,WEST_ACTORS,98,941,431,0.0769,0.0619
trump,WEST_ACTORS,ukraine,UKR_POLITICAL,93,431,775,0.0836,0.2664
eu,WEST_ACTORS,zelensky,UKR_POLITICAL,93,541,539,0.0942,0.4623
trump,WEST_ACTORS,un,INTL_ACTORS,87,431,956,0.0669,-0.1327
putin,RU_POLITICAL,trump,WEST_ACTORS,84,233,431,0.1448,1.8534
trump,WEST_ACTORS,zelensky,UKR_POLITICAL,83,431,539,0.0936,0.6262
eu,WEST_ACTORS,trump,WEST_ACTORS,77,541,431,0.086,0.5126
putin,RU_POLITICAL,russia,RU_POLITICAL,75,233,941,0.0682,0.5634
eu,WEST_ACTORS,usa,WEST_ACTORS,74,541,388,0.0865,0.6069
kiev,UKR_POLITICAL,russia,RU_POLITICAL,72,266,941,0.0634,0.3134
usa,WEST_ACTORS,zelensky,UKR_POLITICAL,68,388,539,0.0792,0.4902
trump,WEST_ACTORS,usa,WEST_ACTORS,68,431,388,0.0905,0.8128
kiev,UKR_POLITICAL,un,INTL_ACTORS,60,266,956,0.0516,0.0276
putin,RU_POLITICAL,zelensky,UKR_POLITICAL,54,233,539,0.0752,0.8934
putin,RU_POLITICAL,un,INTL_ACTORS,51,233,956,0.0448,-0.0158
kiev,UKR_POLITICAL,ukraine,UKR_POLITICAL,47,266,775,0.0473,-0.0219
eu,WEST_ACTORS,kiev,UKR_POLITICAL,44,541,266,0.0577,0.4015
putin,RU_POLITICAL,ukraine,UKR_POLITICAL,39,233,775,0.0402,-0.1
eu,WEST_ACTORS,putin,RU_POLITICAL,37,541,233,0.0502,0.3426
kiev,UKR_POLITICAL,usa,WEST_ACTORS,35,266,388,0.0565,0.5509
kiev,UKR_POLITICAL,zelensky,UKR_POLITICAL,33,266,539,0.0427,-0.0082
moscow,RU_POLITICAL,un,INTL_ACTORS,29,125,956,0.0276,0.0681
moscow,RU_POLITICAL,russia,RU_POLITICAL,26,125,941,0.025,-0.0666
