entity_a,label_a,entity_b,label_b,count,freq_a,freq_b,jaccard,pmi
ukraine,UKR_POLITICAL,un,INTL_ACTORS,81,304,260,0.1677,0.1262
russia,RU_POLITICAL,ukraine,UKR_POLITICAL,76,199,304,0.178,0.42
russia,RU_POLITICAL,un,INTL_ACTORS,58,199,260,0.1446,0.2556
eu,WEST_ACTORS,ukraine,UKR_POLITICAL,31,85,304,0.0866,0.3535
eu,WEST_ACTORS,un,INTL_ACTORS,29,85,260,0.0918,0.4829
trump,WEST_ACTORS,ukraine,UKR_POLITICAL,20,72,304,0.0562,-0.0393
un,INTL_ACTORS,usa,WEST_ACTORS,18,260,70,0.0577,0.0749
russia,RU_POLITICAL,usa,WEST_ACTORS,17,199,70,0.0675,0.3782
eu,WEST_ACTORS,russia,RU_POLITICAL,16,85,199,0.0597,0.0106
ukraine,UKR_POLITICAL,usa,WEST_ACTORS,15,304,70,0.0418,-0.4137
trump,WEST_ACTORS,un,INTL_ACTORS,15,72,260,0.0473,-0.2288
eu,WEST_ACTORS,usa,WEST_ACTORS,14,85,70,0.0993,1.3253
ukraine,UKR_POLITICAL,yermak,UKR_POLITICAL,14,304,28,0.044,0.8087
trump,WEST_ACTORS,usa,WEST_ACTORS,13,72,70,0.1008,1.4579
putin,RU_POLITICAL,trump,WEST_ACTORS,13,39,72,0.1327,2.3018
eu,WEST_ACTORS,trump,WEST_ACTORS,12,85,72,0.0828,1.0623
un,INTL_ACTORS,yermak,UKR_POLITICAL,12,260,28,0.0435,0.8119
russia,RU_POLITICAL,trump,WEST_ACTORS,10,199,72,0.0383,-0.428
putin,RU_POLITICAL,ukraine,UKR_POLITICAL,10,39,304,0.03,-0.1548
putin,RU_POLITICAL,russia,RU_POLITICAL,9,39,199,0.0393,0.3045
nato,WEST_ACTORS,ukraine,UKR_POLITICAL,7,15,304,0.0224,0.7092
ukraine,UKR_POLITICAL,zelensky,UKR_POLITICAL,7,304,20,0.0221,0.2941
yermak,UKR_POLITICAL,zelensky,UKR_POLITICAL,7,28,20,0.1707,3.7347
putin,RU_POLITICAL,un,INTL_ACTORS,5,39,260,0.017,-0.9292
donetsk,UKR_POLITICAL,ukraine,UKR_POLITICAL,4,7,304,0.013,1.0014
usa,WEST_ACTORS,yermak,UKR_POLITICAL,4,70,28,0.0426,1.12
eu,WEST_ACTORS,kiev,UKR_POLITICAL,4,85,9,0.0444,2.4773
nato,WEST_ACTORS,putin,RU_POLITICAL,4,15,39,0.08,2.8643
putin,RU_POLITICAL,usa,WEST_ACTORS,4,39,70,0.0381,0.642
kiev,UKR_POLITICAL,ukraine,UKR_POLITICAL,4,9,304,0.0129,0.6388
nato,WEST_ACTORS,trump,WEST_ACTORS,4,15,72,0.0482,1.9798
un,INTL_ACTORS,zelensky,UKR_POLITICAL,4,260,20,0.0145,-0.2877
ukraine,UKR_POLITICAL,zaporizhzhia,UKR_POLITICAL,3,304,4,0.0098,1.3937
kharkiv,UKR_POLITICAL,ukraine,UKR_POLITICAL,3,5,304,0.0098,1.0717
china,INTL_ACTORS,ukraine,UKR_POLITICAL,3,13,304,0.0096,-0.3068
nato,WEST_ACTORS,russia,RU_POLITICAL,3,15,199,0.0142,0.0981
crimea,UKR_POLITICAL,russia,RU_POLITICAL,3,5,199,0.0149,1.683
eu,WEST_ACTORS,nato,WEST_ACTORS,3,85,15,0.0309,1.3253
china,INTL_ACTORS,usa,WEST_ACTORS,3,13,70,0.0375,1.8119
trump,WEST_ACTORS,zelensky,UKR_POLITICAL,3,72,20,0.0337,1.1497
nato,WEST_ACTORS,usa,WEST_ACTORS,3,15,70,0.0366,1.6054
moscow,RU_POLITICAL,ukraine,UKR_POLITICAL,3,12,304,0.0096,-0.1913
