entity_a,label_a,entity_b,label_b,count,freq_a,freq_b,jaccard,pmi
russia,RU_POLITICAL,un,INTL_ACTORS,200,835,646,0.1561,0.1284
eu,WEST_ACTORS,un,INTL_ACTORS,184,556,646,0.1807,0.5948
eu,WEST_ACTORS,russia,RU_POLITICAL,150,556,835,0.1209,-0.0702
russia,RU_POLITICAL,ukraine,UKR_POLITICAL,117,835,375,0.107,0.1395
ukraine,UKR_POLITICAL,un,INTL_ACTORS,100,375,646,0.1086,0.2832
un,INTL_ACTORS,usa,WEST_ACTORS,91,646,228,0.1162,0.865
eu,WEST_ACTORS,ukraine,UKR_POLITICAL,74,556,375,0.0863,0.0653
russia,RU_POLITICAL,usa,WEST_ACTORS,71,835,228,0.0716,0.1367
eu,WEST_ACTORS,usa,WEST_ACTORS,60,556,228,0.0829,0.4806
eu,WEST_ACTORS,trump,WEST_ACTORS,59,556,179,0.0873,0.8054
kiev,UKR_POLITICAL,un,INTL_ACTORS,49,148,646,0.0658,0.5954
trump,WEST_ACTORS,un,INTL_ACTORS,46,179,646,0.0591,0.2299
ukraine,UKR_POLITICAL,usa,WEST_ACTORS,44,375,228,0.0787,0.6013
kiev,UKR_POLITICAL,russia,RU_POLITICAL,40,148,835,0.0424,-0.0676
putin,RU_POLITICAL,russia,RU_POLITICAL,38,83,835,0.0432,0.6928
un,INTL_ACTORS,zelensky,UKR_POLITICAL,38,646,139,0.0509,0.3191
trump,WEST_ACTORS,ukraine,UKR_POLITICAL,37,179,375,0.0716,0.7004
trump,WEST_ACTORS,usa,WEST_ACTORS,35,179,228,0.0941,1.3381
russia,RU_POLITICAL,trump,WEST_ACTORS,35,835,179,0.0358,-0.5346
nato,WEST_ACTORS,russia,RU_POLITICAL,33,80,835,0.0374,0.5424
nato,WEST_ACTORS,un,INTL_ACTORS,32,80,646,0.0461,0.8682
eu,WEST_ACTORS,nato,WEST_ACTORS,30,556,80,0.0495,0.9915
ukraine,UKR_POLITICAL,zelensky,UKR_POLITICAL,29,375,139,0.0598,0.7138
russia,RU_POLITICAL,zelensky,UKR_POLITICAL,27,835,139,0.0285,-0.5442
eu,WEST_ACTORS,kiev,UKR_POLITICAL,26,556,148,0.0383,-0.1024
moscow,RU_POLITICAL,un,INTL_ACTORS,25,138,646,0.0329,-0.2745
kiev,UKR_POLITICAL,ukraine,UKR_POLITICAL,25,148,375,0.0502,0.4092
trump,WEST_ACTORS,zelensky,UKR_POLITICAL,23,179,139,0.078,1.4463
kiev,UKR_POLITICAL,usa,WEST_ACTORS,23,148,228,0.0652,1.0067
eu,WEST_ACTORS,zelensky,UKR_POLITICAL,23,556,139,0.0342,-0.1888
eu,WEST_ACTORS,putin,RU_POLITICAL,23,556,83,0.0373,0.5551
eu,WEST_ACTORS,moscow,RU_POLITICAL,21,556,138,0.0312,-0.3096
germany,WEST_ACTORS,un,INTL_ACTORS,21,46,646,0.0313,1.0589
moscow,RU_POLITICAL,russia,RU_POLITICAL,20,138,835,0.021,-0.9667
poland,WEST_ACTORS,un,INTL_ACTORS,19,54,646,0.0279,0.6832
kiev,UKR_POLITICAL,zelensky,UKR_POLITICAL,19,148,139,0.0709,1.4451
putin,RU_POLITICAL,un,INTL_ACTORS,19,83,646,0.0268,0.063
nato,WEST_ACTORS,ukraine,UKR_POLITICAL,15,80,375,0.0341,0.5597
moscow,RU_POLITICAL,ukraine,UKR_POLITICAL,15,138,375,0.0301,-0.2269
moscow,RU_POLITICAL,trump,WEST_ACTORS,14,138,179,0.0462,0.7405
usa,WEST_ACTORS,zelensky,UKR_POLITICAL,14,228,139,0.0397,0.381
eu,WEST_ACTORS,germany,WEST_ACTORS,13,556,46,0.0221,0.5835
putin,RU_POLITICAL,trump,WEST_ACTORS,13,83,179,0.0522,1.3671
putin,RU_POLITICAL,ukraine,UKR_POLITICAL,13,83,375,0.0292,0.3002
moscow,RU_POLITICAL,usa,WEST_ACTORS,13,138,228,0.0368,0.2845
poland,WEST_ACTORS,russia,RU_POLITICAL,13,54,835,0.0148,-0.2346
poland,WEST_ACTORS,ukraine,UKR_POLITICAL,13,54,375,0.0312,0.9203
france,WEST_ACTORS,un,INTL_ACTORS,12,38,646,0.0179,0.5272
eu,WEST_ACTORS,france,WEST_ACTORS,12,556,38,0.0206,0.7436
kiev,UKR_POLITICAL,trump,WEST_ACTORS,12,148,179,0.0381,0.4172
france,WEST_ACTORS,germany,WEST_ACTORS,11,38,46,0.1507,4.2135
france,WEST_ACTORS,russia,RU_POLITICAL,10,38,835,0.0116,-0.1061
moscow,RU_POLITICAL,putin,RU_POLITICAL,10,138,83,0.0474,1.3639
germany,WEST_ACTORS,russia,RU_POLITICAL,9,46,835,0.0103,-0.5337
kiev,UKR_POLITICAL,putin,RU_POLITICAL,9,148,83,0.0405,1.111
germany,WEST_ACTORS,ukraine,UKR_POLITICAL,9,46,375,0.0218,0.6211
nato,WEST_ACTORS,usa,WEST_ACTORS,8,80,228,0.0267,0.3707
eu,WEST_ACTORS,poland,WEST_ACTORS,7,556,54,0.0116,-0.541
crimea,UKR_POLITICAL,russia,RU_POLITICAL,7,9,835,0.0084,1.4573
putin,RU_POLITICAL,usa,WEST_ACTORS,7,83,228,0.023,0.1249
kiev,UKR_POLITICAL,moscow,RU_POLITICAL,7,148,138,0.0251,0.0149
france,WEST_ACTORS,ukraine,UKR_POLITICAL,6,38,375,0.0147,0.3118
china,INTL_ACTORS,un,INTL_ACTORS,5,13,646,0.0076,0.8116
china,INTL_ACTORS,russia,RU_POLITICAL,5,13,835,0.0059,0.4414
poland,WEST_ACTORS,usa,WEST_ACTORS,5,54,228,0.0181,0.2597
germany,WEST_ACTORS,kiev,UKR_POLITICAL,4,46,148,0.0211,0.7925
germany,WEST_ACTORS,zelensky,UKR_POLITICAL,4,46,139,0.0221,0.883
un,INTL_ACTORS,yermak,UKR_POLITICAL,4,646,4,0.0062,2.1901
kremlin,RU_POLITICAL,un,INTL_ACTORS,4,10,646,0.0061,0.8682
crimea,UKR_POLITICAL,un,INTL_ACTORS,4,9,646,0.0061,1.0202
nato,WEST_ACTORS,trump,WEST_ACTORS,4,80,179,0.0157,-0.2802
france,WEST_ACTORS,zelensky,UKR_POLITICAL,4,38,139,0.0231,1.1587
nato,WEST_ACTORS,zelensky,UKR_POLITICAL,4,80,139,0.0186,0.0847
putin,RU_POLITICAL,zelensky,UKR_POLITICAL,4,83,139,0.0183,0.0315
crimea,UKR_POLITICAL,ukraine,UKR_POLITICAL,4,9,375,0.0105,1.8048
germany,WEST_ACTORS,poland,WEST_ACTORS,4,46,54,0.0417,2.2471
usa,WEST_ACTORS,yermak,UKR_POLITICAL,3,228,4,0.0131,3.2776
france,WEST_ACTORS,usa,WEST_ACTORS,3,38,228,0.0114,0.0297
nato,WEST_ACTORS,putin,RU_POLITICAL,3,80,83,0.0187,0.4135
kiev,UKR_POLITICAL,nato,WEST_ACTORS,3,148,80,0.0133,-0.4209
biden,WEST_ACTORS,trump,WEST_ACTORS,3,6,179,0.0165,3.0417
