label_a,label_b,count
RU_POLITICAL,UKR_POLITICAL,575
UKR_POLITICAL,INTL_ACTORS,573
RU_POLITICAL,INTL_ACTORS,528
WEST_ACTORS,UKR_POLITICAL,392
WEST_ACTORS,INTL_ACTORS,308
WEST_ACTORS,RU_POLITICAL,295
WEST_ACTORS,WEST_ACTORS,192
INTL_ACTORS,WEST_ACTORS,130
RU_POLITICAL,WEST_ACTORS,120
RU_POLITICAL,RU_POLITICAL,116
UKR_POLITICAL,WEST_ACTORS,100
UKR_POLITICAL,UKR_POLITICAL,90
INTL_ACTORS,RU_POLITICAL,59
INTL_ACTORS,UKR_POLITICAL,56
UKR_POLITICAL,RU_POLITICAL,45
CIVILIANS,RU_POLITICAL,29
INTL_ACTORS,INTL_ACTORS,29
CIVILIANS,INTL_ACTORS,22
CIVILIANS,UKR_POLITICAL,19
UKR_MILITARY,RU_POLITICAL,8
UKR_MILITARY,INTL_ACTORS,7
UKR_MILITARY,UKR_POLITICAL,7
CIVILIANS,WEST_ACTORS,4
INTL_ACTORS,RU_MILITARY,3
RU_POLITICAL,RU_MILITARY,3
