entity_a,label_a,entity_b,label_b,count,freq_a,freq_b,jaccard,pmi
ukraine,UKR_POLITICAL,un,INTL_ACTORS,525,1613,1502,0.2027,0.0374
russia,RU_POLITICAL,ukraine,UKR_POLITICAL,457,1301,1613,0.186,0.0446
russia,RU_POLITICAL,un,INTL_ACTORS,430,1301,1502,0.1812,0.0596
eu,WEST_ACTORS,ukraine,UKR_POLITICAL,259,692,1613,0.1266,0.1361
eu,WEST_ACTORS,un,INTL_ACTORS,234,692,1502,0.1194,0.0925
eu,WEST_ACTORS,russia,RU_POLITICAL,185,692,1301,0.1023,-0.0392
un,INTL_ACTORS,usa,WEST_ACTORS,117,1502,246,0.0717,0.5846
ukraine,UKR_POLITICAL,usa,WEST_ACTORS,93,1613,246,0.0527,0.1506
putin,RU_POLITICAL,russia,RU_POLITICAL,74,178,1301,0.0527,0.5978
eu,WEST_ACTORS,usa,WEST_ACTORS,67,692,246,0.0769,0.8984
russia,RU_POLITICAL,usa,WEST_ACTORS,58,1301,246,0.039,-0.2205
putin,RU_POLITICAL,un,INTL_ACTORS,49,178,1502,0.03,-0.2042
putin,RU_POLITICAL,ukraine,UKR_POLITICAL,45,178,1613,0.0258,-0.43
nato,WEST_ACTORS,ukraine,UKR_POLITICAL,39,82,1613,0.0236,0.4818
trump,WEST_ACTORS,ukraine,UKR_POLITICAL,39,101,1613,0.0233,0.1811
nato,WEST_ACTORS,russia,RU_POLITICAL,30,82,1301,0.0222,0.4134
civilians,CIVILIANS,russia,RU_POLITICAL,29,55,1301,0.0219,0.9407
russia,RU_POLITICAL,trump,WEST_ACTORS,29,1301,101,0.0211,0.0638
eu,WEST_ACTORS,putin,RU_POLITICAL,25,692,178,0.0296,-0.0571
moscow,RU_POLITICAL,ukraine,UKR_POLITICAL,25,80,1613,0.015,-0.1241
china,INTL_ACTORS,russia,RU_POLITICAL,25,42,1301,0.019,1.1156
moscow,RU_POLITICAL,un,INTL_ACTORS,24,80,1502,0.0154,-0.0802
nato,WEST_ACTORS,un,INTL_ACTORS,24,82,1502,0.0154,-0.1158
kiev,UKR_POLITICAL,un,INTL_ACTORS,23,63,1502,0.0149,0.2031
eu,WEST_ACTORS,nato,WEST_ACTORS,23,692,82,0.0306,0.9408
civilians,CIVILIANS,un,INTL_ACTORS,22,55,1502,0.0143,0.3349
ukraine,UKR_POLITICAL,zelensky,UKR_POLITICAL,21,1613,40,0.0129,0.6243
moscow,RU_POLITICAL,russia,RU_POLITICAL,21,80,1301,0.0154,-0.0656
eu,WEST_ACTORS,trump,WEST_ACTORS,21,692,101,0.0272,0.5089
putin,RU_POLITICAL,trump,WEST_ACTORS,20,178,101,0.0772,2.3974
kremlin,RU_POLITICAL,un,INTL_ACTORS,19,50,1502,0.0124,0.2609
civilians,CIVILIANS,ukraine,UKR_POLITICAL,19,55,1613,0.0115,0.0205
china,INTL_ACTORS,un,INTL_ACTORS,19,42,1502,0.0125,0.5124
russia,RU_POLITICAL,zaporizhzhia,UKR_POLITICAL,18,1301,29,0.0137,1.176
eu,WEST_ACTORS,moscow,RU_POLITICAL,18,692,80,0.0239,0.6228
china,INTL_ACTORS,ukraine,UKR_POLITICAL,18,42,1613,0.011,0.3315
kiev,UKR_POLITICAL,ukraine,UKR_POLITICAL,17,63,1613,0.0102,-0.3359
iaea,INTL_ACTORS,russia,RU_POLITICAL,17,26,1301,0.013,1.2511
kremlin,RU_POLITICAL,russia,RU_POLITICAL,16,50,1301,0.012,0.2202
trump,WEST_ACTORS,un,INTL_ACTORS,15,101,1502,0.0094,-1.0945
crimea,UKR_POLITICAL,russia,RU_POLITICAL,15,35,1301,0.0114,0.6417
crimea,UKR_POLITICAL,ukraine,UKR_POLITICAL,15,35,1613,0.0092,0.3315
trump,WEST_ACTORS,usa,WEST_ACTORS,15,101,246,0.0452,1.5156
ukraine,UKR_POLITICAL,zaporizhzhia,UKR_POLITICAL,15,1613,29,0.0092,0.6028
crimea,UKR_POLITICAL,un,INTL_ACTORS,14,35,1502,0.0092,0.3349
kremlin,RU_POLITICAL,ukraine,UKR_POLITICAL,13,50,1613,0.0079,-0.3895
un,INTL_ACTORS,zelensky,UKR_POLITICAL,13,1502,40,0.0085,0.0353
usa,WEST_ACTORS,zelensky,UKR_POLITICAL,13,246,40,0.0476,2.6455
poland,WEST_ACTORS,un,INTL_ACTORS,12,21,1502,0.0079,0.8494
kiev,UKR_POLITICAL,russia,RU_POLITICAL,12,63,1301,0.0089,-0.5283
germany,WEST_ACTORS,un,INTL_ACTORS,11,27,1502,0.0072,0.3613
poland,WEST_ACTORS,ukraine,UKR_POLITICAL,11,21,1613,0.0068,0.621
eu,WEST_ACTORS,germany,WEST_ACTORS,11,692,27,0.0155,1.4794
russia,RU_POLITICAL,zelensky,UKR_POLITICAL,9,1301,40,0.0068,-0.288
china,INTL_ACTORS,putin,RU_POLITICAL,9,42,178,0.0427,2.5113
france,WEST_ACTORS,russia,RU_POLITICAL,9,20,1301,0.0069,0.712
nato,WEST_ACTORS,usa,WEST_ACTORS,9,82,246,0.0282,1.0793
eu,WEST_ACTORS,france,WEST_ACTORS,9,692,20,0.0128,1.6228
france,WEST_ACTORS,germany,WEST_ACTORS,9,20,27,0.2368,6.3026
un,INTL_ACTORS,zaporizhzhia,UKR_POLITICAL,8,1502,29,0.0053,-0.2012
china,INTL_ACTORS,eu,WEST_ACTORS,8,42,692,0.011,0.3825
eu,WEST_ACTORS,kiev,UKR_POLITICAL,8,692,63,0.0107,-0.2025
donetsk,UKR_POLITICAL,russia,RU_POLITICAL,8,15,1301,0.0061,0.9572
germany,WEST_ACTORS,ukraine,UKR_POLITICAL,7,27,1613,0.0043,-0.3936
putin,RU_POLITICAL,usa,WEST_ACTORS,7,178,246,0.0168,-0.4014
iaea,INTL_ACTORS,ukraine,UKR_POLITICAL,7,26,1613,0.0043,-0.3392
azov,UKR_MILITARY,un,INTL_ACTORS,7,20,1502,0.0046,0.1422
azov,UKR_MILITARY,ukraine,UKR_POLITICAL,7,20,1613,0.0043,0.0393
france,WEST_ACTORS,un,INTL_ACTORS,7,20,1502,0.0046,0.1422
poland,WEST_ACTORS,russia,RU_POLITICAL,6,21,1301,0.0046,0.0567
russia,RU_POLITICAL,turkey,INTL_ACTORS,6,1301,12,0.0046,0.864
nato,WEST_ACTORS,trump,WEST_ACTORS,6,82,101,0.0339,1.7787
kharkiv,UKR_POLITICAL,un,INTL_ACTORS,6,13,1502,0.004,0.5413
iaea,INTL_ACTORS,zaporizhzhia,UKR_POLITICAL,6,26,29,0.1224,5.236
ukraine,UKR_POLITICAL,yermak,UKR_POLITICAL,6,1613,10,0.0037,0.817
kiev,UKR_POLITICAL,moscow,RU_POLITICAL,6,63,80,0.0438,2.4952
donetsk,UKR_POLITICAL,un,INTL_ACTORS,5,15,1502,0.0033,0.0718
