label_a,label_b,count
INTL_ACTORS,INTL_ACTORS,695
ISR_POLITICAL,INTL_ACTORS,582
PAL_POLITICAL,INTL_ACTORS,374
ISR_POLITICAL,PAL_POLITICAL,268
PAL_RESISTANCE,INTL_ACTORS,208
PAL_ORG,INTL_ACTORS,147
INTL_ACTORS,PAL_POLITICAL,138
INTL_ACTORS,ISR_POLITICAL,132
PAL_RESISTANCE,ISR_POLITICAL,87
PAL_RESISTANCE,PAL_POLITICAL,64
PAL_RESISTANCE,PAL_ORG,61
PAL_ORG,ISR_POLITICAL,59
PAL_ORG,PAL_POLITICAL,37
ISR_POLITICAL,ISR_POLITICAL,32
ISR_MILITARY,INTL_ACTORS,30
PAL_POLITICAL,PAL_POLITICAL,16
ISR_MILITARY,ISR_POLITICAL,15
ISR_MILITARY,PAL_POLITICAL,15
PAL_POLITICAL,ISR_POLITICAL,14
PAL_RESISTANCE,ISR_MILITARY,13
PAL_RESISTANCE,CIVILIANS,9
CIVILIANS,ISR_POLITICAL,9
CIVILIANS,INTL_ACTORS,8
PAL_ORG,CIVILIANS,8
INTL_ACTORS,ISR_MILITARY,6
INTL_ACTORS,PAL_RESISTANCE,5
PAL_ORG,ISR_MILITARY,5
INTL_ACTORS,PAL_ORG,4
ISR_POLITICAL,PAL_ORG,4
PAL_POLITICAL,PAL_ORG,3
