entity_a,label_a,entity_b,label_b,count,freq_a,freq_b,jaccard,pmi
israel,ISR_POLITICAL,un,INTL_ACTORS,271,788,722,0.2187,0.1979
israel,ISR_POLITICAL,pa,PAL_POLITICAL,235,788,588,0.206,0.2884
pa,PAL_POLITICAL,un,INTL_ACTORS,201,588,722,0.1812,0.1891
israel,ISR_POLITICAL,usa,INTL_ACTORS,124,788,268,0.133,0.4997
un,INTL_ACTORS,usa,INTL_ACTORS,123,722,268,0.1419,0.6142
iran,INTL_ACTORS,un,INTL_ACTORS,112,306,722,0.1223,0.2877
iran,INTL_ACTORS,pa,PAL_POLITICAL,92,306,588,0.1147,0.3001
iran,INTL_ACTORS,israel,ISR_POLITICAL,88,306,788,0.0875,-0.1864
gaza,PAL_RESISTANCE,israel,ISR_POLITICAL,78,222,788,0.0837,0.1026
pa,PAL_POLITICAL,usa,INTL_ACTORS,76,588,268,0.0974,0.2158
gaza,PAL_RESISTANCE,un,INTL_ACTORS,72,222,722,0.0826,0.1133
iran,INTL_ACTORS,usa,INTL_ACTORS,67,306,268,0.1321,0.9762
gaza,PAL_RESISTANCE,hamas,PAL_ORG,61,222,168,0.1854,1.9776
hamas,PAL_ORG,israel,ISR_POLITICAL,59,168,788,0.0658,0.1019
gaza,PAL_RESISTANCE,pa,PAL_POLITICAL,56,222,588,0.0743,0.0469
hamas,PAL_ORG,un,INTL_ACTORS,51,168,722,0.0608,0.0179
israel,ISR_POLITICAL,trump,INTL_ACTORS,48,788,135,0.0549,0.1197
trump,INTL_ACTORS,un,INTL_ACTORS,40,135,722,0.049,-0.0171
hamas,PAL_ORG,pa,PAL_POLITICAL,37,168,588,0.0515,-0.1489
israel,ISR_POLITICAL,syria,INTL_ACTORS,33,788,63,0.0403,0.6787
trump,INTL_ACTORS,usa,INTL_ACTORS,33,135,268,0.0892,1.1351
gaza,PAL_RESISTANCE,trump,INTL_ACTORS,31,222,135,0.0951,1.3166
pa,PAL_POLITICAL,trump,INTL_ACTORS,29,588,135,0.0418,-0.1849
gaza,PAL_RESISTANCE,usa,INTL_ACTORS,28,222,268,0.0606,0.1805
israel,ISR_POLITICAL,lebanon,INTL_ACTORS,26,788,53,0.0319,0.5841
hamas,PAL_ORG,iran,INTL_ACTORS,25,168,306,0.0557,0.2278
