label_a,label_b,count
INTL_ACTORS,INTL_ACTORS,453
ISR_POLITICAL,INTL_ACTORS,310
PAL_POLITICAL,INTL_ACTORS,212
PAL_RESISTANCE,INTL_ACTORS,122
ISR_POLITICAL,PAL_POLITICAL,121
PAL_ORG,INTL_ACTORS,75
INTL_ACTORS,ISR_POLITICAL,73
INTL_ACTORS,PAL_POLITICAL,51
PAL_RESISTANCE,PAL_POLITICAL,41
PAL_RESISTANCE,ISR_POLITICAL,37
PAL_ORG,PAL_POLITICAL,27
PAL_ORG,ISR_POLITICAL,26
PAL_RESISTANCE,PAL_ORG,25
ISR_MILITARY,INTL_ACTORS,21
CIVILIANS,INTL_ACTORS,14
ISR_POLITICAL,ISR_POLITICAL,14
ISR_MILITARY,PAL_POLITICAL,8
PAL_RESISTANCE,CIVILIANS,7
ISR_MILITARY,ISR_POLITICAL,7
CIVILIANS,ISR_POLITICAL,7
PAL_ORG,CIVILIANS,5
INTL_ACTORS,PAL_RESISTANCE,4
CIVILIANS,PAL_POLITICAL,4
PAL_RESISTANCE,ISR_MILITARY,4
PAL_ORG,ISR_MILITARY,3
