entity_a,label_a,entity_b,label_b,count,freq_a,freq_b,jaccard,pmi
israel,ISR_POLITICAL,un,INTL_ACTORS,133,425,462,0.1764,0.1097
israel,ISR_POLITICAL,pa,PAL_POLITICAL,108,425,326,0.168,0.3124
pa,PAL_POLITICAL,un,INTL_ACTORS,102,326,462,0.1487,0.1095
un,INTL_ACTORS,usa,INTL_ACTORS,71,462,173,0.1259,0.5009
israel,ISR_POLITICAL,usa,INTL_ACTORS,67,425,173,0.1262,0.5377
iran,INTL_ACTORS,un,INTL_ACTORS,65,205,462,0.108,0.1287
iran,INTL_ACTORS,israel,ISR_POLITICAL,58,205,425,0.1014,0.0847
gaza,PAL_RESISTANCE,un,INTL_ACTORS,48,178,462,0.0811,-0.105
pa,PAL_POLITICAL,usa,INTL_ACTORS,43,326,173,0.0943,0.2804
gaza,PAL_RESISTANCE,pa,PAL_POLITICAL,41,178,326,0.0886,0.1706
iran,INTL_ACTORS,usa,INTL_ACTORS,41,205,173,0.1217,0.881
iran,INTL_ACTORS,pa,PAL_POLITICAL,37,205,326,0.0749,-0.1812
trump,INTL_ACTORS,un,INTL_ACTORS,36,104,462,0.0679,0.2553
hamas,PAL_ORG,un,INTL_ACTORS,33,109,462,0.0613,0.062
gaza,PAL_RESISTANCE,israel,ISR_POLITICAL,32,178,425,0.056,-0.5695
israel,ISR_POLITICAL,trump,INTL_ACTORS,28,425,104,0.0559,0.0131
hamas,PAL_ORG,pa,PAL_POLITICAL,27,109,326,0.0662,0.2755
gaza,PAL_RESISTANCE,hamas,PAL_ORG,25,178,109,0.0954,1.0375
israel,ISR_POLITICAL,syria,INTL_ACTORS,25,425,61,0.0542,0.6193
gaza,PAL_RESISTANCE,trump,INTL_ACTORS,23,178,104,0.0888,0.9849
pa,PAL_POLITICAL,trump,INTL_ACTORS,23,326,104,0.0565,0.1119
hamas,PAL_ORG,israel,ISR_POLITICAL,23,109,425,0.045,-0.3384
syria,INTL_ACTORS,un,INTL_ACTORS,23,61,462,0.046,0.3786
trump,INTL_ACTORS,usa,INTL_ACTORS,21,104,173,0.082,0.8948
iran,INTL_ACTORS,trump,INTL_ACTORS,20,205,104,0.0692,0.5795
qatar,INTL_ACTORS,turkey,INTL_ACTORS,19,35,40,0.3393,4.4342
gaza,PAL_RESISTANCE,usa,INTL_ACTORS,19,178,173,0.0572,-0.0249
israel,ISR_POLITICAL,netanyahu,ISR_POLITICAL,14,425,49,0.0304,0.0989
netanyahu,ISR_POLITICAL,pa,PAL_POLITICAL,13,49,326,0.0359,0.3745
iran,INTL_ACTORS,syria,INTL_ACTORS,13,205,61,0.0514,0.7278
pa,PAL_POLITICAL,turkey,INTL_ACTORS,13,326,40,0.0368,0.6673
pa,PAL_POLITICAL,saudi arabia,INTL_ACTORS,12,326,28,0.0351,1.0664
turkey,INTL_ACTORS,un,INTL_ACTORS,12,40,462,0.0245,0.0488
saudi arabia,INTL_ACTORS,un,INTL_ACTORS,11,28,462,0.023,0.4379
netanyahu,ISR_POLITICAL,un,INTL_ACTORS,11,49,462,0.022,-0.3695
hamas,PAL_ORG,trump,INTL_ACTORS,11,109,104,0.0545,0.6283
egypt,INTL_ACTORS,un,INTL_ACTORS,10,25,462,0.021,0.4639
syria,INTL_ACTORS,usa,INTL_ACTORS,10,61,173,0.0446,0.5941
pa,PAL_POLITICAL,syria,INTL_ACTORS,10,326,61,0.0265,-0.32
israel,ISR_POLITICAL,turkey,INTL_ACTORS,10,425,40,0.022,-0.0938
hezbollah,INTL_ACTORS,iran,INTL_ACTORS,9,17,205,0.0423,2.0405
idf,ISR_MILITARY,un,INTL_ACTORS,9,27,462,0.0187,0.2008
hamas,PAL_ORG,usa,INTL_ACTORS,9,109,173,0.033,-0.3954
pa,PAL_POLITICAL,qatar,INTL_ACTORS,9,326,35,0.0256,0.3294
gaza,PAL_RESISTANCE,iran,INTL_ACTORS,8,178,205,0.0213,-1.5177
hamas,PAL_ORG,iran,INTL_ACTORS,8,109,205,0.0261,-0.8101
hezbollah,INTL_ACTORS,pa,PAL_POLITICAL,8,17,326,0.0239,1.2013
hamas,PAL_ORG,hezbollah,INTL_ACTORS,8,109,17,0.0678,2.7819
turkey,INTL_ACTORS,usa,INTL_ACTORS,8,40,173,0.039,0.881
idf,ISR_MILITARY,pa,PAL_POLITICAL,8,27,326,0.0232,0.5339
saudi arabia,INTL_ACTORS,turkey,INTL_ACTORS,7,28,40,0.1148,3.3156
gaza,PAL_RESISTANCE,hostages,CIVILIANS,7,178,18,0.037,1.7992
gaza,PAL_RESISTANCE,qatar,INTL_ACTORS,7,178,35,0.034,0.8399
netanyahu,ISR_POLITICAL,trump,INTL_ACTORS,7,49,104,0.0479,1.1297
qatar,INTL_ACTORS,un,INTL_ACTORS,7,35,462,0.0143,-0.5361
netanyahu,ISR_POLITICAL,usa,INTL_ACTORS,7,49,173,0.0326,0.3955
