title,date,text
RISK Initiative: Taiwan's bold step to safeguard undersea cables - opinion,28-01-2026," In recent years, a number of undersea cables and key energy pipelines across Europe and the northern Atlantic region have suffered man-made damage, putting governments on high alert. Frequent incidents involving broken cables have also occurred in Asia and Pacific Island nations, prompting the launch of local emergency backup and risk response mechanisms. Such matters have repeatedly reminded us that in this digital era, it is not only data centers that support global operations; a network of cables stretching thousands of kilometers deep under the sea is also crucial. Moreover, the survival of many nations depends on the lifeline provided by energy and power lines. Whoever controls the flow of information can influence how the world operates."
RISK Initiative: Taiwan's bold step to safeguard undersea cables - opinion,28-01-2026,"And whoever controls energy and power can more or less decide the fate of nations. Undersea cables are an extremely crucial, yet often overlooked, element of the infrastructure making up the world of today. Against the backdrop of a rapidly changing global outlook, a fundamental shift has occurred in the perception of undersea cables – especially for Taiwan, which relies heavily on undersea communications, power, and energy lines to support its digital economy and citizens’ livelihoods. The security of undersea cables is not only a technological or industrial issue; undersea cables are a strategic asset of great importance to national security, resilience, and geopolitics."
RISK Initiative: Taiwan's bold step to safeguard undersea cables - opinion,28-01-2026,"In recent years, several cases of damage to undersea cables have occurred in the waters surrounding Taiwan, and particularly the Taiwan Strait, of a frequency and form that have attracted significant attention and shown that ongoing risks to such cables continue to rise. Successive cases occurred at the beginning of 2025. Damage was caused to international cables in the waters off Keelung by the Shunxing 39, a Cameroon-flagged freighter with Chinese links. And the Taiwan-Penghu No. 3 undersea cable was cut by the Hong Tai 58, a Togo-flagged cargo ship operated with Chinese funds."
RISK Initiative: Taiwan's bold step to safeguard undersea cables - opinion,28-01-2026,"As a means of engaging in gray-zone harassment and hybrid threats, doing damage to undersea cables is a low-cost ploy that has a high impact on the functioning of society and affects a nation’s domestic and overseas linkages. Even more alarmingly, in the political and legal domains, China is misrepresenting United Nations General Assembly Resolution 2758 in an attempt to forcibly link this issue with that of its so-called “one China principle.” It is suppressing Taipei’s international participation and constraining other nations’ freedom to pursue their own interests with the intention of isolating Taiwan and creating a legal basis for a future invasion."
RISK Initiative: Taiwan's bold step to safeguard undersea cables - opinion,28-01-2026,"At the same time, through a range of methods taking place in the air, at sea, and under the sea, China is unilaterally changing the status quo across the Taiwan Strait. In the air, China has unilaterally imposed new flight routes and carried out military exercises in a bid to obstruct Taiwan’s air links with the outside world. At sea, China aims to block the freedom of navigation operations conducted by international military vessels and make the Taiwan Strait its own internal waters, which would impact the movement of global seaborne cargo. And under the sea, through its efforts to cut off Taiwan proper from Taiwan’s outlying islands, and even to sever Taiwan’s international undersea cable connections, China is attempting to impede the flow of both information and capital."
RISK Initiative: Taiwan's bold step to safeguard undersea cables - opinion,28-01-2026,"These actions not only threaten Taiwan’s security but also pose huge risks to regional stability and worldwide digital networks. Taiwan serves as a key link in global supply chains. Severing any of Taiwan’s links to the outside world may not just leave Taiwan isolated; it could also break connections between various locations around the world, generating massive global upheaval. Indeed, damage to undersea cables, and the resultant affect upon capital and information flows, could generate an unbearable shock, impacting the highly digitalized, information-oriented global economic system that is currently witnessing the development of AI."
RISK Initiative: Taiwan's bold step to safeguard undersea cables - opinion,28-01-2026,"In facing authoritarian forces’ increasingly frequent use of gray-zone tactics, which aim to disrupt the international order and threaten the security of critical infrastructure, Taiwan has chosen to respond to the risks head-on through institutional frameworks and cooperation. Recently, the Legislative Yuan passed the third reading of amendments to seven laws put forward by the Executive Yuan designed to comprehensively strengthen the protection, management, and related enforcement mechanisms of undersea cables and pipelines. These legal measures will serve to deter malicious damage and regulatory violations against undersea cables, addressing long-standing security challenges while underscoring the government’s commitment to undersea cable security as a core pillar of national resilience."
RISK Initiative: Taiwan's bold step to safeguard undersea cables - opinion,28-01-2026,"In parallel, Taiwan is exploring ways to translate its own experience into policy solutions that can be shared with the global community. In October 2025, at the Taiwan-Europe Undersea Cable Security Forum cohosted by the Foreign Ministry and the European chapter of the Formosa Club, I proposed the RISK Management Initiative on International Undersea Cables. The initiative received support from 42 parliamentarians representing 18 European countries and was incorporated into the joint statement adopted at the Formosa Club’s annual summit in Taipei. This move symbolized Taiwan’s evolution from a party affected by related issues into a proactive actor proposing institutional initiatives."
RISK Initiative: Taiwan's bold step to safeguard undersea cables - opinion,28-01-2026,"The RISK Initiative focuses on addressing risk through the provision of four mutually supportive policy goals: first, risk mitigation, which seeks to enhance emergency repair and backup capabilities through transnational coordination; second, information sharing, which involves establishing threat intelligence exchanges and early warning mechanisms; third, systemic reform, which aims to review deficiencies in current international and domestic regulations when addressing hybrid threats; and fourth, knowledge building, which focuses on comprehensively improving protection and resilience through professional training and practical exchanges at an international level."
RISK Initiative: Taiwan's bold step to safeguard undersea cables - opinion,28-01-2026,"These four pillars, which are interconnected and mutually reinforcing, have the ultimate objective of creating a more resilient and sustainable international undersea cable security network. To translate vision into action, Taiwan has designed a multilayered, cooperative pathway that will incrementally advance institutional frameworks and substantive cooperation. We look forward to working with like-minded partners to build a resilient undersea cable security network and ensure that undersea cables become a commonly protected global public good rather than a point of vulnerability for democratic societies."
