source,target,verb,sentiment,passive,label_s,label_o
un,israel,condemn,-0.7651740312576294,False,INTL_ACTORS,ISR_POLITICAL
israel,gaza,fight,-0.5194060802459717,False,ISR_POLITICAL,PAL_RESISTANCE
israel,pa,want,-0.838927686214447,False,ISR_POLITICAL,PAL_POLITICAL
hamas,gaza,govern,0.0,True,PAL_ORG,PAL_RESISTANCE
netanyahu,idf,visit,-0.5032852292060852,False,ISR_POLITICAL,ISR_MILITARY
pa,gaza,stop,-0.8922345638275146,False,PAL_POLITICAL,PAL_RESISTANCE
gaza,palestine,mean,-0.7196218371391296,False,PAL_RESISTANCE,PAL_POLITICAL
israel,un,see,0.0,False,ISR_POLITICAL,INTL_ACTORS
usa,pa,confront,0.0,False,INTL_ACTORS,PAL_POLITICAL
usa,pa,oppose,0.0,False,INTL_ACTORS,PAL_POLITICAL
un,pa,raise,0.0,False,INTL_ACTORS,PAL_POLITICAL
palestine,un,experience,0.0,False,PAL_POLITICAL,INTL_ACTORS
usa,pa,reshape,0.0,False,INTL_ACTORS,PAL_POLITICAL
gaza,un,play,0.6065874695777893,False,PAL_RESISTANCE,INTL_ACTORS
usa,un,reach,0.0,False,INTL_ACTORS,INTL_ACTORS
pa,usa,reflect,0.0,False,PAL_POLITICAL,INTL_ACTORS
palestine,pa,possess,-0.7789560556411743,False,PAL_POLITICAL,PAL_POLITICAL
israel,pa,possess,0.0,False,ISR_POLITICAL,PAL_POLITICAL
pa,un,exist,-0.587977409362793,False,PAL_POLITICAL,INTL_ACTORS
israel,pa,overlook,-0.7720347046852112,False,ISR_POLITICAL,PAL_POLITICAL
israel,pa,adopt,0.0,False,ISR_POLITICAL,PAL_POLITICAL
israel,pa,find,0.6120985150337219,False,ISR_POLITICAL,PAL_POLITICAL
hamas,pa,represent,0.0,False,PAL_ORG,PAL_POLITICAL
gaza,un,begin,0.0,False,PAL_RESISTANCE,INTL_ACTORS
un,gaza,approach,-0.7973251342773438,False,INTL_ACTORS,PAL_RESISTANCE
pa,palestine,ignore,-0.8505720496177673,False,PAL_POLITICAL,PAL_POLITICAL
israel,pa,want,-0.7307092547416687,False,ISR_POLITICAL,PAL_POLITICAL
pa,un,bear,-0.9158663749694824,False,PAL_POLITICAL,INTL_ACTORS
israel,un,drown,-0.5418387651443481,False,ISR_POLITICAL,INTL_ACTORS
usa,un,produce,-0.6558816432952881,False,INTL_ACTORS,INTL_ACTORS
netanyahu,un,add,0.0,False,ISR_POLITICAL,INTL_ACTORS
pa,usa,reflect,-0.6991243958473206,False,PAL_POLITICAL,INTL_ACTORS
gaza,un,derive,0.0,False,PAL_RESISTANCE,INTL_ACTORS
usa,pa,support,0.0,False,INTL_ACTORS,PAL_POLITICAL
usa,idf,see,-0.8981849551200867,False,INTL_ACTORS,ISR_MILITARY
israel,hamas,indicate,0.0,False,ISR_POLITICAL,PAL_ORG
pa,israel,notify,0.0,False,PAL_POLITICAL,ISR_POLITICAL
israel,hamas,attack,-0.6233700513839722,False,ISR_POLITICAL,PAL_ORG
israel,pa,favor,0.0,False,ISR_POLITICAL,PAL_POLITICAL
israel,gaza,view,0.0,False,ISR_POLITICAL,PAL_RESISTANCE
gaza,usa,have,0.0,False,PAL_RESISTANCE,INTL_ACTORS
un,pa,accept,0.0,False,INTL_ACTORS,PAL_POLITICAL
israel,gaza,annex,0.0,False,ISR_POLITICAL,PAL_RESISTANCE
israel,gaza,recognize,0.0,False,ISR_POLITICAL,PAL_RESISTANCE
usa,israel,limit,0.0,False,INTL_ACTORS,ISR_POLITICAL
pa,usa,view,-0.7201941013336182,False,PAL_POLITICAL,INTL_ACTORS
hamas,usa,consider,-0.7453592419624329,False,PAL_ORG,INTL_ACTORS
israel,pa,face,-0.7543504238128662,False,ISR_POLITICAL,PAL_POLITICAL
un,israel,strengthen,0.0,False,INTL_ACTORS,ISR_POLITICAL
israel,pa,welcome,-0.7215293645858765,False,ISR_POLITICAL,PAL_POLITICAL
israel,pa,violate,-0.8805149793624878,False,ISR_POLITICAL,PAL_POLITICAL
israel,pa,face,-0.5403500199317932,False,ISR_POLITICAL,PAL_POLITICAL
israel,pa,launch,-0.7845909595489502,False,ISR_POLITICAL,PAL_POLITICAL
usa,pa,bear,-0.5339608192443848,False,INTL_ACTORS,PAL_POLITICAL
israel,un,reset,0.0,False,ISR_POLITICAL,INTL_ACTORS
pa,palestine,redefine,0.0,True,PAL_POLITICAL,PAL_POLITICAL
pa,palestine,present,0.0,False,PAL_POLITICAL,PAL_POLITICAL
israel,pa,destroy,0.0,False,ISR_POLITICAL,PAL_POLITICAL
israel,pa,need,0.0,False,ISR_POLITICAL,PAL_POLITICAL
israel,un,legalize,0.0,False,ISR_POLITICAL,INTL_ACTORS
israel,pa,treat,-0.66944819688797,False,ISR_POLITICAL,PAL_POLITICAL
usa,israel,view,0.0,False,INTL_ACTORS,ISR_POLITICAL
usa,un,confirm,0.0,False,INTL_ACTORS,INTL_ACTORS
netanyahu,usa,urge,0.0,False,ISR_POLITICAL,INTL_ACTORS
netanyahu,usa,urge,-0.5350669026374817,False,ISR_POLITICAL,INTL_ACTORS
netanyahu,israel,transform,-0.8719190955162048,False,ISR_POLITICAL,ISR_POLITICAL
netanyahu,un,say,-0.8386906385421753,False,ISR_POLITICAL,INTL_ACTORS
israel,pa,end,-0.5606054663658142,False,ISR_POLITICAL,PAL_POLITICAL
israel,hamas,defeat,-0.6939787864685059,False,ISR_POLITICAL,PAL_ORG
israel,pa,have,-0.8257114291191101,False,ISR_POLITICAL,PAL_POLITICAL
israel,un,maintain,0.0,False,ISR_POLITICAL,INTL_ACTORS
israel,pa,announce,0.0,False,ISR_POLITICAL,PAL_POLITICAL
usa,pa,accelerate,0.0,False,INTL_ACTORS,PAL_POLITICAL
israel,un,launch,-0.5410411953926086,False,ISR_POLITICAL,INTL_ACTORS
israel,un,want,-0.6544064879417419,False,ISR_POLITICAL,INTL_ACTORS
usa,israel,force,0.0,True,INTL_ACTORS,ISR_POLITICAL
israel,gaza,occupy,-0.7506142854690552,True,ISR_POLITICAL,PAL_RESISTANCE
pa,un,have,0.0,False,PAL_POLITICAL,INTL_ACTORS
usa,israel,force,-0.5833881497383118,False,INTL_ACTORS,ISR_POLITICAL
usa,israel,force,0.0,False,INTL_ACTORS,ISR_POLITICAL
