source,target,verb,sentiment,passive,label_s,label_o
israel,pa,pressure,-0.7849999666213989,False,ISR_POLITICAL,PAL_POLITICAL
un,israel,send,0.0,False,INTL_ACTORS,ISR_POLITICAL
usa,israel,control,0.0,False,INTL_ACTORS,ISR_POLITICAL
usa,pa,deploy,-0.8911536335945129,False,INTL_ACTORS,PAL_POLITICAL
usa,israel,support,0.0,True,INTL_ACTORS,ISR_POLITICAL
israel,pa,raise,0.0,False,ISR_POLITICAL,PAL_POLITICAL
usa,un,cross,0.0,False,INTL_ACTORS,INTL_ACTORS
israel,gaza,do,-0.8783378601074219,False,ISR_POLITICAL,PAL_RESISTANCE
israel,pa,provoke,-0.7938432693481445,False,ISR_POLITICAL,PAL_POLITICAL
pa,usa,stay,-0.8433935046195984,False,PAL_POLITICAL,INTL_ACTORS
pa,israel,slaughter,-0.8547833561897278,False,PAL_POLITICAL,ISR_POLITICAL
pa,israel,brand,-0.9079221487045288,False,PAL_POLITICAL,ISR_POLITICAL
pa,usa,target,0.0,False,PAL_POLITICAL,INTL_ACTORS
usa,israel,strengthen,0.0,False,INTL_ACTORS,ISR_POLITICAL
israel,hamas,attack,-0.6518272757530212,False,ISR_POLITICAL,PAL_ORG
usa,israel,fight,0.0,False,INTL_ACTORS,ISR_POLITICAL
israel,hamas,attack,-0.6518272757530212,False,ISR_POLITICAL,PAL_ORG
usa,israel,strengthen,0.0,False,INTL_ACTORS,ISR_POLITICAL
usa,pa,seek,-0.570758581161499,False,INTL_ACTORS,PAL_POLITICAL
usa,pa,seek,-0.6781493425369263,False,INTL_ACTORS,PAL_POLITICAL
israel,pa,make,-0.8305156230926514,False,ISR_POLITICAL,PAL_POLITICAL
pa,netanyahu,criticize,-0.8882519602775574,False,PAL_POLITICAL,ISR_POLITICAL
israel,netanyahu,see,0.8589012026786804,False,ISR_POLITICAL,ISR_POLITICAL
israel,pa,learn,-0.8612263202667236,False,ISR_POLITICAL,PAL_POLITICAL
hamas,israel,devastate,-0.8330706357955933,False,PAL_ORG,ISR_POLITICAL
israel,pa,take,0.0,False,ISR_POLITICAL,PAL_POLITICAL
israel,netanyahu,criticize,-0.7031755447387695,False,ISR_POLITICAL,ISR_POLITICAL
israel,hamas,compel,0.0,False,ISR_POLITICAL,PAL_ORG
israel,un,unnerve,-0.6565183997154236,False,ISR_POLITICAL,INTL_ACTORS
usa,pa,demonstrate,0.7167303562164307,False,INTL_ACTORS,PAL_POLITICAL
idf,usa,kill,0.0,False,ISR_MILITARY,INTL_ACTORS
un,israel,keep,0.8255680799484253,False,INTL_ACTORS,ISR_POLITICAL
israel,pa,excel,-0.6216118931770325,False,ISR_POLITICAL,PAL_POLITICAL
israel,un,stand,0.0,False,ISR_POLITICAL,INTL_ACTORS
un,israel,enter,0.0,False,INTL_ACTORS,ISR_POLITICAL
israel,un,make,-0.7084454894065857,False,ISR_POLITICAL,INTL_ACTORS
israel,pa,have,0.0,False,ISR_POLITICAL,PAL_POLITICAL
israel,un,maintain,0.6745883226394653,False,ISR_POLITICAL,INTL_ACTORS
pa,un,signal,-0.6859909296035767,False,PAL_POLITICAL,INTL_ACTORS
israel,hamas,watch,-0.861897349357605,False,ISR_POLITICAL,PAL_ORG
idf,un,locate,0.0,False,ISR_MILITARY,INTL_ACTORS
idf,israel,cause,-0.8741369247436523,False,ISR_MILITARY,ISR_POLITICAL
israel,usa,face,-0.923477292060852,False,ISR_POLITICAL,INTL_ACTORS
israel,pa,see,-0.8546265363693237,False,ISR_POLITICAL,PAL_POLITICAL
pa,usa,confound,-0.7517226934432983,False,PAL_POLITICAL,INTL_ACTORS
usa,israel,manage,0.0,False,INTL_ACTORS,ISR_POLITICAL
usa,israel,manage,0.0,False,INTL_ACTORS,ISR_POLITICAL
usa,civilians,ignore,-0.7785555720329285,False,INTL_ACTORS,CIVILIANS
israel,gaza,destroy,-0.9415735006332397,True,ISR_POLITICAL,PAL_RESISTANCE
netanyahu,un,provide,-0.5581049919128418,False,ISR_POLITICAL,INTL_ACTORS
hamas,pa,enter,-0.5263056755065918,False,PAL_ORG,PAL_POLITICAL
israel,un,trade,0.0,False,ISR_POLITICAL,INTL_ACTORS
israel,pa,invite,-0.6223912239074707,False,ISR_POLITICAL,PAL_POLITICAL
hamas,un,build,-0.5743894577026367,False,PAL_ORG,INTL_ACTORS
israel,pa,need,-0.7092093825340271,False,ISR_POLITICAL,PAL_POLITICAL
israel,pa,need,0.0,False,ISR_POLITICAL,PAL_POLITICAL
hamas,israel,teach,0.0,False,PAL_ORG,ISR_POLITICAL
pa,un,target,0.0,False,PAL_POLITICAL,INTL_ACTORS
hamas,israel,challenge,-0.9094897508621216,False,PAL_ORG,ISR_POLITICAL
un,pa,reach,-0.8898029923439026,False,INTL_ACTORS,PAL_POLITICAL
israel,un,pursue,0.0,False,ISR_POLITICAL,INTL_ACTORS
netanyahu,israel,accelerate,-0.5416247248649597,False,ISR_POLITICAL,ISR_POLITICAL
israel,pa,embark,-0.5394244194030762,False,ISR_POLITICAL,PAL_POLITICAL
israel,pa,prepare,0.0,False,ISR_POLITICAL,PAL_POLITICAL
israel,pa,endure,-0.8322495222091675,False,ISR_POLITICAL,PAL_POLITICAL
israel,pa,explore,0.0,False,ISR_POLITICAL,PAL_POLITICAL
gaza,pa,represent,0.0,False,PAL_RESISTANCE,PAL_POLITICAL
israel,gaza,kill,-0.9173399806022644,True,ISR_POLITICAL,PAL_RESISTANCE
israel,gaza,occupy,0.0,False,ISR_POLITICAL,PAL_RESISTANCE
pa,hamas,disarm,-0.8126412630081177,True,PAL_POLITICAL,PAL_ORG
usa,un,approach,0.0,False,INTL_ACTORS,INTL_ACTORS
usa,gaza,focus,0.0,False,INTL_ACTORS,PAL_RESISTANCE
israel,palestine,push,0.0,False,ISR_POLITICAL,PAL_POLITICAL
un,israel,label,-0.779235303401947,False,INTL_ACTORS,ISR_POLITICAL
israel,pa,invite,0.0,False,ISR_POLITICAL,PAL_POLITICAL
pa,israel,turn,-0.6760070323944092,False,PAL_POLITICAL,ISR_POLITICAL
israel,pa,fit,-0.6760070323944092,False,ISR_POLITICAL,PAL_POLITICAL
israel,usa,press,0.0,False,ISR_POLITICAL,INTL_ACTORS
usa,un,retain,0.5315206050872803,False,INTL_ACTORS,INTL_ACTORS
pa,hamas,generate,-0.9117102026939392,False,PAL_POLITICAL,PAL_ORG
un,pa,need,-0.7916306257247925,False,INTL_ACTORS,PAL_POLITICAL
hamas,pa,confront,-0.5161644816398621,False,PAL_ORG,PAL_POLITICAL
pa,un,grab,-0.7137226462364197,False,PAL_POLITICAL,INTL_ACTORS
