source,target,verb,sentiment,passive,label_s,label_o
usa,kiev,leave,-0.5286715626716614,False,WEST_ACTORS,UKR_POLITICAL
usa,russia,offer,-0.6469793319702148,False,WEST_ACTORS,RU_POLITICAL
usa,russia,tell,-0.5350069403648376,False,WEST_ACTORS,RU_POLITICAL
ukraine,russia,return,0.0,False,UKR_POLITICAL,RU_POLITICAL
russia,ukraine,freeze,-0.5334389209747314,False,RU_POLITICAL,UKR_POLITICAL
russia,usa,understand,-0.6729267835617065,False,RU_POLITICAL,WEST_ACTORS
usa,eu,need,0.0,False,WEST_ACTORS,WEST_ACTORS
usa,eu,need,0.0,False,WEST_ACTORS,WEST_ACTORS
zelensky,eu,jump,0.0,False,UKR_POLITICAL,WEST_ACTORS
ukraine,russia,fight,-0.5539066195487976,False,UKR_POLITICAL,RU_POLITICAL
ukraine,eu,harm,-0.7420624494552612,False,UKR_POLITICAL,WEST_ACTORS
ukraine,russia,accuse,-0.6969900131225586,False,UKR_POLITICAL,RU_POLITICAL
kiev,usa,disrupt,-0.7917653918266296,False,UKR_POLITICAL,WEST_ACTORS
eu,russia,have,-0.6090279817581177,False,WEST_ACTORS,RU_POLITICAL
usa,eu,force,-0.5125223398208618,False,WEST_ACTORS,WEST_ACTORS
eu,kiev,drag,0.0,False,WEST_ACTORS,UKR_POLITICAL
nato,eu,lead,-0.7949164509773254,False,WEST_ACTORS,WEST_ACTORS
nato,russia,seek,0.0,False,WEST_ACTORS,RU_POLITICAL
eu,kiev,help,-0.7914396524429321,False,WEST_ACTORS,UKR_POLITICAL
ukraine,eu,join,0.0,False,UKR_POLITICAL,WEST_ACTORS
eu,russia,adopt,-0.7858390808105469,False,WEST_ACTORS,RU_POLITICAL
