source,target,verb,sentiment,passive,label_s,label_o
russia,ukraine,succeed,-0.5589199662208557,False,RU_POLITICAL,UKR_POLITICAL
russia,ukraine,attack,0.0,False,RU_POLITICAL,UKR_POLITICAL
ukraine,eu,astonish,-0.6138080954551697,True,UKR_POLITICAL,WEST_ACTORS
ukraine,russia,prevent,0.0,False,UKR_POLITICAL,RU_POLITICAL
ukraine,eu,begin,-0.5177668333053589,False,UKR_POLITICAL,WEST_ACTORS
ukraine,eu,begin,0.0,False,UKR_POLITICAL,WEST_ACTORS
russia,eu,allocate,-0.797178328037262,False,RU_POLITICAL,WEST_ACTORS
ukraine,nato,join,0.0,False,UKR_POLITICAL,WEST_ACTORS
russia,civilians,kill,-0.8967998027801514,False,RU_POLITICAL,CIVILIANS
eu,russia,pay,0.0,False,WEST_ACTORS,RU_POLITICAL
eu,ukraine,give,0.0,False,WEST_ACTORS,UKR_POLITICAL
russia,nato,attack,-0.8325191736221313,False,RU_POLITICAL,WEST_ACTORS
russia,nato,fear,0.0,False,RU_POLITICAL,WEST_ACTORS
ukraine,russia,weigh,0.0,False,UKR_POLITICAL,RU_POLITICAL
russia,eu,violate,0.0,False,RU_POLITICAL,WEST_ACTORS
russia,ukraine,target,-0.779408872127533,False,RU_POLITICAL,UKR_POLITICAL
ukraine,usa,have,0.0,False,UKR_POLITICAL,WEST_ACTORS
nato,ukraine,grant,0.0,False,WEST_ACTORS,UKR_POLITICAL
ukraine,russia,degrade,0.0,False,UKR_POLITICAL,RU_POLITICAL
eu,ukraine,help,0.0,False,WEST_ACTORS,UKR_POLITICAL
ukraine,usa,need,0.0,False,UKR_POLITICAL,WEST_ACTORS
ukraine,eu,start,0.0,False,UKR_POLITICAL,WEST_ACTORS
russia,usa,release,0.0,False,RU_POLITICAL,WEST_ACTORS
russia,usa,kill,-0.8907407522201538,False,RU_POLITICAL,WEST_ACTORS
ukraine,russia,weaken,0.0,False,UKR_POLITICAL,RU_POLITICAL
nato,russia,designate,-0.7001200318336487,False,WEST_ACTORS,RU_POLITICAL
ukraine,russia,destroy,-0.6646215319633484,False,UKR_POLITICAL,RU_POLITICAL
russia,civilians,shoot,-0.8530452251434326,False,RU_POLITICAL,CIVILIANS
ukraine,russia,hold,0.0,False,UKR_POLITICAL,RU_POLITICAL
ukraine,russia,withstand,-0.5379988551139832,False,UKR_POLITICAL,RU_POLITICAL
usa,eu,need,0.0,False,WEST_ACTORS,WEST_ACTORS
usa,eu,need,0.0,False,WEST_ACTORS,WEST_ACTORS
usa,eu,support,0.0,False,WEST_ACTORS,WEST_ACTORS
usa,ukraine,preserve,0.0,False,WEST_ACTORS,UKR_POLITICAL
usa,ukraine,abandon,0.0,False,WEST_ACTORS,UKR_POLITICAL
putin,ukraine,turn,0.0,False,RU_POLITICAL,UKR_POLITICAL
russia,ukraine,claim,0.0,False,RU_POLITICAL,UKR_POLITICAL
eu,ukraine,provide,0.0,False,WEST_ACTORS,UKR_POLITICAL
russia,ukraine,attack,0.0,False,RU_POLITICAL,UKR_POLITICAL
usa,ukraine,support,0.0,False,WEST_ACTORS,UKR_POLITICAL
russia,eu,invade,-0.6211117506027222,False,RU_POLITICAL,WEST_ACTORS
eu,ukraine,sell,-0.6553580164909363,False,WEST_ACTORS,UKR_POLITICAL
eu,ukraine,need,0.0,False,WEST_ACTORS,UKR_POLITICAL
ukraine,eu,need,0.0,False,UKR_POLITICAL,WEST_ACTORS
russia,ukraine,attack,-0.7854785919189453,False,RU_POLITICAL,UKR_POLITICAL
russia,ukraine,cleanse,0.0,False,RU_POLITICAL,UKR_POLITICAL
russia,eu,seep,-0.6471261978149414,False,RU_POLITICAL,WEST_ACTORS
ukraine,russia,deny,0.0,False,UKR_POLITICAL,RU_POLITICAL
russia,eu,invade,-0.8618802428245544,False,RU_POLITICAL,WEST_ACTORS
