source,target,verb,sentiment,passive,label_s,label_o
israel,un,act,0.0,False,ISR_POLITICAL,INTL_ACTORS
israel,usa,push,-0.8516983389854431,False,ISR_POLITICAL,INTL_ACTORS
israel,usa,join,0.0,False,ISR_POLITICAL,INTL_ACTORS
israel,usa,have,0.0,False,ISR_POLITICAL,INTL_ACTORS
israel,pa,lose,-0.5468265414237976,False,ISR_POLITICAL,PAL_POLITICAL
hamas,pa,expel,-0.746454656124115,False,PAL_ORG,PAL_POLITICAL
hamas,pa,need,-0.704601526260376,False,PAL_ORG,PAL_POLITICAL
israel,pa,launch,-0.5062005519866943,False,ISR_POLITICAL,PAL_POLITICAL
israel,un,have,0.8252330422401428,False,ISR_POLITICAL,INTL_ACTORS
idf,gaza,enter,0.0,False,ISR_MILITARY,PAL_RESISTANCE
israel,gaza,control,0.0,False,ISR_POLITICAL,PAL_RESISTANCE
israel,un,waste,-0.7581755518913269,False,ISR_POLITICAL,INTL_ACTORS
israel,pa,experience,0.0,False,ISR_POLITICAL,PAL_POLITICAL
israel,un,obtain,0.0,False,ISR_POLITICAL,INTL_ACTORS
pa,un,issue,-0.692928671836853,False,PAL_POLITICAL,INTL_ACTORS
israel,usa,meet,0.0,False,ISR_POLITICAL,INTL_ACTORS
israel,pa,await,0.0,False,ISR_POLITICAL,PAL_POLITICAL
usa,israel,signal,0.0,False,INTL_ACTORS,ISR_POLITICAL
un,gaza,monitor,0.0,True,INTL_ACTORS,PAL_RESISTANCE
israel,usa,rely,0.0,False,ISR_POLITICAL,INTL_ACTORS
usa,israel,support,-0.5169755816459656,False,INTL_ACTORS,ISR_POLITICAL
israel,hamas,prepare,0.0,False,ISR_POLITICAL,PAL_ORG
usa,israel,allow,0.0,False,INTL_ACTORS,ISR_POLITICAL
netanyahu,israel,state,0.0,False,ISR_POLITICAL,ISR_POLITICAL
hamas,gaza,control,0.0,True,PAL_ORG,PAL_RESISTANCE
pa,gaza,run,0.0,True,PAL_POLITICAL,PAL_RESISTANCE
netanyahu,israel,lead,-0.6594365835189819,False,ISR_POLITICAL,ISR_POLITICAL
un,hamas,force,-0.5808451175689697,False,INTL_ACTORS,PAL_ORG
un,pa,boycott,0.0,True,INTL_ACTORS,PAL_POLITICAL
usa,israel,attack,-0.8487834334373474,True,INTL_ACTORS,ISR_POLITICAL
un,israel,boycott,0.0,True,INTL_ACTORS,ISR_POLITICAL
netanyahu,pa,mention,0.0,False,ISR_POLITICAL,PAL_POLITICAL
pa,israel,concern,-0.8179436922073364,False,PAL_POLITICAL,ISR_POLITICAL
israel,un,lead,-0.8603649139404297,False,ISR_POLITICAL,INTL_ACTORS
