source,target,verb,sentiment,passive,label_s,label_o
israel,pa,possess,0.0,False,ISR_POLITICAL,PAL_POLITICAL
usa,israel,deter,-0.6396405100822449,False,INTL_ACTORS,ISR_POLITICAL
israel,un,obtain,0.0,False,ISR_POLITICAL,INTL_ACTORS
usa,israel,inform,0.0,False,INTL_ACTORS,ISR_POLITICAL
hamas,un,lose,-0.7716076374053955,False,PAL_ORG,INTL_ACTORS
israel,hamas,fight,0.0,False,ISR_POLITICAL,PAL_ORG
israel,hamas,deny,-0.7132216691970825,False,ISR_POLITICAL,PAL_ORG
un,pa,head,0.0,False,INTL_ACTORS,PAL_POLITICAL
pa,israel,pressure,-0.6687584519386292,False,PAL_POLITICAL,ISR_POLITICAL
israel,pa,choose,0.0,False,ISR_POLITICAL,PAL_POLITICAL
israel,un,manage,0.0,False,ISR_POLITICAL,INTL_ACTORS
israel,hamas,prepare,0.0,False,ISR_POLITICAL,PAL_ORG
hamas,un,give,-0.5673429369926453,False,PAL_ORG,INTL_ACTORS
usa,hamas,intensify,0.0,False,INTL_ACTORS,PAL_ORG
netanyahu,usa,block,-0.5460525155067444,False,ISR_POLITICAL,INTL_ACTORS
israel,pa,lack,0.0,False,ISR_POLITICAL,PAL_POLITICAL
israel,un,reflect,-0.6340481042861938,False,ISR_POLITICAL,INTL_ACTORS
un,israel,propel,0.72001051902771,False,INTL_ACTORS,ISR_POLITICAL
gaza,israel,return,-0.8739348649978638,False,PAL_RESISTANCE,ISR_POLITICAL
israel,pa,join,-0.6790067553520203,False,ISR_POLITICAL,PAL_POLITICAL
un,israel,demonstrate,0.0,False,INTL_ACTORS,ISR_POLITICAL
idf,un,defend,0.0,False,ISR_MILITARY,INTL_ACTORS
pa,hamas,enter,0.0,False,PAL_POLITICAL,PAL_ORG
netanyahu,un,set,0.0,False,ISR_POLITICAL,INTL_ACTORS
gaza,un,remove,-0.6669356822967529,False,PAL_RESISTANCE,INTL_ACTORS
pa,un,maintain,0.0,False,PAL_POLITICAL,INTL_ACTORS
israel,pa,rely,0.0,False,ISR_POLITICAL,PAL_POLITICAL
un,netanyahu,begin,0.0,False,INTL_ACTORS,ISR_POLITICAL
