title,date,text
I don't know if I'll come back alive either.,05-02-2026,"As a journalist who extensively covers the murders in Arab society, I recognize the change that has taken place in the past two years. In the past, we have covered extensively the innocents who have been the victim of the shooting of perpetrators. Today, in light of the astronomical increase in crime, we can no longer write about them - because there is a huge amount of crime and we are required to devote our full coverage to them. In fact, even many violent incidents in themselves, they are lost in the midst of the ongoing bloodshed. We are not just dealing with people."
I don't know if I'll come back alive either.,05-02-2026,"When the police are weak and unable to protect innocent civilians, men, women and even boys, live in constant danger with a known fate. Dozens of them have already sent me their pictures and their stories and asked: ""If they murder us - these will be the circumstances, ask that you tell our story."" Mothers told me, ""I have taken nothing to do with the conflicts either, and yet we are more afraid of life."
I don't know if I'll come back alive either.,05-02-2026,"The crime families themselves act more as institutions and organized societies than gangs. Years ago, I would have received death threats from criminals because I wrote certain information they didn't like. Today, I get calls from PR members of criminal organizations: ""This is the official spokesperson of X"", they say on the other line, ""We want to comment on the news you posted"". The head of a crime organization who contacted me asked me to publish what I was afraid of. I lost a lot of victims on my side and on the other side."
Minister for his personal safety,04-02-2026,"The social experiment that the prime minister has been conducting for more than three years, and is looking into how long the public will respond to the appointment of a paralegal in charge of the police, culminated this week with a series of interim findings, led by the conclusion that the mice in this lab are not the civilians at all, but the police officers. From the most senior police officer – Commissioner Danny Levy, who was offered as a compromise and ranked second only in the minister's recommendation, which he had not been approved by the minister's attorney for his actions."
Minister for his personal safety,04-02-2026,"The police officers in Israel have never been as virulent as under the wishes of the Minister of Internal Security Itamar Ben Gvir I. This is a chief scientist of manipulation and works in the civil service. When he first crossed the office doorway in 2023, and in his backpack 13 criminal convictions and 79 traffic convictions, he did not imagine how deep and quickly he would be allowed to enter the holy ground of the executive branch. But this week, even Ben Gvir tried to surprise himself with only a few hours in which he succeeded."
Minister for his personal safety,04-02-2026,"Amir Gvir is a perfect choice for inter-ministerial cooperation in which you are authorized as a minister to persecute citizens and to have them prosecuted as much as you like, to base government policy on fascist paradigms in which Arabs are murdered because they are criminals, Kaplanists kidnap grenades from a police officer because they are anarchists, and abductees should stay in Gaza because a deal with Hamas is at the mercy of the state. When the real numbers are revealed, 252 people from Arab society are killed in 2025."
Minister for his personal safety,04-02-2026,"So too, when the High Court of Justice faced the petitions filed against his appointment, allowing him to sign a conflict of interest agreement in April 2025 to extricate him from the strait – Ben Gvir loves the judges only when they are in his favor. Ben Gvir is still far from the prime minister's spectacular performance. He may have learned to laugh aloud at the lawyers wearing robes of Ashkenazi origin, but he has no idea how the head of a police commissioner he has appointed himself and decided against all odds to develop."
Minister for his personal safety,04-02-2026,"He may have learned to laugh out loud at lawyers wearing robes of Ashkenazi origin, but he has no idea how the Chief of Staff of the IDF Intelligence Division, Chief of Staff of the Jerusalem Police Department, and the Chief of Staff of the IDF Intelligence Division, Chief of Staff of the IDF Intelligence Division, Ben-Gavri, has already informed Levi and the Chief of Staff of the IDF Intelligence Division of the IDF, and has even reached a practical conclusion regarding the identity of the police officers, investigators, and prosecutors – when their commander in chief refuses to cooperate."
Minister for his personal safety,04-02-2026,"Last April, when Commissioner Danny Levy issued an order forbidding police officers to speak directly to the minister in charge, and even stated at a press conference that he would comply with the ruling of the High Court of Justice, he realized that the director of the trial had not been correct in his appointment, and that he had not correctly assessed the ability to become involved in the investigation."
Legal reform will take effect,04-02-2026,"Some people think that given a government that is not ""full-right"" a situation should be frozen, and there will be no need to balance the relationship between the authorities in Israel. They are wrong. There is no doubt that a rebalancing between the authorities must happen, and will happen. The judiciary will be forced to accept much clearer sector limits for its activities, and the legislature will have to strengthen itself. Whoever believes that the right-wing criticism of the court was merely hypocrisy, and that other political alliances cannot be restored."
Legal reform will take effect,04-02-2026,"On the other hand, in part of the second camp, widespread opposition to reform was seen as a sort of referendum in the streets, according to which significant parts of Israeli society oppose any change in the legal system. Only 15 percent of the general Israeli public really opposes significant reform in the relations of government and the legal system. A crushing majority of 69 percent of Israelis support significant change at one level or another except that the data of the ""measure"" site refutes these two perceptions. First, the data show that only a significant majority of the Israeli public is actually opposed to the reform in the system."
Legal reform will take effect,04-02-2026,"While this is a vast group that does not accept the dichotomy of ""absolute victory"" or ""settlementary freeze"", it requires a deep correction to be made together, not out of a camp decision. In fact, public opinion teaches that the public is not fighting for the status quo, which has already been broken, but it is also not interested in a unilateral overriding. Most Israelis are at a point where they recognize the need for a new consensus between the authorities and its borders is clearer to the legal system."
Legal reform will take effect,04-02-2026,"The Israeli tragedy stems from the fact that we have created an arena of only two centers of power, which clash head-on with each other. In order to restore balance to the state, we must create additional centers of power, on the basis of the legislature – creating institutions where the personal ambition of one representative will limit that of the other. Only splitting the power into more centers will ensure that the personal interest of the politician and the judge will ultimately serve the restraint required for all systems."
The treatment that comes to Israeli Arabs,04-02-2026,"There is no doubt that October 7 was a historic moment for the Jewish people. The fact that Israel was unable to protect its citizens, who had been slaughtered for hours by Hamas terrorists, sparked anxiety, concern, and also a sense of solidarity among the world's Jews, alongside an Israeli determination to defend ourselves from now on. The impact of the events is still ongoing, and one of the results is that in the eyes of most Israelis the prospect of a future peace with the Palestinians is also small. Thus the only, and potential leadership, are not at risk for another."
The treatment that comes to Israeli Arabs,04-02-2026,"Thus, for example, we have heard of more Jewish espionage cases being recruited for Iran than for Arabs. At the same time, in recent years, another phenomenon has occurred: the crime among Israeli Arabs has spread, to the extent that life has now become almost unbearable for law-abiding citizens, who are facing gunfire, threats and extortion almost daily."
The treatment that comes to Israeli Arabs,04-02-2026,"At the same time, the political system is entrenched in the opposite position: most opposition parties, and certainly the coalition parties, have declared that they will not sit with an Arab party in government, even though Mansour Abbas, a leader of the IRGC, wishes to do so. This could be a mistake on a historic scale, as the crime in Arab society has opened up a rare window of opportunity for us: we are entering an election year, the Arabs of Israel have proven their belonging to the state around the events of October 7th, and they are also seeking their assistance in order."
The treatment that comes to Israeli Arabs,04-02-2026,"The more Jews join the Arab struggle against crime, the more established the victory over Hamas will be: after all, one of its goals on October 7 was to incite the rest of the Palestinians to join the war. The Israeli government has not yet succeeded in harnessing the military achievements to agreements with the Arab world."
"Adventurers will disappear, the public will lose",04-02-2026,"""It's not the milk reform, dummy, it's the politics,"" says R., a third generation of dairy farmers. ""A third generation is proud,"" in his formulation. R. admits that he is unable to follow the rationale behind the reform led by Finance Minister Bezalel Smotrich, ""even if I exert myself,"" he says, ""what he does, if I have to summarize in the field of dairy farming, is still going to lose the baby with the water."""
