,title,date,text
0,Christmas is not a Western story – it is a Palestinian one,"['December 25, 2025']","First published in Al Jazeera Every December, much of the Christian world enters a familiar cycle of celebration: carols, lights, decorated trees, consumer frenzy and the warm imagery of a snowy night. In the United States and Europe, public discourse often speaks of “Western Christian values”, or even the vague notion of “Judeo-Christian civilisation”. These phrases have become so common that many assume, almost automatically, that Christianity is inherently a Western religion — an expression of European culture, history and identity. It is not. Christianity is, and has always been, a West Asian / Middle Eastern religion. Its geography, culture, worldview and founding stories are rooted in this land — among peoples, languages and social structures that look far more like those in today’s Palestine, Syria, Lebanon, Iraq, and Jordan than anything imagined in Europe. Even Judaism, invoked in the term “Judeo-Christian values”, is itself a thoroughly Middle Eastern phenomenon. The West received Christianity — it certainly did not give birth to it. And perhaps nothing reveals the distance between Christianity’s origins and its contemporary Western expression more starkly than Christmas — the birth story of a Palestinian Jew, a child of this land who was born long before modern borders and identities emerged. What the West made of Christmas In the West, Christmas is a cultural marketplace. It is commercialised, romanticised and wrapped in layers of sentimentality. Lavish gift-giving overshadows any concern for the poor. The season has become a performance of abundance, nostalgia, and consumerism — a holiday stripped of its theological and moral core. Even the familiar lines of the Christmas song Silent Night obscure the true nature of the story: Jesus was not born into serenity but into upheaval. He was born under military occupation, to a family displaced by an imperial decree, in a region living under the shadow of violence. The holy family were forced to flee as refugees because the infants of Bethlehem, according to the Gospel narrative, were massacred by a fearful tyrant determined to preserve his reign. Sound familiar? Indeed, Christmas is a story of empire, injustice and the vulnerability of ordinary people caught in its path. Bethlehem: Imagination vs reality For many in the West, Bethlehem – the birthplace of Jesus – is a place of imagination — a postcard from antiquity, frozen in time. The “little town” is remembered as a quaint village from scripture rather than a living, breathing city with actual people, with a distinct history and culture. Bethlehem today is surrounded by walls and checkpoints built by an occupier. Its residents live under a system of apartheid and fragmentation. Many feel cut off, not only from Jerusalem – which the occupier does not allow them to visit – but also from the global Christian imagination that venerates Bethlehem’s past while often ignoring its present. This sentiment also explains why so many in the West, while celebrating Christmas, care little about the Christians of Bethlehem. Even worse, many embrace theologies and political attitudes that erase or dismiss our presence entirely in order to support Israel, the empire of today. In these frameworks, ancient Bethlehem is cherished as a sacred idea, but modern Bethlehem — with its Palestinian Christians suffering and struggling to survive — is an inconvenient reality that needs to be ignored. This disconnect matters. When Western Christians forget that Bethlehem is real, they disconnect from their spiritual roots. And when they forget that Bethlehem is real, they also forget that the story of Christmas is real. They forget that it unfolded among a people who lived under empire, who faced displacement, who longed for justice, and who believed that God was not distant but among them. What Christmas means for Bethlehem So what does Christmas look like when told from the perspective of the people who still live where it all began — the Palestinian Christians? What meaning does it hold for a tiny community that has preserved its faith for two millennia? At its heart, Christmas is the story of the solidarity of God. It is the story of God who does not rule from afar, but is present among the people and takes the side of those on the margins. The incarnation — the belief that God took on flesh — is not a metaphysical abstraction. It is a radical statement about where God chooses to dwell: in vulnerability, in poverty, among the occupied, among those with no power except the power of hope. In the Bethlehem story, God identifies not with emperors but with those suffering under empire — its victims. God comes not as a warrior but as an infant. God is present not in a palace but in a manger. This is divine solidarity in its most striking form: God joins the most vulnerable part of humanity. Christmas, then, is the proclamation of a God who confronts the logic of empire. For Palestinians today, this is not merely theology — it is lived experience. When we read the Christmas story, we recognise our own world: the census that forced Mary and Joseph to travel resembles the permits, checkpoints and bureaucratic controls that shape our daily lives today. The holy family’s flight resonates with the millions of refugees who have fled wars across our region. Herod’s violence echoes in the violence we see around us. Christmas is a Palestinian story par excellence. A message to the world Bethlehem celebrates Christmas for the first time after two years without public festivities. It was painful yet necessary for us to cancel our celebrations; we had no choice. A genocide was unfolding in Gaza, and as people who still live in the homeland of Christmas, we could not pretend otherwise. We could not celebrate the birth of Jesus while children his age were being pulled dead from the rubble. Celebrating this season does not mean the war, the genocide, or the structures of apartheid have ended. People are still being killed. We are still besieged. Instead, our celebration is an act of resilience — a declaration that we are still here, that Bethlehem remains the capital of Christmas, and that the story this town tells must continue. At a time when Western political discourse increasingly weaponises Christianity as a marker of cultural identity — often excluding the very people among whom Christianity was born — it is vital to return to the roots of this story. This Christmas, our invitation to the global church — and to Western Christians in particular — is to remember where the story began. To remember that Bethlehem is not a myth but a place where people still live. If the Christian world is to honour the meaning of Christmas, it must turn its gaze to Bethlehem — not the imagined one, but the real one, a town whose people today still cry out for justice, dignity and peace. To remember Bethlehem is to remember that God stands with the oppressed — and that the followers of Jesus are called to do the same.   In Gaza, the sky often offers a kind of beauty that feels almost unreal when set against the landscape beneath it. Strange though it may now seem, Phillips in that era epitomised the anguished North London liberal, existentially unsure about whether to obey the dictates of her heart or her head. 46 days into Trump’s ‘ceasefire,’ Gaza is still under attack. Over 490 violations, hundreds killed, the Israeli genocide hasn’t paused. Quds News Network (QNN) is the largest independent and comprehensive Palestinian youth electronic news network."
1,The Sky Above Gaza: Beauty Amid the Ruins Below After Two-Year Israeli Genocide,"['December 8, 2025']"," In Gaza, the sky often offers a kind of beauty that feels almost unreal when set against the landscape beneath it. At dawn, soft pastels spill across the horizon, rose, amber, and pale blue blending gently over the Mediterranean. By night, when the city darkens, the sky, untouched and unbroken, appears vast, peaceful, and mesmerizing.  But below this beautiful canvas lies a very different reality. Following the devastating two-year Israeli genocide, much of Gaza’s ground tells a story of destruction. Whole neighborhoods have been reduced to scattered concrete and twisted metal. Streets once busy with life now wind through rubble, collapsed buildings, and the remnants of shops, schools, and homes. The earth is littered with debris, dust hangs in the air, and the familiar landmarks that shaped daily life have been replaced by ruins. This contrast, the serene sky above and the shattered landscape below, creates a surreal duality. For many residents, looking upward is a momentary escape, a reminder of something still whole when so much around them is broken. The sky becomes a symbol of Palestinian resilience, a rare part of the environment untouched by the assault. Yet the ground reflects the harsh consequences of the genocide: displacement, loss, and the immense challenge of rebuilding.  Children still look up and point at clouds shaped like stories. Adults sit beside their tents at night, gazing at the stars and the moon because there is no electricity to light their shelters. In these small moments, the beauty of the sky becomes a quiet comfort. But the earth beneath them, scorched, shattered, heavy with the weight of Israel’s genocide, a landscape of survival and perseverance, where every piece of rubble once belonged to a memory, a family, or a dream. In Gaza, the sky is beautiful. The ground is broken. And between the two, life continues, fragile, determined, and waiting for a time when the view above and the world below can finally match in peace away from the Israeli occupation.   Christmas is a story of empire, injustice and the vulnerability of ordinary people caught in its path. Strange though it may now seem, Phillips in that era epitomised the anguished North London liberal, existentially unsure about whether to obey the dictates of her heart or her head. 46 days into Trump’s ‘ceasefire,’ Gaza is still under attack. Over 490 violations, hundreds killed, the Israeli genocide hasn’t paused. Quds News Network (QNN) is the largest independent and comprehensive Palestinian youth electronic news network."
2,Home truths' from Melanie Phillips convey one message: Israel will always be at war,"['November 27, 2025']","By David Harest I have known Melanie Phillips for some time. In fact, she was at one point my home desk news editor at the Guardian. Strange though it may now seem, Phillips in that era epitomised the anguished North London liberal, existentially unsure about whether to obey the dictates of her heart or her head. Phillips is by no means the only former Guardian colleague to make the journey from soft liberal left to hard Islamophobic right, from an Ed Miliband figure to a Michael Gove. But unlike some I could mention, this rite of passage had little to do with money. Phillips thought it could help her better serve the cause of Israel, which is now, according to her, under more threat than ever before. For her, the current idea of Israel is very different from the one she proclaimed at the Guardian, where she was fully at home. It had always been a Zionist newspaper. The Guardian’s most prominent former editor, CP Scott, was the first major figure in the Britishmedia in the early 20th century to espouse the Zionist cause of Chaim Weizmann, an alliance that set the stage for the 1917 Balfour Declaration. But Phillips has gone far beyond the realms of liberal Zionism. She recently gave a chest-thumping account of what she thinks is at stake at a conference in New York City, entitled “Rage Against the Hate”. All the hate seemed to be coming from the platform, but there was no parody intended in the title. Phillips declared that it was time to reveal a few home truths. These words are the inevitable precursor to a PR disaster for supporters of Israel, which is what her speech has since become. Religious war Very much in the mode of Russian President Vladimir Putin, Phillips declared that there was no such thing as Palestine or Palestinians. In fact, the only indigenous people around were the Jews, who were the only people with any historic, legal or moral entitlement to this land. To say this while activists in Britain are being arrested for shouting “from the river to the sea” as an allegedly pro-Hamas chant, hands their defence lawyers a get-out-of-jail card. Because what Phillips is claiming is that all the land from the river to the sea is Jewish. And as she knows, but the Crown Prosecution Service appears not to, “from the river to the sea” has been Likud policy since 1977. For Phillips, Jewish supremacy is too big a civilisational deal to be confined to territorial borders. It also crosses religious boundaries. Phillips branded Christianity a Jewish sect that had “got slightly out of hand”, to much laughter from her audience, and suggested that all the core values of the West were Jewish. Phillips branded Islam a “death cult”. She said: “By adopting the language and the moral inversion of the Palestine cause, the West has bought into the agenda for its own destruction at the hands of Islam. This is a death wish by the West, and if you have a death wish, you cannot fight a death cult, which is what the West is facing in the forces of Islam.” For Phillips, a permanent war that pitches seven million Israeli Jews against 450 million Arabs and 92 million Iranians is somehow not big enough. Like Israel’s national security minister, Itamar Ben Gvir, or Finance Minister Bezalel Smotrich, Phillips now wants to turn a conflict principally over land into a religious war - and take on in the process two billion Muslims. The only truth But it was when she tucked into Jews in the diaspora that the wheels truly came off the apple cart. To wield a large scalpel over the very umbilical cord on which Israel depends takes some doing - even for her. Phillips reminded diaspora Jews that their first loyalty was to Israel. She said they were not just Americans or Britons with Judaism added on; they were part of the “Jewish nation”, and that should come first. Everything else was secondary. Diaspora Jews, according to Phillips, were too soft, too appeasing, too frightened of global public opinion, altogether too Talmudic - which she defined as being too defensive. And Israel should no longer continue “mowing the lawn” - a euphemism for Israeli wars that have killed tens of thousands of Palestinian civilians - but plough up that land altogether. She declared that it was time for Jews to go on the offensive; to reclaim the Tanakh, the Hebrew bible full of stories of Jews in antiquity, “fighting real battles and killing real people”. The war in Gaza was nothing less than the resurrection of the Tanakh Jew, the return of the heroic Davidic warrior, Phillips proclaimed in triumph. And so it turns out that Israel’s genocide in Gaza was not a righteous war of self-defence at all, after the Hamas attack of 7 October 2023, but the resurrection of a biblical prophecy as spelt out in the Tanakh. In ripping away the last fig leaf that concealed the purpose of Zionism, Phillip’s “home truths” contained one truth, which is now difficult for anyone on any side to deny: that henceforth, the state of Israel is and will be in a permanent state of war. This message is exactly what Palestinians need New Yorkers to hear. False ceasefires For decades, liberals fed willingly at the trough of Israeli myths - principally that Israel would be at peace if only they could find Palestinian moderates to talk to. Now, they are being told the very opposite: that it is Israel’s biblical destiny to regain a land well beyond its current borders, because all of the land belongs and has been assigned to them by God himself. Messages like these have already lost the Democrats, but it is from the Christian isolationist wing of Trump’s MAGA support base that Israel has the most to fear. There is no love lost for Palestinians among this influential group. But they know well and truly get the fact that a messianic Israel permanently at war means a US that is also permanently at war, with large numbers of American troops pinned down forever in the Middle East. With speeches like that, Phillips, and others like her, will ensure that Israel’s current nosedive in popularity among diaspora Jews in the US will hit ground at an angle of 90 degrees. For this reason alone, I would heartily encourage her to keep talking. An Israel permanently at war will hardly be news to Palestinians, Lebanese and Syrians, because that is what they have experienced every day since the so-called ceasefire deal. To date, more than 300 Palestinians have been killed in around 500 separate violations of the Gaza ceasefire agreement. Gaza is following the pattern set by the “ceasefire” in Lebanon, where Hezbollah withdrew and disarmed its forces south of the Litani River, only to find Israel staying in outposts and continuing to bomb the country, killing more than 300 people and injuring more than 900 in the past year, according to the Lebanese health ministry. Furthermore, Israeli demands have grown. On Sunday, it returned to its campaign of targeting top Hezbollah leaders by assassinating Haytham Ali Tabatabai, Hezbollah’s chief of staff, in a strike in Beirut clearly aimed at provoking a Hezbollah response. The ceasefire is deemed to exist only because Hamas and Hezbollah have not returned fire. The moment they do, the western media, with one voice, will proclaim the ceasefire is broken. Unprovoked invasion In southern Syria, where Israel has seized land the equivalent of the size of Gaza, without a missile or a shot being fired over the border by any militant group, Prime Minister Benjamin Netanyahu has just performed a victory parade with some of his cabinet ministers. His appearance on sovereign Syrian territory spelt the end of talks with the new Syrian government, which were in any case deadlocked. According to sources close to the talks, Israel had demanded not only safe passage to the province of Sweida, but also permanently unimpeded military access to the Kurds in the north, along with the right to inspect and veto all weapons acquired by Damascus. Netanyahu issued a fresh warning that the string of bases the Israeli army had already set up on Syrian territory, one of them 25 kilometres from Damascus, may not be enough: “This is a mission that can develop at any moment,” he warned. Netanyahu’s unprovoked invasion of Syria is the surest and quickest way I know of ensuring that Israel’s northern border will be attacked in the future by a rich variety of radical Islamist groups. If he succeeds in his goal of toppling the US-backed government of Ahmed al-Sharaa, and making central government impossible in a land riven by sectarian tensions, that vacuum will be filled by groups that will have no hesitation in bringing the war to Israel via ground incursions. Apart from destabilising Syria and making it as difficult as possible for a post-Assad regime to govern nationally, Israel’s military adventurism in Syria is clearly aimed at preparing the ground for another attack on Iran. Tehran is expecting that attack to come sooner rather than later - but this time, it will not be caught off guard by the presence of fake peace talks with the US. Spillover conflict Iranian officials described the country’s posture as defensive during the 12-day war that broke out after it was unilaterally attacked by Israeli and US warplanes this past June. In the next war, it will go on the offensive, particularly against the countries it now sees as a launchpad for drones and surveillance flights: Azerbaijan on its northern border and the UAE just across the Gulf. “When Israel starts the next round of this war, Iran will respond. But the next time we are attacked, it will spill over into the Gulf and the region. The United Arab Emirates and Azerbaijan, who are betraying the region, will pay a huge price,” a senior source with knowledge of Iranian thinking told me. This is no idle threat, as the Emiratis themselves are the first to realise. In fact, neither Iran nor any of the resistance groups that Israel thinks it has defeated in the last two years regards itself as defeated. They acknowledge the blows they received when Israel wiped out their leadership multiple times. But each describes those setbacks as tactical rather than strategic - and this is not just propaganda. Each is quickly rearming. As a movement, Hamas, which is a proscribed organisation in the UK, is more popular and has more offers of support in the region than it has ever had in its existence. According to a poll conducted last month by the Palestinian Center for Policy and Survey Research, if new legislative elections were held in Palestine tomorrow, 65 percent said they would participate, and of those, 44 percent would vote for Hamas, while 30 percent would support Fatah. Around 70 percent said they staunchly opposed the disarmament of Hamas. This is chiefly down to the fact that this generation of fighters learned the lessons of the Nakbas of 1948 and 1967, and former Palestinian leader Yasser Arafat’s humiliating exit from Beirutwhen surrounded by the Israeli army in 1982. Empty resolution The second stage of the “ceasefire” in Gaza, after Hamas handed over all of the live hostages and the bodies of dead hostages in its possession, is just as mired as the first was. No Arab or Muslim countries are willing to contribute troops to the proposed International Stabilisation Force without either a clear mandateor a path to Palestinian statehood. Azerbaijan will not agree to deploy troops unless Turkey does. King Abdullah of Jordan will not touch it. He told the BBC: “Peacekeeping is that you’re sitting there supporting the local police force, the Palestinians, which Jordan and Egypt are willing to train in large numbers, but that takes time. If we’re running around Gaza on patrol with weapons, that’s not a situation that any country would like to get involved in.” It’s the same story from the UAE, Egypt and Indonesia. Forced to look ever further east, US envoys Jared Kushner and Steve Witkoff have approached Singapore, which was reportedly surprised by the request. And it’s the same story with the proposed membership of the ""Board of Peace"". No one knows who is on it or where the money for it is coming from. No Palestinian government has been formed, and there is no clear plan to do so. One could go on, but it is clear that the UN Security Council resolution that set all this up has no planning, no commitments, no money and no personnel behind it. Of all the empty resolutions the UN has passed on this conflict, this is surely the emptiest. If this counts as peace, it is unsustainable. Sooner rather than later, and probably for purely electoral reasons, Netanyahu will make good on his threat to “finish the job” - after two years of war where he patently failed to do just that. And Phillips, for one, will be delighted, as yet more blood is shed. Her unvarnished Islamophobic vitriol will not bar her from appearing on BBC Question Time or the Moral Maze, nor will anyone dare to challenge her zealotry. Phillips is right. The West, and the BBC along with it, is sinking - but it is sinking because it tolerates and accommodates voices like hers.  Source: Middle East Eye Christmas is a story of empire, injustice and the vulnerability of ordinary people caught in its path. In Gaza, the sky often offers a kind of beauty that feels almost unreal when set against the landscape beneath it. 46 days into Trump’s ‘ceasefire,’ Gaza is still under attack. Over 490 violations, hundreds killed, the Israeli genocide hasn’t paused. Quds News Network (QNN) is the largest independent and comprehensive Palestinian youth electronic news network."
3,Gaza Ceasefire? The Answer Is No,"['November 27, 2025']","By Nour Mohamed It has been 48 days since Trump’s ceasefire agreement was signed. When it was declared, Palestinians collectively felt a moment of relief after two years of relentless Israeli bombardment, starvation, forced displacement, and more. However, almost immediately after the so-called ceasefire was announced, with Donald Trump cheerfully claiming it was ‘the historic dawn of a new Middle East”, Israel resumed its attacks on the Palestinian enclave, violating the truce more than 490 times in just 44 days, according to the Gaza Government Media Office on Saturday, and killing 342 civilians. The most recent attack took place on Thursday, when 32 Palestinians were killed in strikes across Gaza. An entire family was removed from the civil registry in the Nuseirat camp in central Gaza, when their house was hit. It was an ordinary day, much like those that had followed two years of genocide. Gazans were desperately searching for food and water; some worked to repair their dilapidated tents, while others mourned the loved ones they had lost in previous Israeli attacks. Yet once again, Israel abruptly shattered the fragile sense of normalcy. Israeli violations extend beyond direct attacks; Israel continues to use starvation as a weapon of war against Palestinians, even after they have endured two years of famine. According to the World Food Programme (WFP), only half the required food aid is currently reaching Gaza, while Palestinians say total aid deliveries amount to just one-quarter of what was agreed under the ceasefire. They are also preventing the entry of nutritious foods, including meat, dairy and vegetables, as well as much-needed medicine, tents and other materials for shelter while flooding its markets with processed, high-calorie items. Trump told a Palestinian reporter last week that “we are making a lot of progress” and Palestinians “like him” and were “doing well”. But Gazans see his brokered ceasefire as a cover for the ongoing displacement, genocide, and erasure of the Palestinian people in Gaza. Yet, despite this, Israel continues to receive unprecedented diplomatic, financial, and military support, the latest was the UN Security Council adaption of Resolution 2803 on November 17, in a “day of shame”, endorsing Trump’s 20-point plan for Gaza, a plan Palestinians see it a way to “strip them of their right to manage their own affairs.” And still, Western media and world leaders continue to call it a ceasefire, while some governments, even those that once claimed to have halted arms exports to Israel over the genocide in Gaza, have resumed those shipments. In effect, the international community is enabling Israel to carry on with its genocidal campaign, largely shielded from accountability. And Palestinians are still waiting to see whether the promises of the ceasefire will ever reach their tents so they can begin life again, and whether that ceasefire will hold beyond its initial phases. They are exhausted, with life around them feeling completely extinguished, and they fear that the Israeli violations are not merely military tactics but, in their view, part of Netanyahu’s vision to seize as much of Gaza’s land as possible. Christmas is a story of empire, injustice and the vulnerability of ordinary people caught in its path. In Gaza, the sky often offers a kind of beauty that feels almost unreal when set against the landscape beneath it. Strange though it may now seem, Phillips in that era epitomised the anguished North London liberal, existentially unsure about whether to obey the dictates of her heart or her head. Quds News Network (QNN) is the largest independent and comprehensive Palestinian youth electronic news network."
4,Gaza Ceasefire? The Answer Is No,"['November 25, 2025']","It has been 46 days since Trump’s ceasefire agreement was signed. When it was declared, Palestinians collectively felt a moment of relief after two years of relentless Israeli bombardment, starvation, forced displacement, and more. However, almost immediately after the so-called ceasefire was announced, with Donald Trump cheerfully claiming it was “the historic dawn of a new Middle East,” Israel resumed its attacks on the Palestinian enclave, violating the truce more than 490 times in just 44 days, according to the Gaza Government Media Office on Saturday, and killing 342 civilians. The most recent attack took place on Thursday, when 32 Palestinians were killed in strikes across Gaza. An entire family was removed from the civil registry in the Nuseirat camp in central Gaza when their house was hit. It was an ordinary day, much like those that had followed two years of genocide. Gazans were desperately searching for food and water; some worked to repair their dilapidated tents, while others mourned the loved ones they had lost in previous Israeli attacks. Yet once again, Israel abruptly shattered the fragile sense of normalcy. Israeli violations extend beyond direct attacks; Israel continues to use starvation as a weapon of war against Palestinians, even after they have endured two years of famine. According to the World Food Programme (WFP), only half the required food aid is currently reaching Gaza, while Palestinians say total aid deliveries amount to just one-quarter of what was agreed under the ceasefire. They are also preventing the entry of nutritious foods, including meat, dairy, and vegetables, as well as much-needed medicine, tents, and other materials for shelter while flooding its markets with processed, high-calorie items. Trump told a Palestinian reporter last week that “we are making a lot of progress” and Palestinians “like him” and were “doing well.” But Gazans see his brokered ceasefire as a cover for the ongoing displacement, genocide, and erasure of the Palestinian people in Gaza. The gap between Trump’s words and reality could not be starker. Children in Gaza continue to die from malnutrition and preventable diseases. Families remain trapped in overcrowded shelters with no access to clean water or electricity. Schools, hospitals, and markets lie in ruins, yet the international media remains largely silent, amplifying the false narrative of “progress” that Trump promotes. Yet, despite this, Israel continues to receive unprecedented diplomatic, financial, and military support, the latest being the UN Security Council adoption of Resolution 2803 on November 17, in a “day of shame,” endorsing Trump’s 20-point plan for Gaza—a plan Palestinians see as a way to strip them of their right to manage their own affairs. The global community’s complicity allows these violations to persist, leaving Gazans in a permanent state of fear, hunger, and oppression. The ceasefire, once seen as a potential lifeline, has instead become a tool to legitimize ongoing genocide and systemic displacement. For Palestinians, the so-called historic dawn Trump celebrated is nothing more than another day under siege.  Christmas is a story of empire, injustice and the vulnerability of ordinary people caught in its path. In Gaza, the sky often offers a kind of beauty that feels almost unreal when set against the landscape beneath it. Strange though it may now seem, Phillips in that era epitomised the anguished North London liberal, existentially unsure about whether to obey the dictates of her heart or her head. Quds News Network (QNN) is the largest independent and comprehensive Palestinian youth electronic news network."
5,Israel’s Reaction to Mamdani’s Victory: A Self-Indictment,"['November 5, 2025']","Christmas is a story of empire, injustice and the vulnerability of ordinary people caught in its path. In Gaza, the sky often offers a kind of beauty that feels almost unreal when set against the landscape beneath it. Strange though it may now seem, Phillips in that era epitomised the anguished North London liberal, existentially unsure about whether to obey the dictates of her heart or her head. Quds News Network (QNN) is the largest independent and comprehensive Palestinian youth electronic news network."
6,Why Israel Is Involved in Sudan: A Hidden Hand Shaping a Brutal Conflict,"['November 4, 2025']","Christmas is a story of empire, injustice and the vulnerability of ordinary people caught in its path. In Gaza, the sky often offers a kind of beauty that feels almost unreal when set against the landscape beneath it. Strange though it may now seem, Phillips in that era epitomised the anguished North London liberal, existentially unsure about whether to obey the dictates of her heart or her head. Quds News Network (QNN) is the largest independent and comprehensive Palestinian youth electronic news network."
7,An Army Whose Hobby Is Hunting Children…,"['November 3, 2025']","Christmas is a story of empire, injustice and the vulnerability of ordinary people caught in its path. In Gaza, the sky often offers a kind of beauty that feels almost unreal when set against the landscape beneath it. Strange though it may now seem, Phillips in that era epitomised the anguished North London liberal, existentially unsure about whether to obey the dictates of her heart or her head. Quds News Network (QNN) is the largest independent and comprehensive Palestinian youth electronic news network."
8,"It’s a Genocide in Many Forms, Not a Ceasefire Deal With Violations","['October 31, 2025']","Christmas is a story of empire, injustice and the vulnerability of ordinary people caught in its path. In Gaza, the sky often offers a kind of beauty that feels almost unreal when set against the landscape beneath it. Strange though it may now seem, Phillips in that era epitomised the anguished North London liberal, existentially unsure about whether to obey the dictates of her heart or her head. Quds News Network (QNN) is the largest independent and comprehensive Palestinian youth electronic news network."
9,Christmas is not a Western story – it is a Palestinian one,"['December 25, 2025']","First published in Al Jazeera Every December, much of the Christian world enters a familiar cycle of celebration: carols, lights, decorated trees, consumer frenzy and the warm imagery of a snowy night. In the United States and Europe, public discourse often speaks of “Western Christian values”, or even the vague notion of “Judeo-Christian civilisation”. These phrases have become so common that many assume, almost automatically, that Christianity is inherently a Western religion — an expression of European culture, history and identity. It is not. Christianity is, and has always been, a West Asian / Middle Eastern religion. Its geography, culture, worldview and founding stories are rooted in this land — among peoples, languages and social structures that look far more like those in today’s Palestine, Syria, Lebanon, Iraq, and Jordan than anything imagined in Europe. Even Judaism, invoked in the term “Judeo-Christian values”, is itself a thoroughly Middle Eastern phenomenon. The West received Christianity — it certainly did not give birth to it. And perhaps nothing reveals the distance between Christianity’s origins and its contemporary Western expression more starkly than Christmas — the birth story of a Palestinian Jew, a child of this land who was born long before modern borders and identities emerged. What the West made of Christmas In the West, Christmas is a cultural marketplace. It is commercialised, romanticised and wrapped in layers of sentimentality. Lavish gift-giving overshadows any concern for the poor. The season has become a performance of abundance, nostalgia, and consumerism — a holiday stripped of its theological and moral core. Even the familiar lines of the Christmas song Silent Night obscure the true nature of the story: Jesus was not born into serenity but into upheaval. He was born under military occupation, to a family displaced by an imperial decree, in a region living under the shadow of violence. The holy family were forced to flee as refugees because the infants of Bethlehem, according to the Gospel narrative, were massacred by a fearful tyrant determined to preserve his reign. Sound familiar? Indeed, Christmas is a story of empire, injustice and the vulnerability of ordinary people caught in its path. Bethlehem: Imagination vs reality For many in the West, Bethlehem – the birthplace of Jesus – is a place of imagination — a postcard from antiquity, frozen in time. The “little town” is remembered as a quaint village from scripture rather than a living, breathing city with actual people, with a distinct history and culture. Bethlehem today is surrounded by walls and checkpoints built by an occupier. Its residents live under a system of apartheid and fragmentation. Many feel cut off, not only from Jerusalem – which the occupier does not allow them to visit – but also from the global Christian imagination that venerates Bethlehem’s past while often ignoring its present. This sentiment also explains why so many in the West, while celebrating Christmas, care little about the Christians of Bethlehem. Even worse, many embrace theologies and political attitudes that erase or dismiss our presence entirely in order to support Israel, the empire of today. In these frameworks, ancient Bethlehem is cherished as a sacred idea, but modern Bethlehem — with its Palestinian Christians suffering and struggling to survive — is an inconvenient reality that needs to be ignored. This disconnect matters. When Western Christians forget that Bethlehem is real, they disconnect from their spiritual roots. And when they forget that Bethlehem is real, they also forget that the story of Christmas is real. They forget that it unfolded among a people who lived under empire, who faced displacement, who longed for justice, and who believed that God was not distant but among them. What Christmas means for Bethlehem So what does Christmas look like when told from the perspective of the people who still live where it all began — the Palestinian Christians? What meaning does it hold for a tiny community that has preserved its faith for two millennia? At its heart, Christmas is the story of the solidarity of God. It is the story of God who does not rule from afar, but is present among the people and takes the side of those on the margins. The incarnation — the belief that God took on flesh — is not a metaphysical abstraction. It is a radical statement about where God chooses to dwell: in vulnerability, in poverty, among the occupied, among those with no power except the power of hope. In the Bethlehem story, God identifies not with emperors but with those suffering under empire — its victims. God comes not as a warrior but as an infant. God is present not in a palace but in a manger. This is divine solidarity in its most striking form: God joins the most vulnerable part of humanity. Christmas, then, is the proclamation of a God who confronts the logic of empire. For Palestinians today, this is not merely theology — it is lived experience. When we read the Christmas story, we recognise our own world: the census that forced Mary and Joseph to travel resembles the permits, checkpoints and bureaucratic controls that shape our daily lives today. The holy family’s flight resonates with the millions of refugees who have fled wars across our region. Herod’s violence echoes in the violence we see around us. Christmas is a Palestinian story par excellence. A message to the world Bethlehem celebrates Christmas for the first time after two years without public festivities. It was painful yet necessary for us to cancel our celebrations; we had no choice. A genocide was unfolding in Gaza, and as people who still live in the homeland of Christmas, we could not pretend otherwise. We could not celebrate the birth of Jesus while children his age were being pulled dead from the rubble. Celebrating this season does not mean the war, the genocide, or the structures of apartheid have ended. People are still being killed. We are still besieged. Instead, our celebration is an act of resilience — a declaration that we are still here, that Bethlehem remains the capital of Christmas, and that the story this town tells must continue. At a time when Western political discourse increasingly weaponises Christianity as a marker of cultural identity — often excluding the very people among whom Christianity was born — it is vital to return to the roots of this story. This Christmas, our invitation to the global church — and to Western Christians in particular — is to remember where the story began. To remember that Bethlehem is not a myth but a place where people still live. If the Christian world is to honour the meaning of Christmas, it must turn its gaze to Bethlehem — not the imagined one, but the real one, a town whose people today still cry out for justice, dignity and peace. To remember Bethlehem is to remember that God stands with the oppressed — and that the followers of Jesus are called to do the same.   In Gaza, the sky often offers a kind of beauty that feels almost unreal when set against the landscape beneath it. Strange though it may now seem, Phillips in that era epitomised the anguished North London liberal, existentially unsure about whether to obey the dictates of her heart or her head. 46 days into Trump’s ‘ceasefire,’ Gaza is still under attack. Over 490 violations, hundreds killed, the Israeli genocide hasn’t paused. Quds News Network (QNN) is the largest independent and comprehensive Palestinian youth electronic news network."
