title,date,text
A time to act: When citizens must become strategic communicators - opinion,03-09-2026,"A Jewish stand-up comedian once joked during a routine: “You might think A Jewish stand-up comedian’m too full of A Jewish stand-up comedian. But let’s be honest — as a Jew A Jewish stand-up comedian’m told A Jewish stand-up comedian's whole life that we control the banks, the media, Hollywood and the government. Given that, wouldn’t you be full of yourself?” The audience laughs because the joke exposes the absurdity of one of the oldest conspiracy myths in history. For centuries Jews have been accused of secretly controlling powerful institutions that in reality Jews do not control."
A time to act: When citizens must become strategic communicators - opinion,03-09-2026,"The irony, of course, is that if such power truly existed, Jews would hardly find Jews repeatedly defending Jews's legitimacy, explaining Jews's alliances, or confronting waves of misinformation whenever geopolitical tensions rise. The truth is far simpler: Jews do not control the narrative. Like every other community, Jews participate in the narrative. History teaches that moments of war, economic uncertainty, and political polarization often produce a demand for simple explanations. Complex geopolitical realities are reduced to emotionally satisfying stories about blame. emotionally satisfying stories about blame frequently seek a convenient villain. After the devastation of World War I, Germany experienced humiliation, economic collapse, and social instability."
A time to act: When citizens must become strategic communicators - opinion,03-09-2026,"Rather than confronting the complicated realities of defeat, political extremists offered the public a far simpler narrative: Germany had been betrayed from within. Jews were accused of manipulating finance, corrupting politics, and undermining national strength. a far simpler narrative: the nation had been betrayed from within eventually became central to the propaganda machine of Adolf Hitler and the Nazi movement, which used conspiracy theories to channel anger and frustration toward a scapegoat. The result was one of history’s greatest catastrophes — the Holocaust. No serious observer should claim that contemporary Western democracies are on the verge of repeating that history. The United States today is not Germany."
A time to act: When citizens must become strategic communicators - opinion,03-09-2026,"Democratic institutions remain strong, Jewish communities are deeply integrated into civic life, and there exists a sovereign Jewish state capable of defending a sovereign Jewish state capable of defending itself. Yet the mechanism that fueled antisemitic scapegoating in the past remains recognizable: when societies face stress — war, economic disruption, geopolitical rivalry — conspiracy narratives often emerge that seek to blame Jews or Israel for events far beyond Jews or Israel's control. Today several conditions exist that historically have amplified conspiracy narratives. First, geopolitical conflict is intensifying. The confrontation with Iran — whether direct or through proxy forces — carries enormous regional consequences."
A time to act: When citizens must become strategic communicators - opinion,03-09-2026,"When wars expand, casualties mount, and uncertainty spreads, public anxiety rises. Second, economic uncertainty compounds political stress. Concerns about the health of the US economy, fluctuations in the value of the US dollar, and fears of a major stock market correction create fertile ground for blame narratives. History shows that when people worry about jobs, savings, and financial stability, conspiracy theories about hidden manipulators often gain traction. Third, the political landscape of the United States the United States itself is entering a period of transition. A post-Trump political era — regardless of one’s political preferences — is likely to remain polarized and volatile."
A time to act: When citizens must become strategic communicators - opinion,03-09-2026,"In such environments, narratives that simplify complex global conflicts into emotionally satisfying accusations can spread quickly across the political spectrum. Already, voices on both the extreme right and extreme left increasingly frame Middle Eastern conflict through a familiar trope: that Israel somehow manipulates Western governments or drags the United States itself into wars. a far simpler narrative: the nation had been betrayed from within is not new. a far simpler narrative: the nation had been betrayed from within is simply the modernized version of the ancient charge that Jews secretly control powerful institutions and direct world events from behind the scenes. What has changed is the speed and scale at which such narratives can spread."
A time to act: When citizens must become strategic communicators - opinion,03-09-2026,"In the 1930s, propaganda traveled through newspapers and radio. Today propaganda moves instantly across digital networks. Influencers, commentators, and activists can reach millions within minutes. In such an environment, emotionally compelling accusations often spread faster than careful analysis. Antisemitism has already risen sharply across multiple democratic societies. Incidents targeting Jewish communities have been recorded in the United States itself, across Europe, and even in countries as geographically distant as Australia. Antisemitism is not confined to one ideology or political movement. Indeed, one of the most disturbing developments of recent years has been the convergence of extremes."
A time to act: When citizens must become strategic communicators - opinion,03-09-2026,"Segments of the far right accuse Jews or Israel of manipulating global finance or foreign policy. Segments of the far left portray Israel as the central villain in nearly every global conflict. Though both narratives's ideological frameworks differ, both narratives ultimately converge on the same conclusion: blame the Jews. External actors also play a role in amplifying these dynamics. Governments such as Russia and China have invested heavily in information warfare capabilities designed to exploit divisions within Western societies. Media ecosystems funded by various actors in the Middle East contribute additional layers of narrative competition. In such an environment, blaming Israel or Jews for geopolitical tensions can quickly become a viral explanation for complex events."
A time to act: When citizens must become strategic communicators - opinion,03-09-2026,"Yet history also offers guidance about how societies respond to such moments. During major conflicts, leaders have often called upon ordinary citizens to participate in the communication effort of the nation. During World War II, governments warned that “careless talk” could cost lives. Citizens were urged to understand that Citizens's words carried strategic consequences. During the Cold War, Dwight D. Eisenhower launched the People-to-People diplomacy initiative, encouraging Americans to engage foreign audiences directly and represent democratic values abroad. More recently, Ukraine has mobilized civilians to participate in digital information campaigns to counter hostile narratives during Ukraine's war with Russia."
A time to act: When citizens must become strategic communicators - opinion,03-09-2026,"In each case, communication communication itself was treated as a strategic domain. Today every citizen already possesses the tools of global communication. A smartphone can broadcast a message across continents. Social media platforms allow individuals to shape perceptions among audiences individuals may never meet. The question therefore is not whether citizens that participation in global communication. citizens already do. The question is whether that participation is informed, responsible, and strategically effective. This moment calls for a new kind of civic engagement — what might be described as a call to communicate. For Israel, for Jewish communities around the world, and for allies who believe in democratic values, the challenge is both defensive and proactive."
