title,date,text,title_en,text_en
Мы долго запрягали с созданием Единой системы защиты городов России от дронов. Но теперь ей быть!,17-12-2025,"Министр обороны РФ Андрей Белоусов отметил, что атаки дальними дронами вглубь России выросли с 1500 до 3700 дронов в месяц. Фото: Министерство обороны РФ. Когда еще военная коллегия была так насыщена с одной стороны программными установками президента, а с другой констатацией суровой реальности от министра обороны. Если коротко подвести итог, то нет поводов расслабляться. Добиваемся целей спецоперации дальше. И чем дальше, тем качественнее. Добились истинного суверенитета, становимся сильнее, а значит победа неизбежна. Либо силой, либо дипломатией с позиции силы. Но просто не будет. И надо эволюционировать. Министр обороны отметил, что атаки дальними дронами вглубь России выросли с 1500 до 3700 дронов в месяц. Это серьезный вызов, на который надо отвечать. Тут умники пишут, что регионам РЭБ не дали, потому и летят по НПЗ. Интересно, каким РЭБом можно валить украинские дальние беспилотники «Лютые» и PD-2? В зоне СВО их валят эшелонированным взаимодействием - МОГами, «Торами» и FPV-перехватчиками. О последних как раз и говорил Андрей Белоусов на коллегии Минобороны. Я видел, как в 3-й мотострелковой дивизии их применяют инициативно. Тараном попасть сложно, поэтому применяют дистанционный подрыв. Подвесы и боеприпас делают сами. Но появились уже и заводские перехватчики. Скоро будет больше. А по региональной ПВО министр неспроста привел в пример Московский регион. Здесь действительно защита столицы построена образцово. И если кто не знает, Москва еще активно помогает строить ПВО в регионах. И из соображений солидарности, и просто из инстинкта самосохранения. Через эти регионы дроны летят на столицу. И лучше бы не долетали. В Москве прошли апробацию, к примеру, комплексы «Зубр» и «Цитадель». У армейской авиации появляются новые средства поражения БпЛА. Промышленность начинает клепать их серийно. И опыт Москвы, по словам Белоусова, будет масштабироваться в рамках единой системы ПВО. Запрягали долго, но поедем с ветерком! ЧИТАЙТЕ ТАКЖЕ Военкор Коц: Путин меня услышал - Россия должна дать жилье людям, ждавшим ее в разрушенных городах «Зеленский — не российский агент. Он полезный идиот»: Военкор Коц объяснил, почему устранение главы киевского режима невыгодно СЛУШАЙТЕ ТАКЖЕ Россия и Украина почти договорились","We've been busy creating a unified system to protect Russian cities from drones, but now it is!","The Russian Defence Minister, Andrei Belows, noted that the attacks by long-range drones in the interior of Russia had increased from 1,500 to 3,700 drones per month. Photo: Ministry of Defence of the Russian Federation. When the military bar was so full of the President &apos; s policies on the one hand, and the Minister of Defence &apos; s harsh reality on the other. In short, there is no reason to relax. We're moving on to special operations. And the further away, the better. We have achieved true sovereignty, become stronger, which means victory is inevitable. Either by force or by diplomacy from a position of power. But it's just not gonna happen. And we have to evolve. The Minister of Defence noted that attacks by long-range drones in the interior of Russia increased from 1,500 to 3,700 drones per month. This is a serious challenge to be answered. The smart guys here say they didn't give it to the REB regions, which is why they're flying the NHP. I wonder what kind of REBom can run away Ukrainian long-range drones called Flying and PD-2? In the SVU area, they have echelonized interactions with MOGs, Torami and FPV interceptors. That's what Andrei Belows was talking about at the DOD's college. I've seen them being used proactively in the 3rd M.O. Division. It's hard to get a Taran, so they're using a remote blast. The suspensions and the munitions are made by themselves. But there's already factory interceptors. There's gonna be more soon. On regional air defences, the Minister cited the Moscow region for a reason. It's really built up here to protect the capital. And if anyone doesn't know, Moscow is still actively helping to build air defences in the regions. It's both solidarity and self-preservation instinct. Through these regions, drones fly to the capital. I wish they hadn't. In Moscow, for example, the Zubr and Citadel complexes were tested. The army's air force is acquiring new weapons to kill the BPLA. Industry is beginning to flip them serially. And Moscow's experience, according to Belousov, will be scaled up within a single air defence system. It's been a long time, but we'll go with the breeze! PLEASE Vorencor Kotz: Putin heard me - Russia should give shelter to the people who were waiting for it in the destroyed cities ""Zelensky is not a Russian agent. He's a useful idiot"": Voencor Koz explained why the removal of the head of the Kiev regime was disadvantageous to the Russian Federation and Ukraine almost agreed."
Под люстрой Большого: фото в пеньюаре и новый этикет,16-12-2025,"Телеведущая Мария Григорьева перед началом балета в Большом. Фото: Личная страничка героя публикации в соцсети. Второй день гремит скандал вокруг Большого театра. И нет, он не про очереди на «Щелкунчика». Ведущая «России 24» Мария Григорьева посетила балет «Дочь фараона». Могло бы всё пройти тихо, но не прошло. Дело в том, что девушка решила не только балет посмотреть, но и себя показать у себя на своей страничке. А посмотреть есть на что. Мария — очень красивая, а её наряд, смахивавший на полупрозрачный ночной пеньюар, выигрышно подчёркивал фигуру и шикарное декольте. Но для пущего эффекта ведущая еще и позу приняла — легла на барьер ложи, задрав ноги. Так снимаются в купальниках на пляже. А почему бы и нет? Но публике показалось, что это слишком. «В театр в ночнушке?!», «Это не реклама нижнего белья? Точно?», «Что за голая вечеринка в Большом?» — разразился хейт. Всколыхнулся не только интернет. К обсуждению подключились первые лица балета. Николай Цискаридзе назвал ведущую «вызывающе лежащей женщиной» и предложил отправить её «мыть полы в театре две недели. Стыд и срам!». А заодно ещё раз напомнил всем о книге «Мозаика. Балет. Щелкунчик», где прописаны правила поведения в храме искусств. Не поняли такого фотоискусства и артистки Большого театра Анастасия Винокур и Вера Борисенкова: «уже второй день всем коллективом обсуждают нормы дозволенного и границы приличия». Не выдержав, Григорьева удалила пост. И переключилась на экономику: «Инфляция замедляется... Хорошие новости для тех, кто следит не только за моим внешним видом» - гласит последняя информация на ее личной страничке в соцсети. Девушка явно не ожидала такой реакции на свои красивые фото. И, знаете, я её почти понимаю. Она не нарушала правил — она следовала новым. Уважаемые читатели, поведение ведущей — это, к сожалению, уже не нарушение, а почти норма. Вы не поверите на слово, и правильно сделаете. Но попасть в Большой — не визит в храм, а серьезная покупка. Цены на билеты в обычные дни равны месячному бюджету семьи на еду. А в новогодние — годовому. Потому-то вам вряд ли удастся увидеть феерию не искусства, а предновогодних развлечений нашей новой элиты. Их Большой — это иной жанр. Мне довелось там побывать, все увидеть своими глазами. И я обалдела. Во-первых, от сцены. А во-вторых — от зала. Многие пришли заранее, чтобы не пропустить ни одного кадра. Позировать на фоне лестницы, с шампанским в буфете, выстоять очередь к зеркалу (а она, к слову, почти как в кассах на «Щелкунчика» перед Новым годом). И главное — сбегать на верхний этаж, где та самая знаменитая люстра. Там принимались такие позы, что Григорьева — просто лапочка-дочка. Но это ладно, ем более интерьеры и правда роскошные. Беда в том, что это блогерское настроение продолжилось и во время балета, уже в зрительном зале. Никто не стесняясь снимал и снимался. Сидевшая впереди меня женщина без остановки записывала видео происходящего на сцене и скидывала всё в какой-то чат. Прямо в онлайне. И таких было немало. Нет, не скажу, что как на концерте, но для театра, где это вообще запрещено, — более чем много. Люди вели прямые эфиры, делали селфи. И их никто не останавливал. Одним словом, всем было не до балета. Точнее, балет был фоном для создания контента. Я хотела заснять всю эту вакханалию и даже начала, но быстро остановилась, поняв, что в таком случае мало чем отличаюсь от этой публики (смотрите отснятый кусочек на видео). «Половина зала, не меньше, приходит в театр ради люстры», — с горечью сказал мой знакомый, артист Большого. — «Им до лампочки, что на сцене. То есть до люстры». И это было не под Новый год, а вообще в мае. Что творится 31 декабря, страшно представить. Мода демонстрировать себя на фоне Большого пришла во времена коронавируса, когда выезд из страны был закрыт, а желание куда-то выехать и как-то «блеснуть» на праздники никуда не делось. Вот и нашлись роскошные альтернативы дальним курортам. Цены сопоставимы, значит, престижно, да еще и культурно. Только курортный менталитет не сменили. Купальники на вечерние платья — забыли. Позы — тоже. Так что Григорьева не нарушила тишину. Она громко озвучила новые правила игры. Правила, по которым люстра — это софтбокс, ложа — подиум, а искусство — фон. Так что, как говорится, запасаемся попкорном. Шоу только начинается. СЛУШАЙТЕ ТАКЖЕ Надежда Бабкина - про французское белье, кто в доме главный и концерты в зоне СВО",Under the big chandelier: photo in the penuire and new etiquette.,"TV host Maria Grigorieva before the ballet starts in Big. Photo: Personal page of the hero published on the social media. Day two is a big-theater scandal. And no, it's not about the ""Clipper"" line. The leader of Russia 24, Maria Grigorieva, visited the Pharaoh's daughter ballet. It could've been quiet, but it didn't. The thing is, the girl decided not only to look at the ballet, but also to show herself on her own page. There's something to see. Mary was very beautiful, and her outfit, which looked like a semi-translutable night foam, was winningly highlighting the figure and the gorgeous cleavage. But for the effect, the leader also took the position, lying on the barrier of the bed, as well as being an assailant. That's what swimsuits on the beach do. Why not? But the audience thought it was too much. ""To the theater in the nightgown?"" ""Isn't that an ad for underwear? That's right, ""What's a naked party in Big? "" It wasn't just the Internet. The first faces of the ballet were involved in the discussion. Nikolai Tsikaridze called the leader ""the calling woman"" and suggested sending her ""to wash the floors in the theater for two weeks. Shame and shame!"" At the same time, he reminded everyone of the book ""Mosaic. Ballet. The Nutcracker, which lays down the rules of conduct in the temple of the arts. They did not understand this kind of photography and the artists of the Grand Theatre Anastasia Vinocourt and Vera Borisenkov: ""It is the second day for the entire collective to discuss the rules of the permissible and the limits of decency"". Unable to stand, Grigoriev removed the post. And she turned to the economy: ""Inflation is slowing down... Good news for people who aren't just watching my appearance,"" says the latest information on her personal social media page. The girl clearly did not expect such a reaction to her beautiful photos. And, you know, I almost get it. She didn't break the rules, she followed the new ones. Dear readers, the behavior of the leader is, unfortunately, not a violation, but almost normal. You're not gonna take your word for it, and you're gonna do the right thing. But getting to Big isn't a visit to the temple, it's a big purchase. The price of tickets on normal days is equal to the monthly food budget of the family. And in New Year's, it's annual. That's why you're not gonna be able to see the fairy of art, but the pre-new entertainment of our new elite. Their Big is a different genre. I've been there, I've seen it with my own eyes. And I fucked up. First of all, from the stage. And second of all, from the gym. A lot of people came in early so they wouldn't miss a single shot. To pose against the stairwell, with champagne in the cupboard, to stand in line to the mirror (and by the way, it's almost like in the drawers on the Nutcracker before New Year's Eve). And the most important thing is to run to the top floor, where the famous chandelier is. There were such positions that Grigoriev was just a little girl. But it's okay, eating more interiors is really gorgeous. The trouble is that this blogger's mood continued during the ballet, already in the auditorium. No one was shy about filming and filming. A woman sitting in front of me kept recording the video of what was happening on stage and was throwing everything into some chat room. It's online. And there were a lot of them. No, I'm not saying it's like a concert, but for a theater where it's not allowed at all, it's more than a lot. People aired live, made selfies. And no one stopped them. In short, everyone wasn't up to ballet. Actually, ballet was the background for creating content. I wanted to film all this vachanalia and I even started, but I quickly stopped and realized that in that case I wasn't much different from this audience. ""A half of the hall, at least, comes to the theater for the sake of chandelier,"" said my friend, Big artist, with grief. - ""They're up to the light bulb on the stage. I mean, to the chandelier."" And it wasn't New Year's, it was May. What's going on on December 31, it's scary to imagine. Fashion to show itself against the background of the Great came at the time of the coronavirus, when the exit from the country was closed, and the desire to go out and shine somehow for the holidays never went away. That's why there are luxurious alternatives to long-distance resorts. Prices are comparable, so it's prestigious and cultural. Except the spa mentality hasn't changed. The diners for the evening dresses, they forgot. Positions, too. So Grigoriev didn't break the silence. She spoke loudly about the new rules of the game. The rules by which chandeliers are softboxes, beds are runways, and art is background. So, as they say, we're gonna get some popcorn. The show's just getting started. Listen to Hope Babkin-- French underwear-- who's in the house in charge and concerts in the SVU zone."
"Родители не замечают, как растят монстра: как спасти детей от одиночества и ужасных преступлений",16-12-2025,"Обозреватель Ворсобин призвал почаще говорить с детьми после трагедии в Одинцово Фото: Иван МАКЕЕВ. Перейти в Фотобанк КП Сейчас в сети распространяется видео, которое я, бывалый журналист (в каком-то смысле социальный патологоанатом) не смог открыть. Не смог я это смотреть. В подмосковную школу Горки-2 вошел девятиклассник в изрисованной надписями каске, футболке с надписью на английском «Человеческие жизни не важны» и ножом. Он снимает все на видео. Более того – на его канале вся хронология преступления, где он подробно описывал – как готовился, подбирал обмундирование, выкладывал видео подготовки, а потом – и само преступление напрямую транслировалось в сеть. И вот он подходит, выставляя вперед нож, к группе школьников, спрашивает: «Какой вы национальности?». К счастью, сзади его отвлекает охранник, бежит к нему, кричит: «Отдай нож!» Тот режет охранника (сейчас он в тяжелом состоянии) и бежит за случайно попавшимся маленьким десятилетним мальчиком. Это видео тоже есть – но оно для меня невыносимо. И убивает его прямо на школьной лестнице. И хладнокровно делает с трупом селфи… Конечно, нам попытаются рассказать – как ребенок превратился в чудовище… Возможно, неполная семья. Возможно, психиатрия. Все возможно. Но у меня, черт побери, два вопроса. Первый – как родители, родственниками не заметили - кто у них растет? Или – по факту – кого они растили? Чему потворствовали? Какая мера их ответственности за воспитание, которое создало монстра и привело к смерти чужого ребенка! Тем более что этот зверь, судя по интернет-пиару подготовки к злодейству, и не думал скрываться. И исследователям этого феномена, нужно задать много вопросов подписчикам канала убийцы – почему не сообщили? Почему не испугались за других людей? Или – для подростков нынче – обещать резню и готовится к ней, что-то вроде черной шутки? Второй вопрос. Лозунги, которыми школьник изрисовал свою каску. Они антисемитские, националистические, нацистские. Ну, что, господа взрослые… Психиатры прекрасно знают, что бред больных не совсем бред. Когда-то психбольницы были населены Наполеонами, затем после модных новостей об НЛО – похищенными инопланетянами», сегодня – это облученные сотовыми станциями, а также жертвы прививок. Эта каска на голове малолетнего убийцы с надписью «Человеческие жизни не важны» - тоже может много сказать о нашем реальном мире. Например, что нам надо еще доказывать и доказывать, воспитывать и воспитывать, внушать и внушать: «Важны, важны, важны!» Почаще говорите со своими детьми (и меня это тоже очень даже касается), не оставляйте их без присмотра, спасайте от начала всех бед – душевного одиночества. «Все равно сяду на пожизненное»: ученики школы на Рублевке рассказали о страшном нападении подростка с охотничьим кинжалом ""Здесь не может идти речь о здоровой психике"": психолог - о причине трагедии в школе Одинцово и о том, как об этом говорить с детьми Подросток с ножом жестоко убил ребенка и ранил охранника: хроника нападения на школу в Подмосковье",Parents don't notice how they raise a monster: how to save children from loneliness and terrible crimes.,"Commentator Worsobin called for more talk to children after the Single Photo tragedy: Ivan MAKEEV. Going to the KP Photobank is now spreading a video that I, a former journalist (in a sense a social pathologist), has not been able to open. I couldn't watch it. Gorky 2 Underground School entered a nine-year-old in a painted helmet, a T-shirt written in English, ""Human Life Doesn't matter"" and a knife. He's filming everything on video. Moreover, on his channel, the entire timeline of the crime, where he described in detail – how he prepared, picked up uniforms, posted video training, and then – and the crime itself was broadcast live online. And then he comes up to the group of schoolchildren, putting the knife forward, and he asks, ""What kind of nationality are you?"" Fortunately, he is distracted from the back by a guard, running towards him, screaming, ""Give me the knife!"" He cuts the guard (now in serious condition) and runs after a random little ten-year-old boy. This video is there, too, but it's unbearable for me. And kills him right on the school stairs. And he's cold-blooded with a selfie corpse... of course they're gonna try to tell us how the baby turned into a monster... maybe a half-family. Possibly psychiatry. Anything's possible. But I have two damn questions. First, as parents, relatives didn't notice, who was growing up? Or, in fact, who did they raise? What were you condoning? What a measure of their responsibility for upbringing that created a monster and led to the death of another's child! Especially since this beast, according to the online piary of preparation for atrocities, never thought to hide. And researchers of this phenomenon need to ask a lot of questions to the killer's network subscribers – why didn't they tell you? Why weren't you afraid for other people? Or, for teenagers today, promise a massacre and prepare for it, like a black joke? Question two. Luzungi, who a schoolboy painted his helmet with. They're anti-Semitic, nationalist, Nazi. Well, gentlemen, the adults... the psychiatrists know very well that the delusions of the sick are not entirely delusional. The mental hospitals were once inhabited by Napoleons, then after fashion news about UFOs – abducted aliens – today are irradiated by cell stations, as well as vaccination victims. This helmet on a young killer's head, which says, ""Human lives aren't important,"" can also say a lot about our real world. For example, we still have to prove and prove, raise and raise, inspire and inspire, ""It is important, important, important!"" More often, speak to your children (and I am also very concerned), do not leave them unattended, save them from the beginning of all troubles — mental loneliness. ""I'm gonna sit on life anyway"": the students at Rublivka school reported a terrible attack by a teenager with a hunting dagger, ""It can't be about a healthy psyche"" -- a psychologist -- about the cause of the tragedy at the Sottsevo school and how to talk about it to children. A teenager with a knife brutally killed a child and wounded a guard: a chronic attack on a school in Podmoskovje."
После убийства школьника в Подмосковье украинские Сети захлестнула волна радости и ненависти,16-12-2025,"После убийства школьника в Подмосковье украинские Сети захлестнула волна радости и ненависти. Фото: Melnikov Dmitriy/Shutterstock/Fotodom Настоящий портал в ад открылся в украинском сегменте Сети после известия об убийстве в подмосковной школе четвероклассника учеником той же школы из 9-го класса. Малолетнего убийцу обезвредили и задержали, но столько концентрированного скотства в Сети давно уже видеть не приходилось - неприкрытая радость, издевательства, подначивания и многое, многое другое из этой же оперы. Нет, есть отдельные голоса здравомыслия, призывающие к состраданию и сочувствию. - Вы совсем что ли? Это же ребенок! Он ни в чем не виноват, такое может произойти где угодно, - попытался воззвать к человеческому один из комментаторов, но его моментально «похоронили» под своим «праведным гневом» другие «участники дискуссии». И, кстати, такие голоса являются реальным одиноким гласом вопиющего в пустыне. Зато практически все остальные тешат себя без каких-то ограничений вдоволь. - Молодчина, жалко, что лишь одного забрал. Мог бы побольше порезать этих [нецензурное о русских]. - Кацапы, не останавливайтесь, очистим кацапстан от кацапов. - Молодец, чудесное известие, жалко, что лишь одного маленького орка уничтожили, но респект. - Для поднятия настроения! - Русские - это воши (именно так, не вши, а воши – прим. авт.) на теле планеты Земля. - Где вы на территории [хамское название России] у популяции [россиян] увидели детей?? Дети бывают у людей, а они - не люди. - Какие люди, такие у них и [дети]!!! Типичный пример их животного мира! - Читая комментарии, становится стыдно и противно от сограждан. Мало чем отличаются от «орков», которых порицают, - попытался было выступить с полупримиренческих позиций еще один субъект. Вот только врать он начал с самого начала не хуже, чем «просроченный» наркофюрер Владимир Зеленский. Потому что нет нигде ни одного комментария с русской стороны, где кто-либо из наших радовался бы гибели украинских детей. Нет и быть не может. Потому что это с нашей стороны люди. А с их - либо молчаливые и запуганные до смерти граждане, либо вот такие…чудовища, которые радуются чужому горю в соответствии с местными традициями: «Нехай у меня корова сдохнет, абы у соседа две». Ученик 9-го класса (на фото) убил четвероклассника из своей школы. В телефоне преступника нашли десятки кадров, где он позирует в разгрузочном жилете Фото: Личная страница героя публикации в соцсети. Сотни комментариев, и практически все выдержаны в одном духе. Нет никакой разницы между каналами просто так называемых «украинских патриотических активистов» и официальных информационных агентств. Все они буквально извергают из себя злобу, человеконенавистничество, плюются ядом. Если бы ненависть могла убивать сама по себе, то вся Россия, наверное, уже давно была бы усеяна телами от Калининграда и до Владивостока. Отдельный момент во всех этих комментариях - нацистская тема. На шлеме убийцы были написаны неонацистские лозунги и девизы. Как выяснилось, преступник был приверженцем одного их течений данной идеологии. И «укропатриоты» вцепились в этот факт мертвой хваткой. - Славянская свастика - не свастика, говорили они - А визитку правого сектора нашли? - с радостью предполагали украинцы участие собственных спецслужб. - Но нацисти все равно мы? - спрашивали другие. Да, правда - все равно нацисты вы. Потому что монстры есть в любой стране. В каждом государстве имеются убийцы, насильники, маньяки, изменники, нацисты. Но в одних странах, как у нас, их ловят и наказывают по закону. А на Украине их возвеличивают, делают из них национальных героев. Мазепа, Бандера, Шухевич, Чикатило и десятки других. Изменники были везде, но в России и СССР власовцев наказывали, даже расстреливали, а вот в Незалежной и других странах тому же бандеровцу Гуньке аплодировали в парламентах, а десятки живых бандеровцев и сейчас ходят торжественными маршами. Именно поэтому люди и теряют остатки человечности. И смеют радоваться даже гибели детей… ЧИТАЙТЕ ТАКЖЕ Есть погибший и раненые: подросток напал с ножом на учеников в школе в посёлке Горки-2 в Подмосковье Подросток с ножом жестоко убил ребенка и ранил охранника: хроника нападения на школу в Подмосковье СЛУШАЙТЕ ТАКЖЕ Зеленскому нужно перемирие, чтобы начать новую войну","After the murder of a schoolboy in Pomoskovy, the Ukrainian Networks began a wave of joy and hatred.","After the murder of a schoolboy in Pomoskovy, the Ukrainian Networks began a wave of joy and hatred. Photo: Melnikov Dmitry/Shutterstock/Fotodom This portal to Hell opened in the Ukrainian segment of the Network after news of the murder of a fourth-grader at a sub-space school by a ninth-grade student of the same school. A young murderer was disarmed and detained, but so much of the concentrated cattle on the Net has not been seen for a long time - undisguised joy, bullying, tediousness and much, much more of the same opera. No, there are separate voices of sanity calling for compassion and compassion. - Are you all right? It's a baby! It's not his fault, it could happen anywhere, he tried to call on a human commentator, but he was immediately ""buried"" under his ""righteous anger"" by other ""discussants"". And by the way, such voices are a real single voice in the wilderness. But almost everyone else is running around without any restrictions. - Well done, I'm sorry I only took one. You could've cut these more. - Catsapps, don't stop, we're gonna clear the cathedral. - Well done, wonderful news, it's a pity that only one little orc was destroyed, but a point of view. - To raise the mood! - The Russians are lice. On the body of planet Earth. - Where did you see the children on the territory of the [Hamian Russian] population? Kids are people, and they're not people. - What kind of people they have and [children]!! A typical example of their animal world! When you read the comments, you get ashamed and disgusted by your fellow citizens. Little is different from the ""orcs"" that are criticized - another unsub tried to speak with semi-conciliation positions. Except he started lying from the beginning as much as Vladimir Zelensky, the ""lated"" drugFührer. Because there is no comment anywhere from the Russian side where any of ours would be happy about the deaths of Ukrainian children. No, it can't be. 'Cause it's people on our side. And with them, either silent and scared to death citizens, or these... weirdos, who rejoice in other people's grief, according to local traditions: ""Get my cow dead, or my neighbor has two."" A ninth grader (in photo) killed a fourth grader from his school. There's dozens of footage on the perpetrator's phone where he's posing in his discharge vest Photo: Personal page of the social media publication hero. Hundreds of comments, and almost everyone is in the same spirit. There is no difference between the channels simply referred to as &quot; Ukrainian patriotic activists &quot; and official news agencies. All of them literally excite anger, hate, spit poison. If hatred could kill on its own, Russia would probably have long been strewn with bodies from Kaliningrad to Vladivostok. A moment in all these comments is the Nazi theme. The killer's helmet had neo-Nazi slogans and mottos written on it. It turns out that the perpetrator was committed to one of their currents in this ideology. And the Ucropatriots clinged to this fact with a dead grip. - The Slavian swastika wasn't a swastika, they said - did they find a right-hand card? - Ukrainians were happy to assume the involvement of their own intelligence services. - But the Nazis are still us? - asked the others. Yeah, really, you're the Nazis anyway. Because there are monsters in every country. Every nation has murderers, rapists, maniacs, traitors, Nazis. But in some countries like us, they are caught and punished by law. And in Ukraine, they're glorifying them, making them national heroes. Mazepa, Bandera, Shukhevich, Chikatilo and dozens of others. The traitors were everywhere, but in Russia and the USSR, the Vlasovians were punished, even shot, but in the Neglect and other countries, the same Gunke bandit was applauded in parliaments, and dozens of living bandits are still marching in solemn marches. That's why people are losing the remnants of humanity. And they dare to rejoice even at the death of children."
Достояние республики: отмечаем праздник итальянской кухни,16-12-2025,"Главное - на каперсах не экономьте, они лучшие друзья курицы. Фото: Леонид ЗАХАРОВ. Перейти в Фотобанк КП На прошлой неделе ЮНЕСКО включила итальянскую кухню в список нематериального культурного наследия. Прежде этой чести удостаивались отдельные блюда, рецепты, продукты, а тут впервые сразу вся кухня. Меня это известие сильно порадовало, ну вот люблю я все итальянское, ничего не могу с собой поделать. Сразу захотелось отпраздновать. А как? Да очень просто: взять и приготовить что-нибудь в честь Итальянской Республики. Паста? Слишком просто. Пицца - многовато возни. Да и вообще, кто сказал, что итальянская кухня это только пасты и пиццы. Готовим курицу с красивым названием pollo piccata. Берем куриное филе… Стоп, важное напоминание! Про опасности, которые подстерегают каждого, что моет курицу перед готовкой, читали? Если не читали - найдите подробный материал на эту тему на нашем сайте. Прочитайте, ужаснитесь. Далее - по инструкции. Итак, берем филе, нарезаем тонкими пластами. Если тонко не получилось, можно отбить, но без фанатизма, слегка. С обеих сторон посыпаем солью и черным перцем, обваливаем в муке. Нет, в яичную смесь предварительно не окунаем и вообще следим за тем, чтобы муки на курице было не слишком много, мы все-таки не цыпленка по-милански готовим. Теперь куски филе обжариваем на оливковом масле. По 2 - 3 минуты с каждой стороны. Хорошо, если сковорода чугунная. Нет - тоже терпимо. Обжарили - убираем в сторону. А сковороду оставляем на огне. Там еще остатки масла и следы жареной курицы. Выкладываем туда горсть маринованных каперсов. Можно даже размять их вилкой - сразу по всей кухне запах Италии. Теперь туда же две-три измельченные дольки чеснока. Запах еще сильнее. Туда же примерно полстакана белого вина. Про запах уже молчу. Немного лимонной цедры (можно не тереть, срежьте острым ножом, так оно в итоге даже красивее будет), сок половины лимона, щепотку тимьяна, кусок сливочного масла граммов этак в 50. И вот когда соус загустел, на сковороду триумфально возвращаются отдохнувшие и похорошевшие кусочки куриного филе. Они сразу находят общий язык с маслом, лимоном и каперсами, начинают буквально сиять. Великодушно позволим им пару-тройку минут побыть в этой приятной компании, пусть они пропитаются волшебными ароматами. И только потом снимем сковороду с огня. Едим, поминаем добрым словом ЮНЕСКО. Хотя мне лично не вполне понятно, почему это наследие называется нематериальным. Очень даже оно материальное, сытное, вкусное. ПРОЩЕ НЕКУДА Пекантные подробности Брюссельскую капусту любите? А орех пекан? А кленовый сироп? А если все вместе? Берите капусту, промойте ее, обсушите, разрежьте пополам, обжарьте эти половинки разрезами вниз минут 5 на сливочном масле до появления красивой корочки. Плесните пару столовых ложек кленового сиропа, добавьте пекан (его лучше сначала прокалить на сухой сковороде), еще минут 5 помешайте это все в сковороде. Морская соль, можно немного тимьяна. Готово дело. Такое можно и после шести.",Land of the Republic: celebration of Italian cuisine,"The main thing is, don't save money on capers, they're the best friends of the chicken. Photo by Leonid ZHAROV. To go to the KP Photobank last week, UNESCO included Italian cuisine in the list of intangible cultural heritage. Before this honor, individual dishes, recipes, groceries, and for the first time, the whole kitchen was served. I'm very happy to hear that, but I love all Italian, and I can't help it. I wanted to celebrate right away. How? It's very simple to take and cook something for the Italian Republic. Pasta? It's too easy. Pizza is a lot of pizza. Besides, who says Italian food is just pastes and pizza? We're making chicken with a beautiful name for polo piccata. Let's take the chicken fillet... stop, the big reminder! Have you ever read about the dangers that come in front of anyone who washs a chicken before cooking? If you haven't read it, find some detailed material on this subject on our website. Read it, be awful. Next, by instruction. So let's take the fillet, cut it with thin plastic. If it didn't work out thinly, you can take it back, but without being fanatical, a little bit. On both sides, we put salt and black peppers on both sides, and we drop it in the flour. No, we don't pre-knuckle the egg mixture, and we make sure there's not too much flour on the chicken, we're not making the milan chicken. Now we're gonna roast the fillets on olive oil. Two or three minutes on each side. Okay, if the pan is irony. No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. Burned, put it aside. We leave the pan on fire. There's leftovers of butter and traces of fried chicken. Put a handful of marinated capers in there. You can even stretch them with a fork -- right across the kitchen, the smell of Italy. Now there's two or three shredded pieces of garlic. The smell is even stronger. There's about a half a glass of white wine. I don't know about the smell. A little lemon zebra (may not rub it, cut it with a sharp knife, so it's gonna be even prettier in the end), half a lemon juice, a tickle of timian, a piece of butter of grams of this one at 50. And so when the sauce is clogged, the triumphant return to the pan is the resting and the good bits of chicken fillet. They immediately find common ground with oil, lemon, and capers, and they begin to shine. Gracefully let them spend a few or three minutes in this pleasant company, let them soak up with magical fragrances. And then we'll take the pan off the fire. Eat, remember the good words of UNESCO. Although I personally do not understand why this legacy is called intangible. It's very material, it's full, it's delicious. You like the Brussels cabbage for a while? And the pecan nut? And maple syrup? What if we're all together? Take the cabbage, wash it, dry it, cut it in half, roast these halves with cuts down for five minutes on cream oil until a beautiful crust appears. Spit out a couple of tablet spoons of maple syrup, add a pecan (he should be punctured first on a dry pan), another five minutes to stop it all in the pan. Sea salt, you can have some thymian. It's done. You can do that after six."
