title,date,text
"Russia, eternally offended by the West: why it cannot become part of civilization",18-12-2025,"Putin said with resentment that Russia, after the collapse of the USSR, never became an equal part of the West, although there were hopes for this. Okay, let's be serious: why should Russia have become an EQUAL part of Western civilization in the first place? Could Russia have produced unique computers or chips in 1991? No. Could Russia, as of 1991, have established a powerful automotive industry that would have flooded world markets? No, that's not it either. Perhaps Russia had a culture that was thousands of years old – unique and one that provided a foundation for humanity? Well, like the Greek philosophers, the Reformation, German idealism, the great French and American revolutions – and more, and more, and more. No, not at all."
"Russia, eternally offended by the West: why it cannot become part of civilization",18-12-2025,"the USSR in 1991 was a deeply derivative state, where 90% of technologies were copies from the West: from military equipment to computers and cars. So why should Russia become part of the West? Just because Russia has nuclear weapons? Well, Pakistan has nuclear weapons too. So what? I was always annoyed by this resentment and the desire of Russians to get in, not based on status or level, but just so Russians would also be allowed into the club. Or, as Putin Putin himself has said on numerous occasions, ""the golden billion."" But the West became what the West is not because the West was given it for free, but because behind the West lie thousands of years of suffering and endless bloody meat grinders (the religious wars of Europe alone are worth mentioning)."
"Russia, eternally offended by the West: why it cannot become part of civilization",18-12-2025,"Because it is thousands of years of hellish labor, work ethic, constant searching, questioning, sacrifices, and unreal suffering. These are the greatest revolutions and the greatest discoveries; these are breakthroughs in philosophy, culture, and science. 80–90% of everything we use today is the fruit of Western civilization. This is neither good nor bad—it's just a fact. And the rest do not claim to be admitted to this club: China is going China's own, separate way, China is China a millennia-old civilization with China's own great achievements. The Muslim world also does not claim to be part of the West – at most, The Muslim world seeks partnership or allied relations."
"Russia, eternally offended by the West: why it cannot become part of civilization",18-12-2025,"But for some reason, only Russia, ever since the time of Peter the Great, has been trying to get closer to the West – and has been doing so for hundreds of years, like a monkey, blindly copying. Do they shave their beards there? We will shave ours too. Do they wear camisoles and tricorn hats there? We will too. Do they study this and that there? We will too. Everything is as thoughtless as possible – a simple copying of the form without an attempt to understand the content and essence. At the same time, the Russians have incredible potential – some of the richest resource reserves on the planet."
"Russia, eternally offended by the West: why it cannot become part of civilization",18-12-2025,"It would seem that instead of spending incredible potential – some of the richest resource reserves on the planet on senseless wars and enriching the Russians's princely clans, the Russians should improve the Russians to start producing a unique and IRREPLACEABLE product. Just like tiny Japan or Taiwan do. And then Russia wouldn't have to whine about not being accepted into the West: the West the West would have taken Russia, guts and all, and integrated Russia. The gas station country demands that The gas station country be given a place under the sun in the top club. The world doesn't work that way. The world never has, and The world never will. Nothing is ever given for free, anywhere — never, nothing, and nowhere. Original"
"""Insolvency threat"": a negative but life-saving signal for business",17-12-2025,"Deterioration of financial performance or the emergence of negative circumstances can cause a crisis at the enterprise and the loss of the ability to fulfill monetary obligations to creditors, i.e., lead to insolvency (bankruptcy). In most cases, before bankruptcy occurs, an enterprise may be in a state of ""threat of insolvency"" (threat of bankruptcy) for some time, during which an enterprise can take measures to improve an enterprise's business activities and prevent fatal consequences. Although a company being at risk of bankruptcy is a negative situation, a company being at risk of bankruptcy's timely detection gives management a chance to apply anti-crisis measures. What is the difference between a ""threat"" and insolvency (bankruptcy)?"
"""Insolvency threat"": a negative but life-saving signal for business",17-12-2025,"From 01.01.2025, the legislator provided a clear definition of the concept of ""threat of insolvency"", thereby distinguishing the concept of ""threat of insolvency"" from the concept of ""insolvency"", which was not the case before 01.01.2025. Read the full article with a LIGA PRO subscription           Already have LIGA PRO? Log In  

                                opinion.informer.text                            

                                Articles published in the ""Opinions"" section reflect the point of view of the author and may not reflect the position of the LIGA.net editors"
YouTube is moving to crypto: what creators should expect,16-12-2025,"In December 2025, the video hosting service YouTube The news A new payment option for authors in the US: authors in the US can now receive authors in the US's payments in PayPal's's stablecoin. The news has sparked interest among content creators, as The news opens up new opportunities for fast and convenient payments, and can also significantly facilitate the monetization of content creators's work. Previously, the video hosting service YouTube did not use cryptocurrencies, but now the situation may change. It is important to understand whether the video hosting service YouTube will continue to develop cryptocurrency solutions and what impact this will have on creators."
YouTube is moving to crypto: what creators should expect,16-12-2025,"Integrating stablecoins into the video hosting service YouTube Now, creators in the US can receive payments in stablecoins (a cryptocurrency with a stable 1:1 exchange rate to fiat money, usually the US dollar) from PayPal's. It's important to note that the platform the video hosting service YouTube does not directly work with cryptocurrency. All technical and operational support is handled by PayPal, which acts as an intermediary between the video hosting service YouTube and users. The news affects one of the largest sources of regular payments to creators in the media industry. Over the past four years, the video hosting service YouTube has paid out to the authors over $100 billion. Read the full article with a LIGA PRO subscription           Already have LIGA PRO?"
YouTube is moving to crypto: what creators should expect,16-12-2025,"Log In  

                                opinion.informer.text                            

                                Articles published in the ""Opinions"" section reflect the point of view of the author and may not reflect the position of the LIGA.net editors"
Marketing vs. PR: Five Rules for Effective Interaction in Business,16-12-2025,"In business, the idea that marketing and PR perform the same functions is still widespread. At first glance, this may seem to be the case, because ultimately the task of all business units is to develop it by increasing profits. However, this approach is flawed and risky. After all, the task of marketing is to deliver quick and visible business results ""here and now"", while communications play the ""long game"", building trust and brand reputation in the long term. It is trust and brand reputation that become crucial in crisis situations, and ignoring trust and brand reputation comes at a high cost to businesses. Those owners who understand the difference between marketing and PR will always come out ahead, forming a strong foundation for growth."
Marketing vs. PR: Five Rules for Effective Interaction in Business,16-12-2025,"What exactly threatens a business when a business confuses PR and marketing? Personnel confusion People with a ""marketing mindset"" who don't understand the specifics of working with trust, contexts, and values end up in PR. A telling example was Pepsi's's 2017 campaign with Kendall Jenner: Pepsi's tried to use social protest as a marketing tool, but without a deep understanding of the context, this led to a scandal. Pepsi's 2017 campaign with Kendall Jenner was perceived as devaluing the Black Lives Matter movement, and within a day, Pepsi's was forced to pull Pepsi's 2017 campaign with Kendall Jenner and apologize, suffering serious reputational damage."
