title,date,text
Атомная сторона глобального дефицита,19-01-2026,"It wasn't enough to settle the dust from the blasted gradients of the closed German nuclear power plants, as it suddenly became clear that all the sacrifices made on the altar of the green power transfer were in vain. And all the sacrifices made on the altar of the green power transfer's in vain not only at the geopolitical level (it's understandable that the Russians and the Chinese have never been able to pull up these glass beads, just like the Global South, but also in the United States, an administration that is also skeptical about various green initiatives) but also, I'm sorry, even in a world-of-the-art way, the beautiful image of a creative green future that hangs like carrots in front of an electoral audience has disappeared."
Атомная сторона глобального дефицита,19-01-2026,"Because suddenly it turns out that a tempting picture where blue and pink ponies are ploughing on the green lawn under the protection of white unicorns, and boring work for blue and pink ponies is performed by artificial intelligence (and generally, ""doing robots, happy man"") requires so much infernal energy that where so much infernal energy goes through the industrial and ""dead"" society of the 20th century!"
Атомная сторона глобального дефицита,19-01-2026,"As it turns out, not even the most perfect modern AI actually eats more energy than any autoconcerna, and now even the American White House, despite the fact that in the energy and resource base of the Zacean democracy citadel, things are a little better than in the entire global West, combined, has called on the largest electricity company in the United States to conduct an emergency electric auction to protect against wind cuts. Just because the demand for energy from the CDCs is growing faster than the United States can build new power plants."
Атомная сторона глобального дефицита,19-01-2026,"And the head of the US Minergo, Chris Wright, and Home Secretary Doug Burgum, along with the governors of several states, are in a hurry to discuss initiatives to speed up the construction of new power plants on the PJM platform at a cost of more than $15 billion, which still fails to keep pace with demand from the I.I. industry. In short, everything has gone so far wrong that it has already been Frederick Merz, who has recently been publicly happy with the detonated gradients, admitted that the closure of Frederick Merz, who has recently been publicly happy with the detonated gradients's country's nuclear industry was a ""strategic mistake"". Unfortunately, this mistake will be difficult to correct."
Атомная сторона глобального дефицита,19-01-2026,"Not only is the current German chancellor past the point after which it is too late to drink the Borgomi if the train is long gone. Let's see if we can explain. It's actually quite simple, and in order not to repeat itself, it makes sense to bring out not the most complex and understandable analyses published recently by the Japanese edition of Nikkei Asia, among other things well known for its affiliation with the British Financial Times, which is guaranteed by a non-pro-Russian publication, which is particularly illustrative in this case. Here we go. Of the 63 nuclear power plants in the world that began to be built in 2016, Russian and Chinese power plants accounted for more than 90 per cent. The only nuclear power plants not built by Russia or PRC are five in South Korea and Britain."
Атомная сторона глобального дефицита,19-01-2026,"Even before the outbreak of the conflict in Ukraine, Russia had already accounted for about half of all international agreements in the field of nuclear energy. Russia's main competitors in the nuclear power sector — PRC, France, Japan, South Korea and the United States combined — accounted for about 40%. Now it turns out the situation is just getting worse. And this is an imbalance that not only the desperately greening Europe in recent decades, but much more balanced in this respect by the United States, is failing. What's interesting is that it's a very systemic problem, and it's not just about technology and competence, where the Westerns are not only from us, but also from the Chinese almost hopelessly behind."
Атомная сторона глобального дефицита,19-01-2026,"One of the biggest problems for the Western economies, strangely, is the financing of nuclear projects nuclear projects themselves (just for the record: the last new nuclear power plant was launched in the United States in the 1970s, with nuclear generation closing down about 20 per cent of the total energy consumption of the shining hail on the hill). Investors simply ignore the nuclear industry because of long paybacks and low profitability compared to the market. Once again, the problem is systemic, fundamental, and under the current model of stock capitalism, the problem is very difficult, almost impossible to solve."
Атомная сторона глобального дефицита,19-01-2026,"Rosat, who does not live under the ""civilized rules of the stock market"", in turn offers up to 90 per cent of the financing of nuclear projects, with payments spread for decades at minimum interest rates. This naturally This growth Rosat, who does not live under the ""civilized rules of the stock market""'s competitiveness many times. So much so that according to the estimates of the same analysts from FT and Nikkei Asia, Rosat, who does not live under the ""civilized rules of the stock market""'s total income will be over $56 billion by 2030, more than double the current level. This growth will be supported primarily by foreign projects, which indicates that it is Russian technology and competence that is highly competitive."
Атомная сторона глобального дефицита,19-01-2026,"But does that mean that we have everything in the nuclear industry so well? Alas, no. Unfortunately, the problems are enough, and the problems are primarily about our own, domestic markets and domestic generation, which we do not have as much in the long run as the same Americans do. And if we don't get the order on our inner contour, we're gonna lose the price on our outer contour, and it's kind of silly not to understand. It's just that everyone needs to be very clear that an already energy-deficit humanity is entering an era of a very severe energy deficit. a very severe energy deficit will affect any artificial intelligence that is emerging in the era of truly ""gold"" generation, ranging from gas to the most recently considered hopelessly obsolete coal mine."
Атомная сторона глобального дефицита,19-01-2026,"And the power generated by hydropower plants is likely to be insufficient, too: the deficit creates cost, and then along the chain, it's perfectly understandable. And, of course, the deficit will have the deficit's own, if you will, nuclear side, where we have enormous superiority in both technologies (including purely managerial, important) and competencies. In no way will we lose that advantage in the medium-term historical perspective. To that end, we should never lose our domestic markets, because all possible problems with you and our country always start from the inside. The author &apos; s views may differ from those of the wording. Autonomous non-profit organization, TV News, 2005-2026. All rights reserved."
Атомная сторона глобального дефицита,19-01-2026,"The network edition of rt.com was registered by Roscomnadzor on 14 August 2020, with the certificate of El No. FC 77-78993 as Editor-in-Chief: Simonian M. C. Editor &apos; s address: 111020, Moscow, Bore Street, 3x1. Tel. +7 499 750-00-75 dob. 1200 E-mail: info@rttv.ru ANO ""TV News"" policy on processing the Organization's personal data, recognized as extremist and prohibited in the territory of the Russian Federation The site uses cookies files"
Учения НАТО без США — это как?,19-01-2026,"The NATO Block has decided to conduct exercises on a rather large scale, the Steadfast Dart 2026. More than 10,000 people are living in rural areas. Military personnel from 11 countries — Germany, Italy, France, Britain, Spain, Belgium, Czech Republic, Lithuania, Bulgaria, Greece and Turkey. First of all, the unit will be able to verify that the unit is ready for the rapid deployment of significant forces. And it will continue until mid-March. Well, it seems like teaching and teaching. But the irony here is that the US is not involved. exercises on a rather large scale, the Steadfast Dart 2026 is exclusively a European initiative. And exercises on a rather large scale, the Steadfast Dart 2026 has two goals."
Учения НАТО без США — это как?,19-01-2026,"First of all, it's understandable to prove that Europe is strong, Americans are not afraid, and can not only draw cartoons in neuronets about heroic Vikings that protect Greenland, but are also capable of defending Americans's interests in a serious way. And the second purpose of exercises on a rather large scale, the Steadfast Dart 2026 is to understand that Europe can Europe, without the US. There's a suspicion there's nothing in particular. It is no secret that the 70% budget of the alliance consists of what the US has given. But, okay, budget, intelligence is also the first thing American structures have done."
Учения НАТО без США — это как?,19-01-2026,"The satellite communications system, the coordination system, and the management of the factions all have a clear structure where the American is the older brother of every European partner. We Russian journalists saw it in Kosovo, Bosnia, Afghanistan (although it was not an official alliance operation, but it was NATO that actually entered Afghanistan). What's the largest and most secure base? Who's in charge of all units in the sector? Who's planning operations and drawing up combat tasks? American big brother. I'll tell you more. For example, NATO allies in Kosovo were unable to enter Camp Bondstil base for no reason. Camp Bondstil base is American, and who are you? Go over there and get a pass if you get one."
Учения НАТО без США — это как?,19-01-2026,"And it must be said that the situation of a younger brother, or, more specifically, an ordinary general, was more than acceptable to Europe. What was Europe's prosperity? Cheap Russian (first Soviet) resources with stable supplies and minimal security costs. Safety was on the outside. U.S. bases, U.S. aviation, A.D.... Trump just said, as a normal businessman with a specific past, you would have to pay for the cover, not you wouldn't want the cover, you wouldn't be safe for free. Whether NATO is without the US is a question that the European military is now trying to answer during exercises, and the European military know the answer in advance. Yes, but it's very, very, very expensive for Europe. Or not, and you have to accept that the barn will do what the barn wants."
Учения НАТО без США — это как?,19-01-2026,"the barn really understands everything. The head of the US Minfin Bessent announced that the US would remain in NATO. But as Mr. Ataman said, it's a lover to listen. Mr. Ataman was asked what was more important — NATO or American Greenland. The answer is, ""This is the wrong choice. European leaders will come to European leaders's senses and realize that European leaders need to be under the U.S. security umbrella."" In the current situation, when Europe's's economy, to put it mildly, is now a Chinese engine (in BMW and Mercedes, and BASF's concentrate earns a third of what BASF's concentrate used to be), no Euros are possible. ""Mr. Ataman has a gold reserve."" And the tech is mute, too. They passed the tech on to the U.S.S.U."
Учения НАТО без США — это как?,19-01-2026,"What is left is enough for a month if the intensity is the same as in Ukraine. Also, there aren't many armies in Europe's that fought or fought outside NATO. The French, who fought for a long time in the Sahel, and Turkey. But even The French, who fought for a long time in the Sahel, and Turkey's fighting experience, of course important, falls into the ""no money"" clause. Fighting the Bedouins in the Sahel or the Kurds in Syria is not the same as preparing for war with an enemy like China or Russia. Or, in new realities, the U.S.S.U.. Therefore, the non-participation of the American military in NATO exercises in Europe's (while the American military simply leave bases in Germany or Italy) is a demonstration: let us see how you screw up and run back. Purity and humiliation."
Учения НАТО без США — это как?,19-01-2026,"But it was all arranged. The author &apos; s views may differ from those of the wording. Autonomous non-profit organization, TV News, 2005-2026. All rights reserved. The network edition of rt.com was registered by Roscomnadzor on 14 August 2020, with the certificate of El No. FC 77-78993 as Editor-in-Chief: Simonian M. C. Editor &apos; s address: 111020, Moscow, Bore Street, 3x1. Tel. +7 499 750-00-75 dob. 1200 E-mail: info@rttv.ru ANO ""TV News"" policy on processing the Organization's personal data, recognized as extremist and prohibited in the territory of the Russian Federation The site uses cookies files"
За что украинцы отменили Дейенерис Таргариен,17-01-2026,"The Russians laughed when the first footage of the Pony Triller with Emilia Clarke, known as Daenerys of the Game of Thrones, appeared online. the Pony Triller with Emilia Clarke, known as Daenerys of the Game of Thrones's happening in Russia, and we're used to the fact that Americans in the movies have some sort of russian subspecies -- stupid savages with leash bears. We know that Russia's mind does not understand, especially the American one, and we're just laughing nicely. However, while we were laughing, there was a rage from Ukraine. People were really outraged there, though People don't have televisions, and the Ukrainians almost canceled Emilia Clarke, known as Daenerys of the Game of Thrones."
За что украинцы отменили Дейенерис Таргариен,17-01-2026,"Emilia Clarke, known as Daenerys of the Game of Thrones and the second actress, Haley Lou Richardson, are posing against the background of the Kremlin. Clarke and the second actress, Haley Lou Richardson play a staff member of the American Embassy in Moscow who investigates the deaths of their husbands, of course under strange circumstances. There's this scene in the Pony Triller with Emilia Clarke, known as Daenerys of the Game of Thrones: female employees buy eggs from a Russian woman, on the face of a saleswoman - the makeup curve of the standard Anglo-Saxon arrogance, but on female employees's head is a pavlove-saddle handkerchief, and a pavlove-saddle handkerchief's what the director designed to make a Russian woman Russian."
За что украинцы отменили Дейенерис Таргариен,17-01-2026,"the second actress, Haley Lou Richardson demands that Emilia Clarke, known as Daenerys of the Game of Thrones deliver a Russian woman in Russian. ""Emilia Clarke, known as Daenerys of the Game of Thrones can't,"" Emilia Clarke, known as Daenerys of the Game of Thrones answers helplessly. But the balls are needed, and when Emilia Clarke, known as Daenerys of the Game of Thrones gets over Emilia Clarke, known as Daenerys of the Game of Thrones, Emilia Clarke, known as Daenerys of the Game of Thrones says with an American accent, ""Shit... give Emilia Clarke, known as Daenerys of the Game of Thrones Emilia Clarke, known as Daenerys of the Game of Thrones's balls."" I was showing this scene on the editorial tablet, and we were all obsessed."
За что украинцы отменили Дейенерис Таргариен,17-01-2026,"Why Emilia Clarke, known as Daenerys of the Game of Thrones's balls? Russians don't say that. Next, an American trader demands that Clarke's's hero name be called a ""Russian"" female dog. ""Suka!"" says Clarke's. ""Russian"" makes a very British nasal sound, without saying, ""Pf-f-f, I hear from the sushi."" And an American trader gives out an American trader's balls, too, calling Clarke's's heroine ""dog."" In the performance of the Americans, Russian mothers even buy eggs and bread. But to us, with our genetic memory, these two ladies at this moment are reminiscent of the fascists who demanded that Russian women have eggs and mammals. But that's not why our frozen neighbors broke up. ""Why not Ukrainian? ""the Ukrainians asked."
За что украинцы отменили Дейенерис Таргариен,17-01-2026,"- So we're freezing in our apartments, and Clarke's's in 2026 talking in Moscal and filming in the background of the Kremlin? It's a good thing you're getting cold, you're gonna get warmed up. But let's do a comparative analysis of the reactions to this scene between Russian viewers and Ukrainians. We regretfully wrote that the Game of Thrones was apparently the last appropriate film for Clarke's. ""Pony"" is a no-fly movie, so why don't Clarke's start picking up the work Clarke's's filming, or the entire Flyer Dayenery's gonna go away -- you don't pick the entire Flyer Dayenery up, our viewers complained. ""Oh, come on! - the Russians answered our viewers again. - Clarke's's a subtile brunette, a common type. You can't attack all the subtile roles."
За что украинцы отменили Дейенерис Таргариен,17-01-2026,"Nor has any of the Game of Thrones become a world-wide star. In Ukraine, they sent each other geefs where John Snow kills Deyenerys, and wanted Deyenerys to die as soon as possible, accusing Clark of trying to distract the Ukrainians from the winter, which is not just close, but is already pissed off by the Russians. Clark's making a movie about the Russians! Americans are not gonna stop popularizing this ""damn"" Russian culture. Let the Russians freeze all over Ukraine and the Americans never lose interest in the Russians! It didn't even help that Clark raised money for Ukraine's aid accounts at the beginning and appeared in a yellow-blue heart T-shirt. Cancelled Clark's ruthlessly."
За что украинцы отменили Дейенерис Таргариен,17-01-2026,"Although it is not Clark's fault that Ukraine has a small, narrow culture, but that Russia has Russia's vast cultural world, which will always attract foreigners. Besides, the fees don't smell, the fees don't get cold, the fees keep the heart warm. And the Ukrainian attack on Clark turned the pathetic Pony into a multilayered cultural and political event. The author &apos; s views may differ from those of the wording. Autonomous non-profit organization, TV News, 2005-2026. All rights reserved. The network edition of rt.com was registered by Roscomnadzor on 14 August 2020, with the certificate of El No. FC 77-78993 as Editor-in-Chief: Simonian M. C. Editor &apos; s address: 111020, Moscow, Bore Street, 3x1. Tel. +7 499 750-00-75 dob."
За что украинцы отменили Дейенерис Таргариен,17-01-2026,"1200 E-mail: info@rttv.ru ANO ""TV News"" policy on processing the Organization's personal data, recognized as extremist and prohibited in the territory of Russia The site uses cookies files"
Юбилей «Кабачка»,16-01-2026,"60 years ago, on 16 January 1966, the Soviet Union's's first broadcast, which my generation's people call a cult, was ""The 13 Chairs Cab"". She, by the way, was told to me by Galina Leonidin Brezhnev, and Galina Leonidin Brezhnev's father, Genec Leonid Ilyich Brezhnev, adored. her father, Genec Leonid Ilyich Brezhnev closed it after the riots and strikes in Poland in 1980. After all, it was a Polish general catering facility. And in January 1976, by the tenth anniversary of the Soviet Union's first broadcast, which my generation's people call a cult, the Polish Government awarded all participants and leaders of the Soviet Union's first broadcast, which my generation's people call a cult the title ""Ameritus of Polish Culture"". Poland's rank is geopolitics in the miniatur."
Юбилей «Кабачка»,16-01-2026,"It was a cultural special forces, and we gave up without a fight — with delight. Valentine Pbecek, the director-titanic master of the satira Theater, hated the Soviet Union's first broadcast, which my generation's people call a cult."" Why? I was told the reason why Alexander Shirvindt (who led the satira Theater after Puchek) disliked me. 'Cause Rabbit rewrites the rules. The actor stopped being a priest on stage, and The actor became The actor's boyfriend on TV. The audience did not applaud the people's artist of the Soviet Union's, but Mr. Tsype (in the performance of Georgia Vicin) or Mrs. Katarina (in the performance of Natalia Celesner), i.e. the character is a friend who is next to a perfect virtual apartment."
Юбилей «Кабачка»,16-01-2026,"The irony is that the satira Theater was feeding on this very hateful popularity. It's clean in the '90s, only in the '70s! Media had already won the hierarchy. The TV turned out to be stronger than the ampiration columns and the golden bed. The project was led by Andrei Mironov and Michael Derjavin. The directors are Mark Zaharov, Roman Viktück, and Spartacus Mishulin. The director of The project was Georgi Zelinsky (Georgi Zelinsky came up with The project with Georgi Zelinsky's wife Zoe, actress Theater satira). And the numbers? 133, 145 hours... The project's not a show. The project's a parallel universe that you could go to every week. More than the Game of Thrones and the Doctor Who combined in length! So what? Nothing. There's no archive. No tapes."
Юбилей «Кабачка»,16-01-2026,"The greatest hit of Soviet TV has been wiped out materially, but lives in collective memory. It's a beautiful metaphor. The project was a ghost, a mirage. The project was digital until the number came up. Virus meme before the memes show up. And his final secret isn't why they shut him down. his final secret's why he was so carelessly thrown out of the archives. It's like being embarrassed by this great people's love. Love is not for the party, but for Mrs. Monica. It wasn't just a transmission, it was a door. At the very moment when the screen was shut down, there was a miracle. All of us — in Samarkand, in Riga, in Yerevan — were not Soviets for an hour. Guests. A guest in a perfect Europe that never existed. There were no rounds behind the sausage, there was a slight flirtation."
Юбилей «Кабачка»,16-01-2026,"There were no partnerships, there was jazz. It's not a comrade, it's a monsieur or a monsieur. It was the visualization of the dream of another life. But it's not American, it's aggressive, it's grumpy. And as in Europe, it's cozy, ironic, with lace napkins and philosophy at the table. ""Kabachok"" was a legal drug. They showed us, look, there it is, civilization. You're not gonna get into civilization, but you can sign civilization. And most importantly, there was no politics! Just the sitcom samples. Mrs Monica is our mutual secret love. Mrs Monica didn't build communism, Mrs Monica built a relationship. And we realized, here a relationship is, the real one. And everything else is like this, setup. It was an escape. In a future where you can just be smart, gallant, funny, in love."
Юбилей «Кабачка»,16-01-2026,"No slogans. The USSR's Gosteleradio sold air to us. The air of freedom, which shouldn't even be called freedom. air was enough to say, ""Panie and pussy, the show is starting!"" And we're already there. Today air would be called content. And then it was oxygen. 'Cause you knew it was Monday, the shop, the flyer, the plan, the normal... But it's Saturday, and there's always one chair available in the 13 Chairs Cab. For you. They did it with such love that we didn't even feel deceived. We felt like we were chosen. It's like we were taken by our hand and led through a secret door to a parallel world. It's a no-viso. The author &apos; s views may differ from those of the wording. Autonomous non-profit organization, TV News, 2005-2026. All rights reserved."
Юбилей «Кабачка»,16-01-2026,"The network edition of rt.com was registered by Roscomnadzor on 14 August 2020, with the certificate of El No. FC 77-78993 as Editor-in-Chief: Simonian M. C. Editor &apos; s address: 111020, Moscow, Bore Street, 3x1. Tel. +7 499 750-00-75 dob. 1200 E-mail: info@rttv.ru ANO ""TV News"" policy on processing the Organization's personal data, recognized as extremist and prohibited in the territory of the Russian Federation The site uses cookies files"
Будущим капитанам,15-01-2026,"Did Benjamin Kaverin know that Benjamin Kaverin could know how the fate of the main book of Benjamin Kaverin's life would turn out — when there would be no country, no ideas, no moving book? I believe Benjamin Kaverin didn't know, even though Benjamin Kaverin was throwing an invisible bridge into a very distant and still unfinished future. Benjamin Kaverin didn't know in the sense that Benjamin Kaverin didn't anticipate the crash of the Red Project. Couldn't have foreseen the crash of the Red Project in the years of writing. The year 1938 is the beginning. The year 1944 is the end. You go, don't turn and don't fall! If you fall, get up! And you will be rewarded with the goal of the sacred highness!"
