title,date,text
New rules – new leadership: finding the right person to head Ukraine's asset recovery agency,14-01-2026,"Last year, Ukraine's's anti-corruption ecosystem was often in the spotlight of the media and society at large. It is difficult to underestimate the role played by the development and even Preservation of the independence of institutions responsible for combating corruption in Ukraine's at critical moments, especially during a full-scale war. the development and even Preservation of the independence of institutions responsible for combating corruption in the country at critical moments, especially during a full-scale war has only reinforced the demand for independent, capable, and honest institutions that are able not only to resist corruption but also to deliver real results. It is in this context that the reform of the Asset Recovery and Management Agency (ARMA) took place."
New rules – new leadership: finding the right person to head Ukraine's asset recovery agency,14-01-2026,"the reform of the Asset Recovery and Management Agency (ARMA) was a response to long-standing criticism of the Asset Recovery and Management Agency (ARMA)'s effectiveness, allegations of corruption, and low public trust. At the same time, the reform of the Asset Recovery and Management Agency (ARMA) is not only an internal demand of Ukrainian society, but also one of Ukraine's's key international commitments in the field of anti-corruption. On July 30, a new law on the Asset Recovery and Management Agency (ARMA) came into force, introducing an updated asset management system, external audit of the Asset Recovery and Management Agency (ARMA)'s activities, and, crucially, an open competition for the position of the Asset Recovery and Management Agency (ARMA) Head."
New rules – new leadership: finding the right person to head Ukraine's asset recovery agency,14-01-2026,"The implementation of the reform of the Asset Recovery and Management Agency (ARMA) was stipulated in the Ukraine Facility Plan and became one of Ukraine's's significant achievements on the path to European integration in 2025. Our society seeks strong, capable, and independent institutions that are responsible for combating corruption, restoring justice, and repatriating criminally obtained funds to the budget. Holding open and transparent competitions for the heads of such institutions is one of the essential components of forming a strong anti-corruption ecosystem as a whole. Ukraine has already developed a number of best practices in competitions for top positions in various bodies. This positive experience has been reflected in the newly adopted law on ARMA."
New rules – new leadership: finding the right person to head Ukraine's asset recovery agency,14-01-2026,"We are currently conducting a competition for the Head of ARMA. ARMA plays a very important role in the criminal justice system, but unfortunately, in recent years, many questions have arisen regarding both the work of ARMA and the effectiveness of ARMA's leaders. And you should agree that the role of ARMA is especially critical in difficult times to ensure that every hryvnia is used to help Ukraine fight and survive this war. In order to implement the law on ARMA and conduct a competition for the head of ARMA under the new rules, a Selection Commission was formed to select a candidate for the position of ARMA Head, which I have the honor of chairing."
New rules – new leadership: finding the right person to head Ukraine's asset recovery agency,14-01-2026,"a Selection Commission consists of six members, three of whom, namely Wolf-Tilman Baumert, Rita Simoes, and myself, were nominated by international donors who support the implementation of anti-corruption initiatives in Ukraine. The other three members of a Selection Commission were nominated by Ukraine, namely Serhii But, Anzhelika Krusian, and Valentyna Lukianets-Shakhova. All members of the Commission are professionals with many years of experience and are well aware of the importance of the task ahead of us. This design of the Commission, as provided for by law, makes it possible to minimize the risks of potential pressure or attempts to influence the Commission's decisions."
New rules – new leadership: finding the right person to head Ukraine's asset recovery agency,14-01-2026,"the Commission is a collegial body that makes decisions jointly by open vote at meetings that anyone can watch live. Moreover, a decision can only be made if at least four members of the Commission vote in favor, two of whom are appointed on the recommendation of international partners. We understand the skepticism that has historically existed regarding competitions for government positions. At the same time, we are convinced that maximum openness of the process, clear selection logic, and public justification of decisions are the best response to the skepticism that has historically existed regarding competitions for government positions. The competition for the position of ARMA Chair is being conducted precisely according to these principles."
New rules – new leadership: finding the right person to head Ukraine's asset recovery agency,14-01-2026,"For the first time in the history of ARMA, thanks to changes in the ARMA Law, not only lawyers by education, but also economists can participate in The competition for the position of ARMA Chair. This is important because most of ARMA's functions are related to the management of seized assets, interaction with the business environment, etc. It also significantly expands the pool of potential professionals who can head ARMA. In general, the requirements are fairly standard: We are currently accepting documents from applicants until January 19. A detailed list of required documents can be found here. We will then check required documents for compliance with the basic requirements of the law and begin the testing and interviewing stages with the candidates."
New rules – new leadership: finding the right person to head Ukraine's asset recovery agency,14-01-2026,"The goal is to find the strongest candidate to be proposed to the government for appointment as Head of ARMA. We are looking for a true leader, a responsible and competent person who is honest and motivated to work hard for the benefit of the state. In order to determine the most suitable candidate for the position, we will first conduct a series of tests, namely testing knowledge of legislation, testing general abilities, and completing a written practical assignment. All of these stages will take place offline in Kyiv. The Commission will announce all specific dates and details of these stages of the competition in advance on The Commission's official social media pages and on the website of the Cabinet of Ministers."
New rules – new leadership: finding the right person to head Ukraine's asset recovery agency,14-01-2026,"Furthermore, The Commission has already approved the procedure for conducting the competition and the methodology and criteria for evaluating future candidates. For the future Head of ARMA, knowledge of relevant national legislation, international standards, and EU acts, as well as analytical and communication skills, are important. Equally important for The Commission is the extent to which the candidate can demonstrate the candidate's leadership abilities. It is also worth noting that the assessment will take into account the candidate's's demonstrated commitment to independence, integrity, impartiality, and compliance with ethical standards, as well as the candidate's's ability to act honestly and in a manner consistent with the public responsibilities of the position."
New rules – new leadership: finding the right person to head Ukraine's asset recovery agency,14-01-2026,"Based on the results of these three types of tests and additional integrity checks, the Commission will interview the candidates who are admitted to the final stage and select one or two winners of the competition, whose candidacies will be submitted by the Commission to the Cabinet of Ministers for appointment to the position of the Head of ARMA. Today, ARMA needs not just a formal manager, but a strong leader and administrator capable of taking responsibility for profound institutional transformation, building ARMA's effective work, and restoring trust in ARMA — both within the country and in front of international partners. If you have the necessary experience, motivation, and inner readiness to work for results, the Commission sincerely encourage you to apply for the competition!"
