,title,date,text
0,Атомная сторона глобального дефицита,"19 января 2026, 22:38","Не успела, что называется, осесть пыль от взорванных градирен закрытых немецких АЭС, как внезапно выяснилось, что все жертвы, принесённые на алтарь зелёного энергоперехода, были напрасны. Причём напрасны на уровне не только геополитическом (тут всё понятно: русских и китайцев развести на эти стеклянные бусы так и не удалось, как и Глобальный Юг, да и в Штатах пришла к власти администрация, также скептически настроенная по отношению к различным зелёным инициативам), но и, простите, даже мировоззренческом: просто исчез тот красивый образ креативного зелёного будущего, который вешали, как морковку, перед носом своей электоральной аудитории. Потому как внезапно выяснилось, что заманчивая картинка, где на зелёной лужайке пасутся голубые и розовые пони под охраной белых единорогов, а скучную работу за них исполняет искусственный интеллект (и вообще, «вкалывают роботы, счастлив человек»), требует такого адского количества энергии, что куда там насквозь индустриальному и «отжившему своё» социуму ХХ столетия! Как выясняется, даже не самый совершенный современный ИИ просто по факту жрёт энергию почище любого автоконцерна, и вот уже даже и американский Белый дом, несмотря на то что в энергетике и с ресурсной базой в заокеанской цитадели демократии дела обстоят несколько получше, чем на всём глобальном Западе, вместе взятом, призвал крупнейшую электроэнергетическую компанию США провести экстренный аукцион электроэнергии для защиты от веерных отключений. Просто потому, что спрос на энергию со стороны ЦОДов растёт быстрее, чем страна может строить новые электростанции. А глава Минэнерго США Крис Райт и министр внутренних дел Даг Бургум вместе с губернаторами нескольких штатов спешно обсуждают инициативы по ускорению строительства новых электростанций на платформе PJM стоимостью более $15 млрд, которые тем не менее всё равно не успевают за спросом со стороны развития отрасли ИИ. Словом, всё пошло настолько не так, что уже даже и Фридрих Мерц, совсем недавно публично радовавшийся взорванным градирням, признаёт, что закрытие атомной отрасли в его стране было «стратегической ошибкой». Увы, но эту ошибку будет весьма непросто исправлять. Причём не только нынешнему германскому канцлеру: уже пройдена та точка, после которой поздно пить боржоми, если поезд давно ушёл. Сейчас попробуем пояснить. Тут на самом деле всё довольно просто, и, чтобы не повторяться, имеет смысл привести не самые сложные и понятные любому квалифицированному читателю аналитические данные, опубликованные на днях японским изданием Nikkei Asia, помимо всего прочего хорошо известным своей аффилированностью с британской Financial Times, то есть гарантированно изданием не пророссийским, что в данном случае особенно показательно. Так вот. Из 63 атомных электростанций, которые в мире начали строить с 2016 года, российские и китайские электростанции составили более 90%. Единственные АЭС, построенные не Россией или КНР, — это пять станций в Южной Корее и Британии. Причём ещё до начала конфликта на Украине на долю России уже приходилось около половины всех международных соглашений в сфере атомной энергетики. На её основных конкурентов в ядерно-энергетическом секторе — Китай, Францию, Японию, Южную Корею и США, вместе взятых, — приходилось около 40%. Сейчас так получилось, что ситуация только усугубляется. И это уже тот дисбаланс, с которым не справляются не только отчаянно зеленевшая в последние десятилетия Европа, но куда более взвешенные в этом отношении США. Что самое интересное, проблема эта носит вполне системный характер, и дело тут не только в технологиях и компетенциях, где западники уже не только от нас, но и от китайцев почти что безнадёжно отстали. Одной из самых больших проблем для западных экономик, как ни странно, является само финансирование атомных проектов (просто для справки: последняя новая АЭС была запущена в США в 1970-х годах, при этом атомная генерация закрывает примерно 20% всего энергопотребления Сияющего града на холме). Инвесторы просто игнорируют атомную отрасль из-за долгой окупаемости и низкой по сравнению с рынком услуг рентабельности. Ещё раз: проблема эта носит системный, фундаментальный характер, и при нынешней модели фондового капитализма её очень трудно, почти что невозможно разрешить. «Росатом» же, который живёт не по «цивилизованным правилам фондового рынка», в свою очередь, предлагает до 90% финансирования ядерных проектов, при этом выплаты будут растянуты на десятилетия по минимальным процентным ставкам. И это, естественно, многократно повышает его конкурентоспособность. Настолько, что, согласно подсчётам всё тех же аналитиков от FT и Nikkei Asia, уже к 2030 году общий доход «Росатома» превысит $56 млрд, что более чем вдвое выше текущего уровня. И этот рост будет обеспечен в первую очередь зарубежными проектами, что говорит о высокой конкурентоспособности именно российских технологий и компетенций. Но означает ли это, что у нас самих всё в этой отрасли так уж хорошо? Увы, нет. Проблем, к сожалению, хватает, и проблемы эти в первую очередь касаются наших собственных, внутренних рынков и внутренней генерации, которой у нас в перспективе точно так же недостаточно, как и у тех же американцев. И если мы не наведём порядок на нашем внутреннем контуре, то грош нам цена на контуре внешнем, и это как-то довольно глупо не понимать. Просто всем надо предельно чётко осознавать, что и без того энергодефицитное человечество вступает в эпоху теперь уже совсем жёсткого энергетического дефицита. Это коснётся любой становящейся в эпоху искусственного интеллекта воистину «золотой» генерации — от газовой до совсем недавно считавшейся безнадёжно устаревшей угольной. И энергии, производимой гидроэлектростанциями, тоже будет, скорее всего, недостаточно: дефицит порождает дороговизну, далее по цепочке — тут всё предельно понятно. Ну и, разумеется, у этого глобального энергодефицита будет и своя, если хотите, атомная сторона, где мы имеем колоссальное превосходство и в технологиях (в том числе чисто управленческих, что немаловажно), и в компетенциях. И вот этого преимущества нам ни в коем случае нельзя будет хотя бы в среднесрочной исторической перспективе упускать. А для этого нам ни в коем случае нельзя упускать и свои внутренние рынки, потому как все возможные проблемы у нашей с вами страны всегда начинаются изнутри.  Точка зрения автора может не совпадать с позицией редакции. © Автономная некоммерческая организация «ТВ-Новости», 2005—2026 гг. Все права защищены. Сетевое издание rt.com зарегистрировано Роскомнадзором 14 августа 2020 г., свидетельство Эл № ФС 77-78993 Главный редактор: Симоньян М. С. Адрес редакции: 111020, Москва, Боровая улица, 3к1. Телефон: +7 499 750-00-75 доб. 1200 E-mail: info@rttv.ru Политика АНО «ТВ-Новости» в отношении обработки персональных данных Организации, признанные экстремистскими и запрещённые на территории РФ Данный сайт использует файлы cookies"
1,Учения НАТО без США — это как?,"19 января 2026, 12:36","Блок НАТО решил проводить учения, причём довольно масштабные, — Steadfast Dart 2026. Более 10 тыс. военнослужащих из 11 стран — Германии, Италии, Франции, Британии, Испании, Бельгии, Чехии, Литвы, Болгарии, Греции и Турции. Прежде всего будут проверять, насколько блок готов к оперативной переброске значительных сил. И продолжаться это будет аж до середины марта. Ну казалось бы, учения и учения. Но тут ирония в том, что США не участвуют в них. Это исключительно европейская инициатива. И преследует она две цели. Прежде всего, понятное дело, доказать, что Европа сильная, американцев не боится и может не только в нейросетях мультики рисовать про героических викингов, защищающих Гренландию, но и вполне способна всерьёз защитить свои интересы. И вторая цель учений — это понять, что Европа может сама, без США. Есть подозрение, что особенно ничего. Не секрет, что бюджет альянса на 70% состоит из того, что дали США. Но ладно бюджет, разведданные — это тоже прежде всего то, что наработали американские структуры. Система спутниковой связи, система координации, управление группировками — во всём этом выстроена чёткая структура, где американец — старший брат всякому европейскому партнёру. Мы, российские журналисты, видели это в Косово, Боснии, Афганистане (хотя там была не операция альянса официально, но фактически именно НАТО вошло в страну). Какая база самая большая и безопасная? Кто командует всеми подразделениями сектора? Кто планирует операции и рисует боевые задачи? Американский старший брат. Больше скажу. Например, в Косово союзники по НАТО просто так на базу Кэмп-Бондстил заехать не могли. База американская, а вы кто такие? Идите вон там пропуск возьмите, если дадут. И надо сказать, что положение младшего брата, или, точнее, ординарца при генерале, Европу устраивало более чем. Из чего складывалось благополучие ЕС? Дешёвые российские (сначала советские) ресурсы со стабильными поставками и минимальные расходы на безопасность. Безопасность была на аутсорсе. Американские базы, американская авиация, ПРО... Трамп просто сказал как нормальный бизнесмен со специфическим прошлым: за «крышу» платить бы надо, а не хотите — не будет вам больше безопасности на халяву. Есть ли НАТО без США — вопрос, на который сейчас в ходе учений пытаются ответить европейские военные, причём ответ они знают заранее. Есть, но это очень, очень, очень дорого для ЕС. Ну или нет, и надо смириться с тем, что барин будет делать то, что хочет. Американский коллективный барин на самом деле всё понимает. Глава американского Минфина Бессент заявил, что США останутся в НАТО. Но как он это заявил — любо-дорого послушать. Его спросили, что важнее — НАТО или американская Гренландия. Ответ: «Это неправильный выбор. Европейские лидеры придут в себя и поймут, что им необходимо быть под зонтиком безопасности США». В нынешней ситуации, когда экономика Европы, мягко говоря, слегка просела (в BMW и Mercedes теперь китайские двигатели, а концерн BASF зарабатывает треть от прежнего), никакое евроНАТО невозможно. «У пана атамана нема золотого запасу». И техники тоже нема. Передали ВСУ же. А что осталось — того хватит на месяц, если интенсивность будет такая же, как на Украине. А ещё в евроНАТО не так много армий, которые воевали или воюют вне альянса. Французы, которые в Сахели долго воевали, ну и Турция. Но даже их боевой опыт, безусловно важный, упирается в пункт «денег нет». Воевать против бедуинов в Сахели или курдов в Сирии — это не то же самое, что готовиться к войне с противником вроде Китая или России. Или — в новых реалиях — США. Поэтому неучастие американских военных в учениях НАТО в Европе (это при том, что им просто с баз в Германии или Италии выехать) демонстративно: давайте мы посмотрим, как вы обгадитесь и прибежите назад. Порка и унижение. Но сами же всё устроили.  Точка зрения автора может не совпадать с позицией редакции. © Автономная некоммерческая организация «ТВ-Новости», 2005—2026 гг. Все права защищены. Сетевое издание rt.com зарегистрировано Роскомнадзором 14 августа 2020 г., свидетельство Эл № ФС 77-78993 Главный редактор: Симоньян М. С. Адрес редакции: 111020, Москва, Боровая улица, 3к1. Телефон: +7 499 750-00-75 доб. 1200 E-mail: info@rttv.ru Политика АНО «ТВ-Новости» в отношении обработки персональных данных Организации, признанные экстремистскими и запрещённые на территории РФ Данный сайт использует файлы cookies"
2,За что украинцы отменили Дейенерис Таргариен,"17 января 2026, 22:04","Русские посмеялись, когда в сети появились первые кадры триллера «Пони» с Эмилией Кларк, известной у нас по роли Дейенерис из «Игры престолов». Действие его происходит в России, а мы уже привыкли к тому, что у американцев в кино какой-то свой подвид русских — туповатые дикари с медведями на поводке. Мы знаем, что умом Россию не понять, тем более американским, и просто благодушно смеёмся. Однако пока мы смеялись, с Украины полетели вопли негодования. Там люди были по-настоящему возмущены, хотя вроде телевизоры у них не работают, и Эмилию Кларк украинцы практически отменили. На афише Кларк и вторая актриса, Хейли Лу Ричардсон, позируют на фоне Кремля. Они играют сотрудниц американского посольства в Москве, которые расследуют смерти своих мужей, разумеется, произошедшие при странных обстоятельствах. В фильме есть такая сцена: сотрудницы покупают яйца у русской женщины, на лице у продавщицы — кривая гримаса эталонного англосаксонского высокомерия, однако на голове — павловопосадский платок, и это, по замыслу режиссёра, делает её русской. Героиня Лу Ричардсон требует от героини Кларк, чтобы та обматерила эту «простую русскую женщину» на русском. «Я не могу», — беспомощно отвечает Кларк. Но яйца-то нужны, и, преодолевая себя, Кларк произносит с американским акцентом: «Твою мать… дай мне мои яйца». Я показывала эту сцену на редакционной планёрке, и мы всем коллективом гоготали. Ну почему «мои яйца»? Русские так не говорят. Дальше американская товарка требует, чтобы героиня Кларк вдобавок назвала «русскую» собакой женского пола. «Сюка!» — произносит Кларк. «Русская» издаёт очень даже британский носовой звук, без слов говорящий: «Пф-ф-ф, от сюки слышу». И выдаёт яйца, тоже назвав героиню Кларк «собакой». В представлении американцев русские матерятся, даже покупая яйца и хлеб. Но нам-то, с нашей генетической памятью, эти две дамы в этот момент напоминают фашистов, требовавших у русских женщин «яйки и млеко». Однако наших замерзающих соседей сцена не поэтому порвала. «А почему не на украинском? — спросили украинцы. — То есть мы тут замерзаем в своих квартирах, а Кларк в 2026-м говорит на москальском и снимается на фоне Кремля? И ещё удивляется, что у нас так подгорело?!» Тут очень просится в ответ: это же хорошо, что у вас, замерзающих, подгорело, как раз согреетесь. Но давайте лучше проведём сравнительный анализ реакций на эту сцену русских зрителей и украинских. Наши с сожалением писали, что, видимо, «Игра престолов» стала последним адекватным фильмом для Кларк. «Пони» — кино провальное, почему бы Кларк не начать тщательнее выбирать работы, в которых она снимается, а то весь флёр Дейенерис рассеется — не соберёшь, сетовали наши зрители. «Да что вы! — отвечали им опять же русские. — Она субтильная брюнетка, распространённый типаж. На всех субтильных ролей не напасёшься. Да и никто из «Игры престолов» не стал звездой мировой величины». На Украине же друг другу пересылали гифки, где Джон Сноу убивает Дейенерис, и желали ей скорейшей смерти, обвиняя в том, что Кларк пытается отвлечь украинцев от зимы, которая не просто близко, а уже вовсю лютует из-за русских. А она снимается в кино про русских! Американцы никак не перестанут популяризировать эту «чёртову» русскую культуру. Пусть хоть всю Украину эти русские заморозят, а американцы так и не потеряют к ним интерес! Не помогло даже то, что в начале СВО Кларк собирала деньги на счета помощи Украине и появлялась в футболке с жёлто-голубым сердцем. Отменили её безжалостно. Хотя не Кларк же виновата в том, что у Украины культура маленькая, узкая, а у России — свой огромный культурный мир, который всегда будет притягивать иностранцев. К тому же гонорары не пахнут, не холодят, а, наоборот, согревают сердце. Ну и украинская атака на Кларк превратила жалкий «Пони» в многослойное культурно-политическое событие.  Точка зрения автора может не совпадать с позицией редакции. © Автономная некоммерческая организация «ТВ-Новости», 2005—2026 гг. Все права защищены. Сетевое издание rt.com зарегистрировано Роскомнадзором 14 августа 2020 г., свидетельство Эл № ФС 77-78993 Главный редактор: Симоньян М. С. Адрес редакции: 111020, Москва, Боровая улица, 3к1. Телефон: +7 499 750-00-75 доб. 1200 E-mail: info@rttv.ru Политика АНО «ТВ-Новости» в отношении обработки персональных данных Организации, признанные экстремистскими и запрещённые на территории РФ Данный сайт использует файлы cookies"
3,Юбилей «Кабачка»,"16 января 2026, 08:53","60 лет назад, 16 января 1966 года, в ТВ-эфир СССР вышел первый выпуск передачи, которую люди моего поколения числят культовой, — «Кабачок 13 стульев». Её, кстати, как мне рассказывала Галина Леонидовна Брежнева, обожал и её отец — генсек Леонид Ильич Брежнев. Он же её и закрыл после волнений и забастовок в Польше в 1980 году. Ведь это — по сюжету — было польское заведение общепита. А в январе 1976 года, к десятилетию программы, польское правительство присвоило всем участникам и руководителям передачи звание «Заслуженный деятель культуры Польши». Польша даёт звания — это геополитика в миниатюре. Это был культурный спецназ, и мы сдались без боя — с восторгом. Валентин Плучек — режиссёр-титан, хозяин Театра сатиры, ненавидел это «попсовое чудо». Почему? Мне о причине такой неприязни поведал в интервью Александр Ширвиндт (возглавлявший этот храм Мельпомены после Плучека). Потому что «Кабачок» переписал правила. Актёр перестал быть жрецом на сцене — он стал своим парнем в телевизоре. Зритель аплодировал не народному артисту СССР, а пану Цыпе (в исполнении Георгия Вицина) или пани Катарине (в исполнении Натальи Селезнёвой), то есть персонажу — другу, соседу по идеальной виртуальной квартире. Ирония в том, что театр кормила именно эта ненавистная популярность. Это же чистые 1990-е, только в 1970-х! Медийность уже тогда побеждала иерархию. Телевизор оказался сильнее ампирных колонн и золочёных лож. Ведущими проекта были Андрей Миронов и Михаил Державин. Режиссёрами — Марк Захаров, Роман Виктюк, Спартак Мишулин (последний играл ещё и пана Директора). Главным режиссёром передачи стал Георгий Зелинский (он придумал этот проект с подачи своей жены Зои, актрисы Театра сатиры). А цифры? 133 выпуска, 145 часов... Это не сериал. Это параллельная вселенная, в которую можно было уходить каждую неделю. Больше, чем «Игра престолов» и «Доктор Кто», вместе взятые, по длительности! И что? А ничего. Нет архива. Нет плёнок. Величайший хит советского ТВ стёрт материально, но жив в коллективной памяти. Это прекрасная метафора. «Кабачок» был призраком, миражом. Проект был цифровым до появления цифры. Вирусным мемом до появления мемов. И его финальная тайна — не в том, почему его закрыли. А в том, почему его так беспечно выбросили из архива. Словно стесняясь этой самой большой народной любви. Любви не к партии, а к пани Монике (её играла Ольга Аросева). Это была не просто передача, а дверь. В тот самый момент, когда после программного застоя на экране возникала эта заставка, происходило чудо. Мы все — в Самарканде, в Риге, в Ереване — на целый час становились не советскими людьми. Гостями. Гостями в идеальной Европе, которой никогда не существовало. Там не было очередей за колбасой — там был лёгкий флирт. Не было партсобраний — был джаз. Не «товарищ», а пани или пан. Это была визуализация мечты о другой жизни. Но не американской — агрессивной, гремящей. А как-бы-европейской — уютной, ироничной, с кружевными салфетками и философией за столиком. «Кабачок» был легальным наркотиком. Нам показывали: смотри, вот она, цивилизация. Ты в неё не попадёшь, но ты можешь на неё подписаться. И главное — там не было политики! Только образцы ситкома. Пани Моника — это же наша общая тайная любовь. Она не строила коммунизм — она строила отношения. И мы понимали: вот оно, настоящее. А всё остальное — так, декорации. Это был побег. В то будущее, где можно просто быть — умным, галантным, смешным, влюблённым. Без лозунгов. Гостелерадио СССР продавало нам воздух. Воздух свободы, который даже не надо было называть свободой. Достаточно было сказать: «Пани и панове, шоу начинается!» И мы уже там. Сегодня это назвали бы контентом. А тогда это был кислород. Потому что знали: скоро понедельник — цех, летучка, план, нормы... Но сегодня суббота, и в «Кабачке 13 стульев» всегда один стул свободен. Для тебя. Они сделали это с такой любовью, что мы даже не чувствовали себя обманутыми. Мы чувствовали себя избранными. Как будто нас взяли за руку и провели через потайную дверь в параллельный мир. Безвизово.  Точка зрения автора может не совпадать с позицией редакции. © Автономная некоммерческая организация «ТВ-Новости», 2005—2026 гг. Все права защищены. Сетевое издание rt.com зарегистрировано Роскомнадзором 14 августа 2020 г., свидетельство Эл № ФС 77-78993 Главный редактор: Симоньян М. С. Адрес редакции: 111020, Москва, Боровая улица, 3к1. Телефон: +7 499 750-00-75 доб. 1200 E-mail: info@rttv.ru Политика АНО «ТВ-Новости» в отношении обработки персональных данных Организации, признанные экстремистскими и запрещённые на территории РФ Данный сайт использует файлы cookies"
4,Будущим капитанам,"15 января 2026, 22:56","Знал ли Вениамин Каверин, мог ли он знать, как сложится судьба главной книги его жизни, тогда — когда не будет ни страны, ни идеи, ту книгу приводящих в движение? Верю, что не знал, хотя и перебрасывал невидимый мост в очень далёкое и всё ещё не свершившееся будущее. Не знал в том смысле, что не предвидел крушения Красного проекта. Не мог его предвидеть в годы написания книги. Год 1938-й — начало. Год 1944-й — завершение. Ты иди, не сверни и не падай! Упадёшь — поднимись! И будет тебе наградой Цели заветной высь! Это финальная песня из второй и главной экранизации каверинских «Двух капитанов» — из шестисерийной эпопеи Евгения Карелова. Если что, слова песни он сам написал, тот самый Карелов. Что он для нас ещё снял, что оставил нам в наследство, предательски рано скошенный судьбой? 45 лет... Разве возраст для мастера? Великие ленты оставил: «Нахалёнок» (1961), «Третий тайм» (1962), «Дети Дон Кихота» (1965), «Служили два товарища» (1968). Словно по лестнице в небо человек поднимался. Словно зарубки на том небе для нас делал. А ну как пойдём, да где и собьёмся? Так, чтоб уж наверняка. Чтоб добрались до цели. Не обошлось и без комедий. Какая серьёзная жизнь без смеха? Это ж курам на смех, ей-ей... Потому и «Семь стариков и одна девушка» (1968), ведь ничто человеческое советскому человеку никогда не было чуждо. А потом — «Два капитана» (1976). А ещё потом — вечность. Будь она неладна... Я плыву к неизведанным далям, Вьюга, шторм не страшат меня. На коне я в бою отчаянном И на полюсе тоже я! Хотим мы того или нет, мир наш и был, и есть — из Григорьевых и Ромашовых. И чем чище и сильнее Григорьевы — тем подлее и тщеславнее, тем грязнее, уже до полного омерзения, Ромашовы. И не в том дело, что те Ромашовы сплошь и рядом предают, продают, губят будущее, а в том, что ныне научились они таковое публично обелять, в качестве личных побед превозносить, собственноручно и прижизненно памятники себе ставить, да ещё и Григорьевых — не просто дурнями, а извергами рода человеческого выставлять. Ложь всё искусней рядится в модное «от политического кутюр», а люди из небесной стали... Что той лжи до людей из небесной стали, когда есть рыночек всерешающий, личные незыблемые границы, доходность на единицу вложенного и личный рай в отрыве от мешающегося под ногами человечества. Такие в чести «капитаны». Тем «капитанам» днесь не до Каверина. В голубой океан улетаю, Под землёю я уголь рублю, По дорогам опасным шагаю, Жизнь отдам я за то, что люблю! Жизнь — это да, те «капитаны» отдадут. Только вот не свою — чужую. По сходной цене. И смотришь на экран, слушаешь духоподъёмную увертюру Евгения Птичкина (мастер из первых, с Пахмутовой по классу композиции вместе учился, «Ромашки спрятались» — это вот он), пропускаешь через себя все шесть серий, выворачиваешься наизнанку, когда Ромашов раненого и беспомощного Саню Григорьева в лесу практически под носом у фрицев бросает, и думаешь себе: «А как мы дошли до жизни такой сегодняшней бодрой да весёлой походкой?..» И не находишь ответа... А ещё потом, на финальных титрах, тот самый текст песни, что разбросал я выше, детский голос, почти голосок, пропевает. И озноб по коже. И нет покоя горячей крови. Да только так ли она горяча... «А может, домой пойдём?» «Что ты! Там негров угнетают! А ты — домой!» Такие были-росли в Стране Советской дети Дон Кихота. Такие в ней крепли, мужали и побеждали всех врагов и все напасти — Сани Григорьевы. А рядом с ними, в тени, в пыли дорожной, гнездились себе Ромашовы. Пережидали. Пересиживали. Переодевались. Переобувались. Вот и кончилась Страна Советов. Да только книга каверинская осталась. Луч маяка — если кто в море рискнул выйти. Бороться и искать. Найти и не сдаваться. Что же ещё вам рассказать? Вроде как всё и сказано. Девиз книги — есть. Герои главные — есть. С кого жизнь делать — есть. С кого не стоит ни при каких обстоятельствах — есть. Одного только нет. А чего одного — то решайте сами. Может, оно своё у каждого. А может, и общественное. Хотя какое там общественное?.. Чушь это всё и дурь несусветная. «Наивный ты человек. Наивный ты человек... Тебе никто не поверит. Чтобы судить — нужны свидетели. А нас было двое!» «Тогда я буду судить тебя сам!» Перечитайте. Прочитайте, коли не читали. Фильм посмотрите. Освежает почище ветров с того самого Севера, о пути к которому и о людях на том пути — книга Вениамина Каверина. С живых людей, если что, писанная. Да только это совсем другая история.  Точка зрения автора может не совпадать с позицией редакции. © Автономная некоммерческая организация «ТВ-Новости», 2005—2026 гг. Все права защищены. Сетевое издание rt.com зарегистрировано Роскомнадзором 14 августа 2020 г., свидетельство Эл № ФС 77-78993 Главный редактор: Симоньян М. С. Адрес редакции: 111020, Москва, Боровая улица, 3к1. Телефон: +7 499 750-00-75 доб. 1200 E-mail: info@rttv.ru Политика АНО «ТВ-Новости» в отношении обработки персональных данных Организации, признанные экстремистскими и запрещённые на территории РФ Данный сайт использует файлы cookies"
