,title,text
0,М ы   д о л г о   з а п р я г а л и   с   с о з д а н и е м   Е д и н о й   с и с т е м ы   з а щ и т ы   г о р о д о в   Р о с с и и   о т   д р о н о в .   Н о   т е п е р ь   е й   б ы т ь !,"Министр обороны РФ Андрей Белоусов отметил, что атаки дальними дронами вглубь России выросли с 1500 до 3700 дронов в месяц. Фото: Министерство обороны РФ. Когда еще военная коллегия была так насыщена с одной стороны программными установками президента, а с другой констатацией суровой реальности от министра обороны. Если коротко подвести итог, то нет поводов расслабляться. Добиваемся целей спецоперации дальше. И чем дальше, тем качественнее. Добились истинного суверенитета, становимся сильнее, а значит победа неизбежна. Либо силой, либо дипломатией с позиции силы. Но просто не будет. И надо эволюционировать. Министр обороны отметил, что атаки дальними дронами вглубь России выросли с 1500 до 3700 дронов в месяц. Это серьезный вызов, на который надо отвечать. Тут умники пишут, что регионам РЭБ не дали, потому и летят по НПЗ. Интересно, каким РЭБом можно валить украинские дальние беспилотники «Лютые» и PD-2? В зоне СВО их валят эшелонированным взаимодействием - МОГами, «Торами» и FPV-перехватчиками. О последних как раз и говорил Андрей Белоусов на коллегии Минобороны. Я видел, как в 3-й мотострелковой дивизии их применяют инициативно. Тараном попасть сложно, поэтому применяют дистанционный подрыв. Подвесы и боеприпас делают сами. Но появились уже и заводские перехватчики. Скоро будет больше. А по региональной ПВО министр неспроста привел в пример Московский регион. Здесь действительно защита столицы построена образцово. И если кто не знает, Москва еще активно помогает строить ПВО в регионах. И из соображений солидарности, и просто из инстинкта самосохранения. Через эти регионы дроны летят на столицу. И лучше бы не долетали. В Москве прошли апробацию, к примеру, комплексы «Зубр» и «Цитадель». У армейской авиации появляются новые средства поражения БпЛА. Промышленность начинает клепать их серийно. И опыт Москвы, по словам Белоусова, будет масштабироваться в рамках единой системы ПВО. Запрягали долго, но поедем с ветерком! ЧИТАЙТЕ ТАКЖЕ Военкор Коц: Путин меня услышал - Россия должна дать жилье людям, ждавшим ее в разрушенных городах «Зеленский — не российский агент. Он полезный идиот»: Военкор Коц объяснил, почему устранение главы киевского режима невыгодно СЛУШАЙТЕ ТАКЖЕ Россия и Украина почти договорились"
1,П о д   л ю с т р о й   Б о л ь ш о г о :   ф о т о   в   п е н ь ю а р е   и   н о в ы й   э т и к е т,"Телеведущая Мария Григорьева перед началом балета в Большом. Фото: Личная страничка героя публикации в соцсети. Второй день гремит скандал вокруг Большого театра. И нет, он не про очереди на «Щелкунчика». Ведущая «России 24» Мария Григорьева посетила балет «Дочь фараона». Могло бы всё пройти тихо, но не прошло. Дело в том, что девушка решила не только балет посмотреть, но и себя показать у себя на своей страничке. А посмотреть есть на что. Мария — очень красивая, а её наряд, смахивавший на полупрозрачный ночной пеньюар, выигрышно подчёркивал фигуру и шикарное декольте. Но для пущего эффекта ведущая еще и позу приняла — легла на барьер ложи, задрав ноги. Так снимаются в купальниках на пляже. А почему бы и нет? Но публике показалось, что это слишком. «В театр в ночнушке?!», «Это не реклама нижнего белья? Точно?», «Что за голая вечеринка в Большом?» — разразился хейт. Всколыхнулся не только интернет. К обсуждению подключились первые лица балета. Николай Цискаридзе назвал ведущую «вызывающе лежащей женщиной» и предложил отправить её «мыть полы в театре две недели. Стыд и срам!». А заодно ещё раз напомнил всем о книге «Мозаика. Балет. Щелкунчик», где прописаны правила поведения в храме искусств. Не поняли такого фотоискусства и артистки Большого театра Анастасия Винокур и Вера Борисенкова: «уже второй день всем коллективом обсуждают нормы дозволенного и границы приличия». Не выдержав, Григорьева удалила пост. И переключилась на экономику: «Инфляция замедляется... Хорошие новости для тех, кто следит не только за моим внешним видом» - гласит последняя информация на ее личной страничке в соцсети. Девушка явно не ожидала такой реакции на свои красивые фото. И, знаете, я её почти понимаю. Она не нарушала правил — она следовала новым. Уважаемые читатели, поведение ведущей — это, к сожалению, уже не нарушение, а почти норма. Вы не поверите на слово, и правильно сделаете. Но попасть в Большой — не визит в храм, а серьезная покупка. Цены на билеты в обычные дни равны месячному бюджету семьи на еду. А в новогодние — годовому. Потому-то вам вряд ли удастся увидеть феерию не искусства, а предновогодних развлечений нашей новой элиты. Их Большой — это иной жанр. Мне довелось там побывать, все увидеть своими глазами. И я обалдела. Во-первых, от сцены. А во-вторых — от зала. Многие пришли заранее, чтобы не пропустить ни одного кадра. Позировать на фоне лестницы, с шампанским в буфете, выстоять очередь к зеркалу (а она, к слову, почти как в кассах на «Щелкунчика» перед Новым годом). И главное — сбегать на верхний этаж, где та самая знаменитая люстра. Там принимались такие позы, что Григорьева — просто лапочка-дочка. Но это ладно, ем более интерьеры и правда роскошные. Беда в том, что это блогерское настроение продолжилось и во время балета, уже в зрительном зале. Никто не стесняясь снимал и снимался. Сидевшая впереди меня женщина без остановки записывала видео происходящего на сцене и скидывала всё в какой-то чат. Прямо в онлайне. И таких было немало. Нет, не скажу, что как на концерте, но для театра, где это вообще запрещено, — более чем много. Люди вели прямые эфиры, делали селфи. И их никто не останавливал. Одним словом, всем было не до балета. Точнее, балет был фоном для создания контента. Я хотела заснять всю эту вакханалию и даже начала, но быстро остановилась, поняв, что в таком случае мало чем отличаюсь от этой публики (смотрите отснятый кусочек на видео). «Половина зала, не меньше, приходит в театр ради люстры», — с горечью сказал мой знакомый, артист Большого. — «Им до лампочки, что на сцене. То есть до люстры». И это было не под Новый год, а вообще в мае. Что творится 31 декабря, страшно представить. Мода демонстрировать себя на фоне Большого пришла во времена коронавируса, когда выезд из страны был закрыт, а желание куда-то выехать и как-то «блеснуть» на праздники никуда не делось. Вот и нашлись роскошные альтернативы дальним курортам. Цены сопоставимы, значит, престижно, да еще и культурно. Только курортный менталитет не сменили. Купальники на вечерние платья — забыли. Позы — тоже. Так что Григорьева не нарушила тишину. Она громко озвучила новые правила игры. Правила, по которым люстра — это софтбокс, ложа — подиум, а искусство — фон. Так что, как говорится, запасаемся попкорном. Шоу только начинается. СЛУШАЙТЕ ТАКЖЕ Надежда Бабкина - про французское белье, кто в доме главный и концерты в зоне СВО"
2,"Р о д и т е л и   н е   з а м е ч а ю т ,   к а к   р а с т я т   м о н с т р а :   к а к   с п а с т и   д е т е й   о т   о д и н о ч е с т в а   и   у ж а с н ы х   п р е с т у п л е н и й","Обозреватель Ворсобин призвал почаще говорить с детьми после трагедии в Одинцово Фото: Иван МАКЕЕВ. Перейти в Фотобанк КП Сейчас в сети распространяется видео, которое я, бывалый журналист (в каком-то смысле социальный патологоанатом) не смог открыть. Не смог я это смотреть. В подмосковную школу Горки-2 вошел девятиклассник в изрисованной надписями каске, футболке с надписью на английском «Человеческие жизни не важны» и ножом. Он снимает все на видео. Более того – на его канале вся хронология преступления, где он подробно описывал – как готовился, подбирал обмундирование, выкладывал видео подготовки, а потом – и само преступление напрямую транслировалось в сеть. И вот он подходит, выставляя вперед нож, к группе школьников, спрашивает: «Какой вы национальности?». К счастью, сзади его отвлекает охранник, бежит к нему, кричит: «Отдай нож!» Тот режет охранника (сейчас он в тяжелом состоянии) и бежит за случайно попавшимся маленьким десятилетним мальчиком. Это видео тоже есть – но оно для меня невыносимо. И убивает его прямо на школьной лестнице. И хладнокровно делает с трупом селфи… Конечно, нам попытаются рассказать – как ребенок превратился в чудовище… Возможно, неполная семья. Возможно, психиатрия. Все возможно. Но у меня, черт побери, два вопроса. Первый – как родители, родственниками не заметили - кто у них растет? Или – по факту – кого они растили? Чему потворствовали? Какая мера их ответственности за воспитание, которое создало монстра и привело к смерти чужого ребенка! Тем более что этот зверь, судя по интернет-пиару подготовки к злодейству, и не думал скрываться. И исследователям этого феномена, нужно задать много вопросов подписчикам канала убийцы – почему не сообщили? Почему не испугались за других людей? Или – для подростков нынче – обещать резню и готовится к ней, что-то вроде черной шутки? Второй вопрос. Лозунги, которыми школьник изрисовал свою каску. Они антисемитские, националистические, нацистские. Ну, что, господа взрослые… Психиатры прекрасно знают, что бред больных не совсем бред. Когда-то психбольницы были населены Наполеонами, затем после модных новостей об НЛО – похищенными инопланетянами», сегодня – это облученные сотовыми станциями, а также жертвы прививок. Эта каска на голове малолетнего убийцы с надписью «Человеческие жизни не важны» - тоже может много сказать о нашем реальном мире. Например, что нам надо еще доказывать и доказывать, воспитывать и воспитывать, внушать и внушать: «Важны, важны, важны!» Почаще говорите со своими детьми (и меня это тоже очень даже касается), не оставляйте их без присмотра, спасайте от начала всех бед – душевного одиночества. «Все равно сяду на пожизненное»: ученики школы на Рублевке рассказали о страшном нападении подростка с охотничьим кинжалом ""Здесь не может идти речь о здоровой психике"": психолог - о причине трагедии в школе Одинцово и о том, как об этом говорить с детьми Подросток с ножом жестоко убил ребенка и ранил охранника: хроника нападения на школу в Подмосковье"
3,П о с л е   у б и й с т в а   ш к о л ь н и к а   в   П о д м о с к о в ь е   у к р а и н с к и е   С е т и   з а х л е с т н у л а   в о л н а   р а д о с т и   и   н е н а в и с т и,"После убийства школьника в Подмосковье украинские Сети захлестнула волна радости и ненависти. Фото: Melnikov Dmitriy/Shutterstock/Fotodom Настоящий портал в ад открылся в украинском сегменте Сети после известия об убийстве в подмосковной школе четвероклассника учеником той же школы из 9-го класса. Малолетнего убийцу обезвредили и задержали, но столько концентрированного скотства в Сети давно уже видеть не приходилось - неприкрытая радость, издевательства, подначивания и многое, многое другое из этой же оперы. Нет, есть отдельные голоса здравомыслия, призывающие к состраданию и сочувствию. - Вы совсем что ли? Это же ребенок! Он ни в чем не виноват, такое может произойти где угодно, - попытался воззвать к человеческому один из комментаторов, но его моментально «похоронили» под своим «праведным гневом» другие «участники дискуссии». И, кстати, такие голоса являются реальным одиноким гласом вопиющего в пустыне. Зато практически все остальные тешат себя без каких-то ограничений вдоволь. - Молодчина, жалко, что лишь одного забрал. Мог бы побольше порезать этих [нецензурное о русских]. - Кацапы, не останавливайтесь, очистим кацапстан от кацапов. - Молодец, чудесное известие, жалко, что лишь одного маленького орка уничтожили, но респект. - Для поднятия настроения! - Русские - это воши (именно так, не вши, а воши – прим. авт.) на теле планеты Земля. - Где вы на территории [хамское название России] у популяции [россиян] увидели детей?? Дети бывают у людей, а они - не люди. - Какие люди, такие у них и [дети]!!! Типичный пример их животного мира! - Читая комментарии, становится стыдно и противно от сограждан. Мало чем отличаются от «орков», которых порицают, - попытался было выступить с полупримиренческих позиций еще один субъект. Вот только врать он начал с самого начала не хуже, чем «просроченный» наркофюрер Владимир Зеленский. Потому что нет нигде ни одного комментария с русской стороны, где кто-либо из наших радовался бы гибели украинских детей. Нет и быть не может. Потому что это с нашей стороны люди. А с их - либо молчаливые и запуганные до смерти граждане, либо вот такие…чудовища, которые радуются чужому горю в соответствии с местными традициями: «Нехай у меня корова сдохнет, абы у соседа две». Ученик 9-го класса (на фото) убил четвероклассника из своей школы. В телефоне преступника нашли десятки кадров, где он позирует в разгрузочном жилете Фото: Личная страница героя публикации в соцсети. Сотни комментариев, и практически все выдержаны в одном духе. Нет никакой разницы между каналами просто так называемых «украинских патриотических активистов» и официальных информационных агентств. Все они буквально извергают из себя злобу, человеконенавистничество, плюются ядом. Если бы ненависть могла убивать сама по себе, то вся Россия, наверное, уже давно была бы усеяна телами от Калининграда и до Владивостока. Отдельный момент во всех этих комментариях - нацистская тема. На шлеме убийцы были написаны неонацистские лозунги и девизы. Как выяснилось, преступник был приверженцем одного их течений данной идеологии. И «укропатриоты» вцепились в этот факт мертвой хваткой. - Славянская свастика - не свастика, говорили они - А визитку правого сектора нашли? - с радостью предполагали украинцы участие собственных спецслужб. - Но нацисти все равно мы? - спрашивали другие. Да, правда - все равно нацисты вы. Потому что монстры есть в любой стране. В каждом государстве имеются убийцы, насильники, маньяки, изменники, нацисты. Но в одних странах, как у нас, их ловят и наказывают по закону. А на Украине их возвеличивают, делают из них национальных героев. Мазепа, Бандера, Шухевич, Чикатило и десятки других. Изменники были везде, но в России и СССР власовцев наказывали, даже расстреливали, а вот в Незалежной и других странах тому же бандеровцу Гуньке аплодировали в парламентах, а десятки живых бандеровцев и сейчас ходят торжественными маршами. Именно поэтому люди и теряют остатки человечности. И смеют радоваться даже гибели детей… ЧИТАЙТЕ ТАКЖЕ Есть погибший и раненые: подросток напал с ножом на учеников в школе в посёлке Горки-2 в Подмосковье Подросток с ножом жестоко убил ребенка и ранил охранника: хроника нападения на школу в Подмосковье СЛУШАЙТЕ ТАКЖЕ Зеленскому нужно перемирие, чтобы начать новую войну"
4,Д о с т о я н и е   р е с п у б л и к и :   о т м е ч а е м   п р а з д н и к   и т а л ь я н с к о й   к у х н и,"Главное - на каперсах не экономьте, они лучшие друзья курицы. Фото: Леонид ЗАХАРОВ. Перейти в Фотобанк КП На прошлой неделе ЮНЕСКО включила итальянскую кухню в список нематериального культурного наследия. Прежде этой чести удостаивались отдельные блюда, рецепты, продукты, а тут впервые сразу вся кухня. Меня это известие сильно порадовало, ну вот люблю я все итальянское, ничего не могу с собой поделать. Сразу захотелось отпраздновать. А как? Да очень просто: взять и приготовить что-нибудь в честь Итальянской Республики. Паста? Слишком просто. Пицца - многовато возни. Да и вообще, кто сказал, что итальянская кухня это только пасты и пиццы. Готовим курицу с красивым названием pollo piccata. Берем куриное филе… Стоп, важное напоминание! Про опасности, которые подстерегают каждого, что моет курицу перед готовкой, читали? Если не читали - найдите подробный материал на эту тему на нашем сайте. Прочитайте, ужаснитесь. Далее - по инструкции. Итак, берем филе, нарезаем тонкими пластами. Если тонко не получилось, можно отбить, но без фанатизма, слегка. С обеих сторон посыпаем солью и черным перцем, обваливаем в муке. Нет, в яичную смесь предварительно не окунаем и вообще следим за тем, чтобы муки на курице было не слишком много, мы все-таки не цыпленка по-милански готовим. Теперь куски филе обжариваем на оливковом масле. По 2 - 3 минуты с каждой стороны. Хорошо, если сковорода чугунная. Нет - тоже терпимо. Обжарили - убираем в сторону. А сковороду оставляем на огне. Там еще остатки масла и следы жареной курицы. Выкладываем туда горсть маринованных каперсов. Можно даже размять их вилкой - сразу по всей кухне запах Италии. Теперь туда же две-три измельченные дольки чеснока. Запах еще сильнее. Туда же примерно полстакана белого вина. Про запах уже молчу. Немного лимонной цедры (можно не тереть, срежьте острым ножом, так оно в итоге даже красивее будет), сок половины лимона, щепотку тимьяна, кусок сливочного масла граммов этак в 50. И вот когда соус загустел, на сковороду триумфально возвращаются отдохнувшие и похорошевшие кусочки куриного филе. Они сразу находят общий язык с маслом, лимоном и каперсами, начинают буквально сиять. Великодушно позволим им пару-тройку минут побыть в этой приятной компании, пусть они пропитаются волшебными ароматами. И только потом снимем сковороду с огня. Едим, поминаем добрым словом ЮНЕСКО. Хотя мне лично не вполне понятно, почему это наследие называется нематериальным. Очень даже оно материальное, сытное, вкусное. ПРОЩЕ НЕКУДА Пекантные подробности Брюссельскую капусту любите? А орех пекан? А кленовый сироп? А если все вместе? Берите капусту, промойте ее, обсушите, разрежьте пополам, обжарьте эти половинки разрезами вниз минут 5 на сливочном масле до появления красивой корочки. Плесните пару столовых ложек кленового сиропа, добавьте пекан (его лучше сначала прокалить на сухой сковороде), еще минут 5 помешайте это все в сковороде. Морская соль, можно немного тимьяна. Готово дело. Такое можно и после шести."
5,"Х л е б а   н е т ,   а   п о л н о   г у т а л и н а","Госпожа ля Мот та еще авантюристка (Елизавета Боярская). Фото: Кадр из сериала «Царь ночи», 2025 В погоне за броским названием (так себе, если честно; подойдет для шоколадных конфет) авторы полфильма о заре ХХ века темнят, кто у ночи царь и нужны ли ей цари (правящий в означенный период Н. А. Романов на экране не появится и в счет не идет). То ли это потрепанный миром и взятый на прицеп шайкой «петровских» экстрасенс Яша (Алексей Ярмущик), способный лечить наложением рук и мистическими причитаниями, отчего ему прямая дорога в Распутины (образ мечтательного отрока, вовлеченного в гоп-стоп, заимствован автором идеи Андреем Золотаревым из собственного «Слова пацана», он на этом «Слове» еще век будет ездить). То ли это чиновник жандармерии г-н Раздорский (Максим Митяшин), замысливший пролезть в цари путем стравливания двора с бомбистами для их взаимоуничтожения, как уже делал г-н Фандорин, в дальнейшем оказавшийся иноагентом. То ли это главарь смутьянов с кавказским акцентом и кличкой Гоба (Гурам Квициния), который насилует виктимных девиц, режет подельников и семьдесят лет не дает спокойно спать питерским кинематографистам. То ли зловещий доктор Гайгер (Анатолий Григорьев), которого семь серий почти не видно, а в восьмой-то и всплывает вся правда, откуда зло. Пахан «петровских» Петя (Алексей Ухов) для князя тьмы жидковат, правящий рынком околоточный Буля (Андрей Кузин) простоват, фармазонщица мадам ля Мот (Елизавета Боярская) гендером не вышла, все прочие - калибром. Остается предположить, что царь ночи у нас сам г-н Золотарев, потерявший от восторгов в собственный адрес всякие берега, взявшийся придумывать новый воровской закон и новую историю государства Российского, ничего общего не имеющие с реальностью. Он выдает на-гора каких-то сбитых с пути праведных юношей, умирающих в каждой серии девочек, околоточных в роли блатных арбитров, обаятельных жульманов и злокозненных бунтовщиков - гнуснейший охотнорядский набор. Авторское правило номер один: все разногласия должны решаться максимально по беспределу, чтобы впечатлять бедных разумом, но богатых эмоциями потребителей. По итогам выходит у него с соавторами Рощиным, Борисовой и Лордкипанидзе (Борисова - постоянный соавтор, Рощин с Лордкипанидзе - продюсеры сериала) следующее. Николаевская Россия стонет под игом уголовщины, полицейщины, поповщины, хлестаковщины и шарлатанов всех мастей. Кажется, в несчастной стране Золотарева и Ко уже не осталось людей, непричастных к сыску, блуду, разбою, террору и оккультному надувательству. Силы добра воплощены отцом Иоанном (Александр Галибин), к которому зачем-то водят на исповедь г-жу ля Мот, судя по фамилии, католичку, а по роду занятий - атеистическую прохиндейку. Отец Иоанн пытается наставить их с Россией на правильный путь, отговаривая в проповедях от насильственных перемен, как мы знаем, тщетно. Раздорский химичит, «петровские» куролесят, ля Мот столовертит, ангельские девочки чахнут, шлюхи блудодействуют, народ безмолвствует, черти пляшут. Отчего такую вот Россию - забывшую не столько Бога, сколько праведный труд - нельзя чуток потрясти, знает один Золотарев да режиссер его Месхиев. Рыночные карманники промышляют заодно грабежом, за который схватить тяжелый срок - проблема только у таких выдающихся сочинителей («Можно грабить, убивать, насиловать, но продавать оружие врагам государства и Отечества нельзя», - утверждает у них бес Раздорский; где и когда в России разрешалось грабить и насиловать, знают только эти гении). Революционеры на сходках и пристанях только и делают, что режут своих. Безымянная организация замышляет неизвестный науке теракт. Эсерами (главной партией террора) их назвать ни в коем случае нельзя, поскольку выйдет, что большевики пошли другим путем и дошли куда надо, а главные аспиды в глазах новых неучей - именно они и есть и именно потому, что дошли. По всем замазкам, «Царь ночи» - натуральный комикс. Но комиксы делаются с иронией и любовью к рисованной дичи. Авторов же от всех своих героев воротит, как от столовского винегрета. Зрителей, судя по рейтингам, тоже. «Царь ночи», 18+ 2025 г. Реж. Дмитрий Месхиев. Premier СЛУШАЙТЕ ТАКЖЕ Надежда Бабкина - про французское белье, кто в доме главный и концерты в зоне СВО"
6,У   З е л е н с к о г о   н а к а ч и в а ю т   о б щ е с т в о   и   с о ю з н и к о в   а г р е с с и е й,"У Зеленского накачивают общество и союзников агрессией Фото: REUTERS. Пока украинский «просроченный» лидер Владимир Зеленский ищет выходы из «крысиного лабиринта», его верные помощники из правительства и парламента по полной накачивают украинское общество и своих европейских союзников агрессивной риторикой и декларируют невозможность для Украины идти на какие-либо уступки по вопросам мирного урегулирования. На украинско-румынском форуме пока еще министр иностранных дел Украины Андрей Сибига заявил, что мира не будет до тех пор, пока Украина не заберет назад Крым у России. - В нашем регионе не будет настоящей безопасности, без восстановления суверенитета Украины, в том числе над украинским Крымом. Россия полностью разрушила систему безопасности в Черноморском регионе, нарушила цепочки поставок и морскую торговлю. Она также милитаризировала оккупированный украинский полуостров и превратила его в плацдарм для агрессии, - заявил Сибига. - Только объединение усилий поможет предотвратить новую войну с Россией в будущем. Война, начавшаяся в Крыму, должна закончиться в Крыму. Это не политическая декларация, это единственная жизнеспособная концепция безопасности для нашего региона. Глава МИД Украины Андрей Сибига Фото: GLOBAL LOOK PRESS. Такое ощущение, что Зеленский открыл для членов своей команды курсы, как врать и не краснеть, и министры украинского правительства чуть ли не ежедневно сдают экзамены по этому предмету. Поскольку именно украинская армия безостановочно атакует суда торгового флота в бассейне Черного моря, и ведет себя так, что всем становится ясно – восстановить безопасность судоходства в этом районе могут только лишение Украины выхода к морю и принуждение ее к отказу от определенных систем вооружений. А вот депутат Верховной рады Украины Юлия Сирко, заместитель фракции «Голос», собравшей в своих рядах представителей украинских «соросят»*, на том же самом мероприятии заявила о неприемлемости для украинцев предложенного президентом США Дональдом Трампом «мирного плана». - Путин каким-то образом убедил наших американских партнеров представить нам не план мирного урегулирования, а план капитуляции из 28 пунктов, который предполагает уступки территорий, сокращение численности украинской армии, отказ от членства в НАТО и много другого, - заявила депутат Сирко в своем выступлении на этом же форуме. - В основном это пункты, на которые украинцы не пойдут, несмотря на то, что мы живем в условиях отключения электроэнергии и ракетных обстрелов. Так что либо этот план будет каким-то образом пересмотрен и станет более приемлемым для всех сторон, либо это тупик, потому что мы уже провели 40 раундов переговоров с Россией, и все безрезультатно. Депутат Верховной рады Украины Юлия Сирко. Фото: ValyaKovalchuk / commons.wikimedia.org Может показаться, что мадам несколько менее кровожадна, чем Сибига, но не стоит обольщаться. И он, и она выступают исключительно за продолжение боевых действий, совершенно наплевав на понесенные украинской стороной потери. И вряд ли они выступают так исключительно по своей инициативе или выражают исключительно личное мнение. Для министра, тем более, иностранных дел, такая вероятность просто исключена. Он, в первую очередь, является выразителем государственной политики, а только потом человеком. Впрочем, в Киеве популярна и такая точка зрения, что подписать сейчас можно все, что угодно, но потом совсем необязательно выполнять подписанные условия и обязательства. Как это было с теми же Минскими соглашениями. - Мы же прекрасно знаем, можно сделать вид, что никаких договоров не было. Как, например, Будапештский меморандум. Почему бы нам не сыграть в ту же циничную игру: да, что-то подписали, а потом можем переосмыслить, - предложила совершенно серьезно в эфире украинская пропагандистка Людмила Немыря. Только щирые свидомиты не понимают, что весь мир уже в курсе их «маленьких хитростей» и больше их попытки обмана никто прощать не станет. Если на Украине не хотят заканчивать войну, значит, она закончится вместе с украинцами. *Минюст включил Фонд Сороса в список нежелательных организаций «Зеленский с сумками долларов сбежит на самолете»: экс-аналитик ЦРУ Макговерн описал конец украинского конфликта Зеленский хитрит и вслепую прощупывает Трампа: Киев ищет лазейки в мирных переговорах СЛУШАЙТЕ ТАКЖЕ Северск наш! Почему битва за город шла 3 года, а о его взятии доложили Путину"
