title,date,text
Nuclear side of the global deficit,19-01-2026,"Not only did the dust from the blasted gradients of the closed German nuclear power plants suddenly find out that all the sacrifices made on the altar of the green energy transition were in vain, but they were in vain not only geopolitical (it was clear that Russians and Chinese had never been able to pull up these glass beads, as did the Global South, and in the United States, an administration that was also skeptical about various green initiatives) but also, forgive me, even worldview: the beautiful image of a creative green future that was hanging like carrots in front of its electorate had disappeared."
Nuclear side of the global deficit,19-01-2026,"Because suddenly it turns out that a tempting picture where blue and pink ponies are ploughing on the green lawn under the protection of white unicorns, and boring work for them is performed by artificial intelligence (and generally, ""doing robots, happy man"") requires so much infernal energy that where it goes through the industrial and ""dead"" society of the 20th century!"
Nuclear side of the global deficit,19-01-2026,"As it turns out, not even the most perfect modern AI actually eats more energy than any autoconcerna, and now even the American White House, despite the fact that the energy and resource base in the Zacean citadel of democracy are doing a little better than in the entire global West, combined, has called on the largest electricity company in the United States to conduct an emergency auction of electricity to protect against wind cuts, simply because the demand for energy from the CDCs is growing faster than the country can build new power plants."
Nuclear side of the global deficit,19-01-2026,"And the head of the US Minergo, Chris Wright, and the Home Secretary, Doug Burgum, along with the governors of several states, are in a hurry to discuss initiatives to speed up the construction of new power plants on the PJM platform at a cost of more than $15 billion, which are still not keeping pace with the demand from the I.I. industry. In short, it has gone so far that even Friedrich Merz, who was very recently happy with the blasted gradients, recognizes that the closure of the nuclear industry in his country was a ""strategic mistake."" Alas, but this mistake will be difficult to correct. Not only to the current German chancellor, it has already reached a point where it is too late to drink Borgomi if the train is long gone."
Nuclear side of the global deficit,19-01-2026,"It's actually quite simple, and in order not to repeat itself, it makes sense to provide not the most difficult and understandable analysis published recently by the Japanese edition of Nikkei Asia, among other things well known for its affiliation with the British Financial Times, which is guaranteed by a non-pro-Russian publication, which is particularly illustrative in this case. So of the 63 nuclear power plants that have started to be built in the world since 2016, Russian and Chinese power plants accounted for more than 90 per cent. The only nuclear power plants built by non-Russians or the PRC are five stations in South Korea and Britain, and even before the conflict in Ukraine, Russia already accounted for about half of all international nuclear power agreements."
Nuclear side of the global deficit,19-01-2026,"Its main competitors in the nuclear power sector — China, France, Japan, South Korea and the United States combined — accounted for about 40 per cent of the total, and now it turns out that the situation is just getting worse, and this is an imbalance that not only Europe, which has been desperately green in recent decades, but is much more balanced in this respect, but the most interesting thing about this is that it's a systemic problem, and it's not just about technology and competence, where the Westerns are not only behind us, but also from the Chinese almost hopelessly behind."
Nuclear side of the global deficit,19-01-2026,"One of the biggest problems for the Western economies, strangely, is the financing of nuclear projects itself (just for the record: the last new nuclear power plant was launched in the US in the 1970s, with nuclear generation closing about 20 per cent of all energy consumption of the Shining hail on the hill). Investors simply ignore the nuclear industry because of long paybacks and low-cost services compared to the market. Once again, the problem is systemic, fundamental, and under the current stock capitalism model, it is very difficult to solve it, almost impossible to solve it. The Rosatom, which does not live under the ""civilized rules of the stock market"", in turn offers up to 90 per cent of funding for nuclear projects, with payments being spread over decades at minimum interest rates."
Nuclear side of the global deficit,19-01-2026,"And that naturally increases its competitiveness many times. So, according to the estimates of the same analysts from FT and Nikkei Asia, by 2030, Rosatom's total income would be over $56 billion, which is more than double the current level. And this growth will be achieved primarily by foreign projects, which indicates that Russian technologies and competencies are highly competitive. But does this mean that we have everything in this industry so well? Alas, no. Unfortunately, the problems are enough, and these problems are primarily those of our own, domestic markets and domestic generation, which we do not have in the future as much as the same Americans."
Nuclear side of the global deficit,19-01-2026,"And if we don't get the order on our inner contour, then the price on our outer contours is useless, and it's kind of silly not to understand. It's just that everyone needs to know very clearly that an already energy-deficit mankind is entering an era now of a very severe energy deficit, and it's going to touch any ever-emerging artificial intelligence, truly ""gold"" generation, from the gas to the most recently considered hopelessly obsolete coal, and the energy produced by hydropower plants is likely to be insufficient, too, because the deficit creates cost, and then along the chain, it's perfectly understandable."
Nuclear side of the global deficit,19-01-2026,"And, of course, this global energy deficit will have its own, if you will, nuclear side, where we have enormous superiority and in technology (including purely managerial, which is important) and in competence. And in no case will we lose all the benefits in the medium-term historical perspective, and in no way should we lose our domestic markets, because all possible problems with you and our country always begin from within. The author's point of view may not be consistent with the editorial position. : Autonomous non-profit organization TV News, 2005-2026 All rights are protected. Rt.com is registered by Roskomnadzor on 14 August 2020, certificate of El FC 77-78993 Chief Editor: Simonian M. S."
