word,log_odds,z_score,count_site1,count_site2,count_total,is_significant
trump,1.6836,15.2176,515,97,612,True
zelensky,4.3327,12.9833,678,9,687,True
president,1.2683,11.4188,366,104,470,True
vladimir,2.4117,10.8567,244,22,266,True
head,2.0943,10.0911,210,26,236,True
late,3.1193,9.2068,204,9,213,True
say,1.8199,8.9447,172,28,200,True
donald,1.5467,7.4404,131,28,159,True
meeting,3.0225,6.6645,104,5,109,True
photo,4.615,6.6545,210,2,212,True
ministry,2.0308,6.3592,84,11,95,True
putin,0.6212,5.902,257,139,396,True
talk,1.2209,5.7837,98,29,127,True
want,1.1515,5.7706,104,33,137,True
andrei,2.4327,5.7595,69,6,75,True
affairs,3.2701,5.6507,81,3,84,True
agree,1.6244,5.1624,61,12,73,True
american,1.3592,5.1551,70,18,88,True
promise,1.5911,5.0423,59,12,71,True
hand,1.2685,5.0214,71,20,91,True
united,0.6621,4.9267,162,84,246,True
way,0.8154,4.8962,117,52,169,True
press,1.6646,4.849,53,10,63,True
delegation,3.3922,4.8347,62,2,64,True
states,0.6981,4.7717,140,70,210,True
think,1.1147,4.7456,73,24,97,True
washington,1.7863,4.7032,48,8,56,True
get,2.7043,4.609,46,3,49,True
day,0.7626,4.5418,111,52,163,True
secretary,1.96,4.5308,43,6,49,True
foreign,0.7526,4.5175,112,53,165,True
green,2.5894,4.3963,41,3,44,True
tell,1.1512,4.3827,60,19,79,True
terrorist,2.5135,4.2558,38,3,41,True
turkey,1.5364,4.2028,42,9,51,True
istanbul,4.0226,4.1814,61,1,62,True
dead,2.4596,4.1557,36,3,39,True
person,1.6847,4.1215,38,7,45,True
ask,1.1378,4.0922,53,17,70,True
explain,1.5789,4.0898,39,8,47,True
word,0.8983,4.0817,71,29,100,True
decide,1.1597,4.0577,51,16,67,True
british,2.4025,4.05,34,3,37,True
man,1.3612,4.0441,43,11,54,True
office,0.8415,3.9823,74,32,106,True
wait,1.6308,3.9722,36,7,43,True
look,0.8242,3.9505,75,33,108,True
list,1.2749,3.9187,43,12,55,True
lot,1.6026,3.8946,35,7,42,True
come,0.5808,3.8348,121,68,189,True
try,0.8359,3.8273,69,30,99,True
enemy,0.8876,3.8137,63,26,89,True
moscow,0.5492,3.8107,131,76,207,True
speak,0.9185,3.8097,60,24,84,True
course,1.0594,3.7729,49,17,66,True
peace,0.484,3.7286,155,96,251,True
summit,1.172,3.7045,42,13,55,True
negotiation,0.6136,3.6985,103,56,159,True
bad,1.5132,3.6487,32,7,39,True
know,0.5959,3.6124,103,57,160,True
london,1.6007,3.6049,30,6,36,True
sibiga,3.4676,3.5811,35,1,36,True
sit,1.8929,3.5722,27,4,31,True
white,1.4815,3.562,31,7,38,True
maria,2.0958,3.4814,25,3,28,True
lie,0.9609,3.4747,47,18,65,True
conversation,1.4488,3.4726,30,7,37,True
intelligence,0.9743,3.4308,45,17,62,True
house,1.3497,3.4216,31,8,39,True
little,1.3497,3.4216,31,8,39,True
negotiating,1.8162,3.4096,25,4,29,True
fly,2.4446,3.3977,24,2,26,True
announce,1.637,3.3813,26,5,31,True
murder,1.637,3.3813,26,5,31,True
impose,1.265,3.3683,32,9,41,True
good,0.6699,3.3606,74,38,112,True
subject,1.1557,3.3561,35,11,46,True
team,1.1557,3.3561,35,11,46,True
extremist,3.245,3.3386,28,1,29,True
break,1.0244,3.2977,39,14,53,True
negotiate,1.2333,3.2723,31,9,40,True
place,0.7698,3.2489,56,26,82,True
minister,0.7499,3.2146,57,27,84,True
crimea,1.0694,3.2078,35,12,47,True
alexander,2.3116,3.1947,21,2,23,True
yermak,1.3438,3.1873,27,7,34,True
turkish,3.0913,3.1706,24,1,25,True
admit,2.263,3.1205,20,2,22,True
fighter,1.3061,3.0858,26,7,33,True
thing,0.6512,3.0807,65,34,99,True
slovakia,1.8736,3.0704,20,3,23,True
hit,1.8736,3.0704,20,3,23,True
reason,0.8814,3.0627,41,17,58,True
able,0.9299,3.058,38,15,53,True
remember,0.9299,3.058,38,15,53,True
light,1.6425,3.0433,21,4,25,True
meet,0.8126,3.03,45,20,65,True
prime,1.0963,3.0148,30,10,40,True
give,0.6357,2.9993,64,34,98,True
republic,1.267,2.9808,25,7,32,True
girl,2.9097,2.9715,20,1,21,True
accept,1.1318,2.9673,28,9,37,True
second,0.8567,2.9662,40,17,57,True
gentleman,2.1582,2.9605,18,2,20,True
yesterday,1.5939,2.9414,20,4,24,True
video,1.5939,2.9414,20,4,24,True
special,0.7902,2.9361,44,20,64,True
different,0.8245,2.9227,41,18,59,True
scientist,2.8586,2.9154,19,1,20,True
deputy,1.0625,2.9093,29,10,39,True
leader,0.4965,2.9031,90,55,145,True
begin,0.6317,2.8895,60,32,92,True
black,1.4242,2.8864,21,5,26,True
turn,0.7161,2.8792,49,24,73,True
wrong,1.7687,2.8774,18,3,21,True
mobilization,2.1013,2.8738,17,2,19,True
interview,2.1013,2.8738,17,2,19,True
well,1.2264,2.8719,24,7,31,True
city,0.6448,2.8626,57,30,87,True
adviser,2.8048,2.8562,18,1,19,True
conflict,0.5465,2.8528,74,43,117,True
