word,log_odds,z_score,count_site1,count_site2,count_total,is_significant
israel,0.8469,13.1549,776,350,1126,True
regime,1.6596,8.3193,152,30,182,True
time,1.0182,6.3858,144,54,198,True
public,1.0524,5.8495,116,42,158,True
president,1.0675,5.5056,101,36,137,True
change,0.9756,5.4296,110,43,153,True
arena,1.4645,5.2771,67,16,83,True
campaign,1.8735,5.249,57,9,66,True
woman,1.9543,5.1933,55,8,63,True
turkey,2.049,5.1277,53,7,60,True
year,0.8302,4.972,115,52,167,True
terrorist,2.54,4.9447,50,4,54,True
syria,1.6207,4.9187,54,11,65,True
hezbollah,1.5636,4.7217,51,11,62,True
qatar,2.7577,4.7032,47,3,50,True
act,1.3814,4.6199,54,14,68,True
value,1.5236,4.5843,49,11,60,True
society,0.7672,4.5491,108,52,160,True
arabs,1.84,4.543,43,7,50,True
idf,3.1889,4.5254,49,2,51,True
hamas,0.5022,4.5231,210,132,342,True
jews,1.6147,4.4349,44,9,53,True
good,1.7678,4.3417,40,7,47,True
enemy,3.0348,4.2921,42,2,44,True
arabia,1.8417,4.2154,37,6,43,True
lebanon,1.0666,4.2059,59,21,80,True
protest,2.9349,4.1404,38,2,40,True
know,1.2947,4.1352,46,13,59,True
order,1.1717,4.0901,50,16,66,True
place,0.9585,4.0619,63,25,88,True
attack,0.8636,4.0172,71,31,102,True
saudi,1.1114,3.9684,50,17,67,True
coalition,2.794,3.9263,33,2,35,True
anti,1.7275,3.9207,33,6,39,True
day,0.7974,3.8999,75,35,110,True
country,0.5552,3.8844,131,78,209,True
fight,1.5026,3.8548,35,8,43,True
line,1.4143,3.8128,36,9,45,True
significant,1.4143,3.8128,36,9,45,True
look,1.2696,3.7221,38,11,49,True
achievement,2.6301,3.6764,28,2,30,True
october,0.808,3.6657,65,30,95,True
victory,1.5133,3.6383,31,7,38,True
defense,1.3572,3.6376,34,9,43,True
understand,0.9806,3.6362,49,19,68,True
democracy,2.5562,3.5636,26,2,28,True
abbas,2.5562,3.5636,26,2,28,True
intelligence,1.4806,3.5487,30,7,37,True
muslim,1.8479,3.4692,25,4,29,True
politician,2.0869,3.4586,24,3,27,True
need,0.8227,3.4163,55,25,80,True
nuclear,1.3488,3.4075,30,8,38,True
possible,1.1293,3.3995,36,12,48,True
important,0.9174,3.3714,46,19,65,True
capability,1.265,3.3565,31,9,40,True
family,1.6297,3.3552,25,5,30,True
khamenei,2.3897,3.3093,22,2,24,True
missile,1.1924,3.3051,32,10,42,True
problem,1.1924,3.3051,32,10,42,True
election,1.1924,3.3051,32,10,42,True
example,2.0002,3.2979,22,3,25,True
thing,1.7648,3.2932,23,4,27,True
clear,0.5733,3.287,89,52,141,True
quiet,1.589,3.26,24,5,29,True
hold,0.9876,3.2596,39,15,54,True
trump,0.4104,3.2528,154,106,260,True
samaria,3.1637,3.2477,25,1,26,True
murder,2.3433,3.2385,21,2,23,True
world,0.4821,3.218,114,73,187,True
bring,0.9487,3.2156,40,16,56,True
week,1.4506,3.2134,25,6,31,True
senior,1.4506,3.2134,25,6,31,True
meet,1.9538,3.2122,21,3,24,True
government,0.4499,3.2007,127,84,211,True
northern,1.5466,3.1611,23,5,28,True
iranian,0.4909,3.1214,104,66,170,True
hand,0.8178,3.1113,46,21,67,True
fighter,3.0363,3.1081,22,1,23,True
picture,3.0363,3.1081,22,1,23,True
space,1.2437,3.1057,27,8,35,True
zionism,1.5023,3.058,22,5,27,True
gulf,0.7479,3.0069,49,24,73,True
decide,1.3675,3.004,23,6,29,True
jihad,2.1899,3.0039,18,2,20,True
run,2.1899,3.0039,18,2,20,True
big,2.1899,3.0039,18,2,20,True
join,1.6256,2.9999,20,4,24,True
tehran,1.0117,2.999,32,12,44,True
salman,1.0942,2.9961,29,10,39,True
arab,0.3264,2.9837,195,146,341,True
jewish,0.7274,2.9745,50,25,75,True
street,1.4559,2.9506,21,5,26,True
consideration,2.8903,2.9477,19,1,20,True
judea,2.8903,2.9477,19,1,20,True
life,0.7486,2.9472,47,23,70,True
white,1.8004,2.929,18,3,21,True
hear,1.8004,2.929,18,3,21,True
southern,1.8004,2.929,18,3,21,True
half,2.133,2.9171,17,2,19,True
harm,1.5746,2.8928,19,4,23,True
side,1.5746,2.8928,19,4,23,True
think,0.9998,2.8339,29,11,40,True
eye,1.2156,2.8329,23,7,30,True
fighting,2.7797,2.8259,17,1,18,True
iron,2.7797,2.8259,17,1,18,True
liberal,2.0727,2.825,16,2,18,True
kingdom,1.7435,2.8244,17,3,20,True
mark,1.7435,2.8244,17,3,20,True
willing,1.7435,2.8244,17,3,20,True
give,0.9473,2.7829,30,12,42,True
bad,1.5207,2.7804,18,4,22,True
background,2.7194,2.7594,16,1,17,True
march,2.7194,2.7594,16,1,17,True
ayatollah,2.7194,2.7594,16,1,17,True
fact,0.8506,2.7518,34,15,49,True
semitism,2.0085,2.7272,15,2,17,True
examine,2.0085,2.7272,15,2,17,True
historic,1.3563,2.7211,19,5,24,True
critical,1.1713,2.7153,22,7,29,True
demonstrate,1.6832,2.7138,16,3,19,True
percent,1.6832,2.7138,16,3,19,True
man,2.6552,2.6886,15,1,16,True
ben,2.6552,2.6886,15,1,16,True
prime,0.7832,2.668,36,17,53,True
threat,0.5055,2.6626,72,45,117,True
knesset,1.4639,2.6621,17,4,21,True
main,1.4639,2.6621,17,4,21,True
price,0.7267,2.6591,40,20,60,True
perception,0.9853,2.6589,26,10,36,True
abu,1.94,2.6228,14,2,16,True
minority,1.94,2.6228,14,2,16,True
brotherhood,1.94,2.6228,14,2,16,True
evil,1.94,2.6228,14,2,16,True
left,2.5866,2.6129,14,1,15,True
demilitarization,1.619,2.5965,15,3,18,True
demonstration,1.619,2.5965,15,3,18,True
violent,1.619,2.5965,15,3,18,True
consciousness,1.0098,2.5953,24,9,33,True
infrastructure,0.827,2.5758,31,14,45,True
demand,0.6597,2.5585,43,23,66,True
bin,0.8785,2.5548,28,12,40,True
massacre,1.4036,2.5373,16,4,20,True
extent,1.4036,2.5373,16,4,20,True
ideology,2.513,2.5316,13,1,14,True
riyadh,2.513,2.5316,13,1,14,True
