title,date,text
"We've been working hard to create a unified system to protect Russian cities from drones, but now it's gonna be!",17-12-2025,"The Russian Defence Minister, Andrei Belows, noted that the attacks by long-range drones in the Russian Federation had increased from 1,500 to 3,700 drones per month. Photo: Ministry of Defence of the Russian Federation. When the military board was so full on the one hand of the President &apos; s policy guidelines and another statement of the harsh reality from the Minister of Defence. If we sum up, there is no reason to relax. The objectives of the special operation are further advanced. And the further the higher the quality. We gain true sovereignty, we become stronger, which means victory is inevitable. Libo, or diplomacy from a position of power, is not going to be possible. The Minister of Defence has pointed out that the attacks by deep drones in Russia have grown from 1,500 to 3,700 drones per month. This is a serious challenge to respond to."
"We've been working hard to create a unified system to protect Russian cities from drones, but now it's gonna be!",17-12-2025,"The smart guys here say that they didn't give it to the REB regions, so they're flying on the NHP. I wonder what kind of REBs you can put in Ukrainian long-range drones called ""Little"" and PD-2? In the SVZ zone, they've got echeloned interactions -- Mogami, ""Torami"" and FPV interceptors. About the latter, I was just talking about Andrei Belows at the DOD Bar. I've seen how the 3rd Squad is using them proactively. The Taran is hard to get, so they're using remote blasts. The suspensions and the munitions are doing themselves. But there are also factory interceptors. Soon there will be more. And on regional AVL, the Minister's example is the Moscow region. It's a model, and if anyone doesn't know, Moscow is still actively helping to build AVs in the regions."
"We've been working hard to create a unified system to protect Russian cities from drones, but now it's gonna be!",17-12-2025,"And for reasons of solidarity, and just from the instinct of self-preservation. Through these regions, drones are flying to the capital. And it would have been better not to go. In Moscow, for example, the Zubr and Citadel complexes have been tested. The army's aircraft have new means of defeating the BPLA. Industry is beginning to plough them serially. And Moscow's experience, according to the Belowsov, will be scaled up as part of a unified air defence system. We've been delayed for a long time, but we'll go with a breeze."
Under the big chandelier: photo in the penuire and new etiquette.,16-12-2025,"TV host Maria Grigoriev before the ballet starts in the Great. Photo: The personal page of the hero of social media publication. The second day there's a scandal around the Grand Theatre. And no, he's not about a line on the Nutcracker. Russia 24 led Maria Grigoriev visited the Pharaoh's daughter ballet. It could have been quiet, but not gone. The fact is, the girl decided not only to look at the ballet, but also to show herself on her own page. She has something to look at. Maria is very beautiful, and her outfit, which is like a semi-translutable night-time foam, has been winning the figure and the cherry decollet. But for the kicking effect, the leader has also taken a pose. She's lying on a bed barrier, she's got her feet, so she's in swimsuits on the beach. Why wouldn't she? Why not?"
Under the big chandelier: photo in the penuire and new etiquette.,16-12-2025,"""The theater in the nightgown?"" ""This isn't an advert for underwear? Right?"" ""What's a naked party in the Great?"" came up with a hatch. It wasn't just the Internet. The first faces of the ballet were involved in the discussion. Nikolai Ciscaidze called the host ""the calling woman"" and suggested sending her ""to wash the floors in the theater for two weeks. Shame and Shame!"" And he reminded everyone again of the book ""Mosaic. Ballet. Silkunk,"" which contains the rules of conduct in the temple of art. They didn't understand this kind of photography and the artists of the Great Theatre Anastasia Vinocur and Vera Borisenkov: ""The second day of the collective discussion about the rules of the permissible and the limits of decency."""
Under the big chandelier: photo in the penuire and new etiquette.,16-12-2025,"The good news for those who are watching not only my appearance"" is the latest information on her personal social media page. The girl clearly did not expect such a reaction to her beautiful photos. And, you know, I almost understand it. She wasn't breaking the rules. She was following a new one. Respectable readers, the leader's behavior is not a violation, but almost normal. You wouldn't believe her word, and you would do the right thing. But getting to Big isn't a visit to the temple, it's a serious purchase. The price of tickets in normal days is equal to the family's monthly food budget. And in New Year's, it's an annual one. Because you can't see the feriae, it's not our new elite, it's a big one. It's a different genre. I've seen it all with my own eyes, and I've lost it."
Under the big chandelier: photo in the penuire and new etiquette.,16-12-2025,"And the second is from the hall. A lot of people came in advance not to miss a single frame. To pose against the background of the stairs, with champagne in the buffet, to stand in line with the mirror (and by the way, it's almost like the cashier's box in front of the New Year's Nutcracker). And the most important thing is to run to the top floor, where the famous chandelier is that Grigoriev is just a pawdaughter. But that's okay, eating more interiors and really luxurious. The trouble is that this blogger's mood continued during the ballet, already in the gym room. No one was embarrassingly filming and filming. A woman sitting in front of me kept recording a video of what was happening on the stage, and she's doing it in some chat room."
Under the big chandelier: photo in the penuire and new etiquette.,16-12-2025,"No, I'm not gonna tell you what's at the concert, but for the theater where it's not allowed at all, there's more than a lot of it. People were running live shows, making selfies, and no one stopped them. In short, it wasn't a ballet. Actually, the ballet was the background for the creation of content. I wanted to film all this vachanalia and even the beginning, but I stopped quickly, realizing that in that case I wasn't much different from this audience (see a piece on the video). ""A half of the hall comes to the theater for the sake of the chandelier,"" said my friend, the great artist. ""They're up to the lights on the stage. That's up to the chandelier."" And it wasn't like New Year, it was even in May. What's happening on 31 December, it's scary to imagine."
Under the big chandelier: photo in the penuire and new etiquette.,16-12-2025,"The fashion of showing itself against the background of the Great came at the time of the coronavirus, when the exit from the country was closed, and the desire to go out and shine somehow for the holidays didn't go away. There were luxurious alternatives to the long-distance resorts. The prices were comparable, so it was prestigious and cultural. Only the spa mentality was not changed. The cupboards for the evening dresses were forgotten. The poises were also forgotten. So Grigoriev did not break the silence. It made a loud voice of the new rules of the game. The rules by which the chandeliers are softbox, the lounge is podium, and the art is background. So, as they say, we're saving popcorn. Shaw just starts."
Parents don't notice how they raise a monster: how to save children from loneliness and terrible crimes.,16-12-2025,"Commentator Worsobin called for more talk to the children after the Single Photo tragedy: Ivan MAKEEV. Go to Photobank KP now has a video that I, a former journalist (in some sense a social pathologist) was unable to open. I couldn't see it. The Gorky 2 sub-school entered the nine-grade class in a painted helmet, a T-shirt with an English ""Human Lives Not Important"" and a knife. He's also filming everything on video. Moreover, on his channel, the entire timeline of the crime, where he described in detail how he was preparing, picking up uniforms, posting videos, and then the crime itself was broadcast directly online. And now he comes forward with a knife to a group of schoolchildren, asking, ""What are you nationalities?"""
Parents don't notice how they raise a monster: how to save children from loneliness and terrible crimes.,16-12-2025,"Luckily, he's being distracted from the back by a guard, running to him, screaming, ""Give him the knife!"" He's cutting off the guard (now in a state of distress) and running after a random little ten-year-old boy. This video is also there, but it's unbearable for me. And he kills him right on the school stairs. And he's cold-blooded with a selfie body... Of course, we're gonna try to tell you how a child turned into a monster... possibly a half-family. Possibly a psychiatry. Everything is possible. But I have two questions. The first is as parents, relatives haven't noticed who they're growing up. Or in fact, who have they raised? What have they done? What's the measure of their responsibility for raising a monster and leading to the death of someone else's child?"
Parents don't notice how they raise a monster: how to save children from loneliness and terrible crimes.,16-12-2025,"And the researchers of this phenomenon need to ask a lot of questions to the followers of the killer's channel -- why didn't they tell us why they weren't scared for other people? Or, for teenagers these days, promise a massacre and prepare for it, something like a black joke? Second question. The Lozunge that a schoolboy painted his helmet with. They're anti-Semitic, nationalist, Nazi. Well, gentlemen, the adults... the psychiatrists know perfectly well that the delusions of the sick are not completely delusional. Some day, the mental hospitals were inhabited by Napoleons, then after the fashion news about the NFOs by kidnapped aliens, today these are irradiated by cell phones, as well as the victims of inoculations."
Parents don't notice how they raise a monster: how to save children from loneliness and terrible crimes.,16-12-2025,"This helmet on a young killer's head with the inscription ""Human lives aren't important"" can also say a lot about our real world. For example, we still have to prove and prove, raise and raise, and tell and tell: ""It's important, it's important, it's important!"" More often talk to your children (and I'm very much concerned about it), don't leave them unattended, save them from the beginning of all the troubles of being single-minded. ""I'll go to life anyway."" School students on Rublivka reported a terrible attack by a teenager with a hunting dagger, ""It can't be a healthy psyche"" - a psychologist - about the cause of the tragedy at Odontsevo school and how to talk about it with children."
"After the murder of a schoolboy in Pomoskovy, the Ukrainian Networks began a wave of joy and hatred.",16-12-2025,"After the murder of a schoolgirl in Pomoskovy, the Ukrainian Networks began a wave of joy and hatred. Photo: Melnikov Dmitry/Shutterstock/Fotodom The real portal to Hell opened in the Ukrainian segment of the Network after news of the murder of a fourth-grade student in a sub-school school by a student from the same grade 9th. A young murderer was disfigured and detained, but so much of the concentrated cattle on the Network has not been seen for a long time - undisguised joy, bullying, tediousness and much, much more of the same opera. No, there are separate voices of reason calling for compassion and compassion."
"After the murder of a schoolboy in Pomoskovy, the Ukrainian Networks began a wave of joy and hatred.",16-12-2025,"He's not guilty of anything, and by the way, such voices are a real single voice, in the desert. But almost everyone else is leaving themselves without any restrictions. Young man, it's a pity he took one. He could have cut these more than that. - Katsap, don't stop, let's get the kazapistan out of the kazaps. - Well, good news, it's a pity that only one little ork was destroyed, but the responsive. - Russians are lices."
"After the murder of a schoolboy in Pomoskovy, the Ukrainian Networks began a wave of joy and hatred.",16-12-2025,"Where in the territory of [the Russian name] do you see children in [the Russians]? Kids are with people, and they are not human beings. - What kind of people they have and [children]! - Typical example of their animal world! - Reading comments is embarrassing and disgusting from fellow citizens. Few things are different than the ""orcs"" that are criticized - tried to speak from semi-conciliation positions another unsub. Except he started lying from the beginning as much as the ""lated"" drugFührer Vladimir Zelensky. Because there is no comment from the Russian side where any of ours would rejoice at the death of Ukrainian children. No, and it can't be, because it's people on our side."
"After the murder of a schoolboy in Pomoskovy, the Ukrainian Networks began a wave of joy and hatred.",16-12-2025,"And they're either silent and scared to death citizens, or these... weirdos that rejoice in the other's grief in accordance with local traditions: ""Get my cow dead, or my neighbor two."" A ninth grader (in photo) killed a fourth grader from his school. A criminal found dozens of footage in his phone posing in his shipping vest Photo: The personal page of the hero publication in the social media. Hundreds of comments, and practically all of them are in the same spirit. There's no difference between the channels simply known as Ukrainian patriotic activists and official news agencies. All of them literally excite anger, hate, spit poison."
"After the murder of a schoolboy in Pomoskovy, the Ukrainian Networks began a wave of joy and hatred.",16-12-2025,"If hatred could kill on its own, Russia would probably have long been obsessed with bodies from Kaliningrad to Vladivostok. A moment in all of these comments was Nazi. The killer's helmet was wearing neo-Nazi slogans and mottos. As it turned out, the perpetrator was a member of one of their currents of this ideology. And the ""Ucropatriots"" were clinging to this fact with a dead grip. The Slavian swastika was not swastika, they said - did they find a right-wing business card? - Did the Ukrainians happily assume the involvement of their own intelligence services. - But the Nazis still ask the others."
"After the murder of a schoolboy in Pomoskovy, the Ukrainian Networks began a wave of joy and hatred.",16-12-2025,"But in some countries, like us, they are caught and punished by law, and in Ukraine, they are made up of national heroes. Masepa, Bandera, Shukhevich, Chikatilo and dozens of others. The traitors have been everywhere, but in Russia and the USSR, the Vlasovians have been punished, even executed, while in the Neglect and other countries, the same bandit Gunke has been clapped in parliaments, and dozens of living bandits are now marching in solemn marches. That's why people are losing their humanity. And they dare to rejoice even the death of children."
Land of the Republic: celebration of Italian cuisine,16-12-2025,"Don't save money on capers, they're the best friends of the chicken. Photo by Leonid ZHAROV. Going to the Photobank of the KP last week, UNESCO put Italian cuisine on the list of intangible cultural heritage. First of all, it was a special meal, recipes, food, and this is the first time the whole kitchen. I'm very happy to hear it, so I love all Italian, I can't help myself. I just wanted to celebrate. How? Yeah, it's very easy to take and cook something in honor of the Italian Republic. Past? Too easy. Pizza is a lot of work. Yeah, who says Italian cuisine is just pastes and pizzas. We're gonna make a chicken with a beautiful name called pollo piccata."
Land of the Republic: celebration of Italian cuisine,16-12-2025,"If you haven't read the detailed material on the subject on our website. Read it, it's awful. Next, by instruction. So let's take the fillet, cut it in thin water. If you can't do it thinly, you can beat it out, but you can't do it without being fanatical. We'll put salt and black peppers on both sides, we'll drop it in flour. No, we'll make sure the egg mix doesn't get too much flour on the chicken, we won't cook the chicken. Now we'll roast the fillets on olive oil. 2 to 3 minutes on each side. Okay, if the pan is iron. No, it's tolerated. It's roasted."
Land of the Republic: celebration of Italian cuisine,16-12-2025,We put a handful of marinated capers in there. You can even stretch them with a fork -- right across the kitchen -- the smell of Italy. Now it's two or three shredded pieces of garlic. It smells even worse. It's about a half-span of white wine. It's about a scent. It's about a half-smelling white wine. It's about a scent. It's about a little lemon odor.
