,title,date,text
0,"Russia, eternally offended by the West: why it cannot become part of civilization","December 18 2025, 09:22","Putin said with resentment that Russia, after the collapse of the USSR, never became an equal part of the West, although there were hopes for this. Okay, let's be serious: why should Russia have become an EQUAL part of Western civilization in the first place? Could Russia have produced unique computers or chips in 1991? No. Could Russia, as of 1991, have established a powerful automotive industry that would have flooded world markets? No, that's not it either. Perhaps Russia had a culture that was thousands of years old – unique and one that provided a foundation for humanity? Well, like the Greek philosophers, the Reformation, German idealism, the great French and American revolutions – and more, and more, and more. No, not at all. The USSR in 1991 was a deeply derivative state, where 90% of technologies were copies from the West: from military equipment to computers and cars. So why should Russia become part of the West? Just because it has nuclear weapons? Well, Pakistan has them too. So what? I was always annoyed by this resentment and the desire of Russians to get in, not based on status or level, but just so they would also be allowed into the club. Or, as Putin himself has said on numerous occasions, ""the golden billion."" But the West became what it is not because it was given it for free, but because behind it lie thousands of years of suffering and endless bloody meat grinders (the religious wars of Europe alone are worth mentioning). Because it is thousands of years of hellish labor, work ethic, constant searching, questioning, sacrifices, and unreal suffering. These are the greatest revolutions and the greatest discoveries; these are breakthroughs in philosophy, culture, and science. 80–90% of everything we use today is the fruit of Western civilization. This is neither good nor bad—it's just a fact. And the rest do not claim to be admitted to this club: China is going its own, separate way, it is itself a millennia-old civilization with its own great achievements. The Muslim world also does not claim to be part of the West – at most, it seeks partnership or allied relations. But for some reason, only Russia, ever since the time of Peter the Great, has been trying to get closer to the West – and has been doing so for hundreds of years, like a monkey, blindly copying. Do they shave their beards there? We will shave ours too. Do they wear camisoles and tricorn hats there? We will too. Do they study this and that there? We will too. Everything is as thoughtless as possible – a simple copying of the form without an attempt to understand the content and essence. At the same time, the Russians have incredible potential – some of the richest resource reserves on the planet. It would seem that instead of spending them on senseless wars and enriching their princely clans, they should improve themselves to start producing a unique and IRREPLACEABLE product. Just like tiny Japan or Taiwan do. And then Russia wouldn't have to whine about not being accepted into the West: the West itself would have taken it, guts and all, and integrated it. The gas station country demands that it be given a place under the sun in the top club. The world doesn't work that way. It never has, and it never will. Nothing is ever given for free, anywhere — never, nothing, and nowhere. Original"
1,"""Insolvency threat"": a negative but life-saving signal for business","December 17 2025, 09:23","Deterioration of financial performance or the emergence of negative circumstances can cause a crisis at the enterprise and the loss of the ability to fulfill monetary obligations to creditors, i.e., lead to insolvency (bankruptcy). In most cases, before bankruptcy occurs, an enterprise may be in a state of ""threat of insolvency"" (threat of bankruptcy) for some time, during which it can take measures to improve its business activities and prevent fatal consequences. Although a company being at risk of bankruptcy is a negative situation, its timely detection gives management a chance to apply anti-crisis measures. What is the difference between a ""threat"" and insolvency (bankruptcy)? From 01.01.2025, the legislator provided a clear definition of the concept of ""threat of insolvency"", thereby distinguishing it from the concept of ""insolvency"", which was not the case before 01.01.2025. Read the full article with a LIGA PRO subscription           Already have LIGA PRO? Log In  

                                opinion.informer.text                            

                                Articles published in the ""Opinions"" section reflect the point of view of the author and may not reflect the position of the LIGA.net editors"
2,YouTube is moving to crypto: what creators should expect,"December 16 2025, 19:26","In December 2025, the video hosting service YouTube launched A new payment option for authors in the US: they can now receive their payments in PayPal's stablecoin. The news has sparked interest among content creators, as it opens up new opportunities for fast and convenient payments, and can also significantly facilitate the monetization of their work. Previously, YouTube did not use cryptocurrencies, but now the situation may change. It is important to understand whether YouTube will continue to develop cryptocurrency solutions and what impact this will have on creators. Integrating stablecoins into YouTube Now, creators in the US can receive payments in stablecoins (a cryptocurrency with a stable 1:1 exchange rate to fiat money, usually the US dollar) from PayPal (PYUSD). It's important to note that the platform itself does not directly work with cryptocurrency. All technical and operational support is handled by PayPal, which acts as an intermediary between YouTube and users. This change affects one of the largest sources of regular payments to creators in the media industry. Over the past four years, YouTube has paid out to the authors over $100 billion. Read the full article with a LIGA PRO subscription           Already have LIGA PRO? Log In  

                                opinion.informer.text                            

                                Articles published in the ""Opinions"" section reflect the point of view of the author and may not reflect the position of the LIGA.net editors"
3,Marketing vs. PR: Five Rules for Effective Interaction in Business,"December 16 2025, 17:27","In business, the idea that marketing and PR perform the same functions is still widespread. At first glance, this may seem to be the case, because ultimately the task of all business units is to develop it by increasing profits. However, this approach is flawed and risky. After all, the task of marketing is to deliver quick and visible business results ""here and now"", while communications play the ""long game"", building trust and brand reputation in the long term. It is these intangible assets that become crucial in crisis situations, and ignoring them comes at a high cost to businesses. Those owners who understand the difference between these two business functions will always come out ahead, forming a strong foundation for growth. What exactly threatens a business when it confuses PR and marketing? Personnel confusion People with a ""marketing mindset"" who don't understand the specifics of working with trust, contexts, and values end up in PR. A telling example was Pepsi's 2017 campaign with Kendall Jenner: the company tried to use social protest as a marketing tool, but without a deep understanding of the context, this led to a scandal. The advertisement was perceived as devaluing the Black Lives Matter movement, and within a day, Pepsi was forced to pull the ad and apologize, suffering serious reputational damage. Toxic Marketing Without a PR strategy, marketing starts to ""drive"" the customer into sales: more and more promotions, more promises, more pressure. This is how consumer fatigue is formed. Read the full article with a LIGA PRO subscription           Already have LIGA PRO? Log In  

                                opinion.informer.text                            

                                Articles published in the ""Opinions"" section reflect the point of view of the author and may not reflect the position of the LIGA.net editors"
4,"Once again, a world first. Once again, we are proving that we can win this war","December 16 2025, 09:25","Ukraine can win this war. Periodically, we remind ourselves and the whole world of this. This time again. It is very important to remember that we actually surpass the Russians in ingenuity and creativity by an overwhelming margin. This is evident in tactics, operational art, and technology. We are successfully carrying out rapid offensive operations, while the Russians are not. With sudden and precise strikes, we recaptured the Kharkiv region, Kherson, entered the Kursk region, and recently pushed back the enemy near Kupyansk. In contrast, the Russians' offensive is a primitive squeezing of us out with mass, with corpses. We are more inventive in technology. We were the first to introduce small drones for reconnaissance, FPV for striking, unmanned marine vessels for destroying the enemy's fleet, and agricultural drones for bombing. Yes, the Russians are more systematic and scale better. Because their entire state, local and federal authorities, oligarchs, and corrupt officials are working for the war. In our country, none of these categories are fully engaged. For us, the defense of the Motherland is the concern of the military. And yet, we hold on. And so, it seems we have used powerful underwater drones. Again, there are no analogues to this operation, again, it's a world first! To once again emphasize our dominance over the Russians in the Black Sea. To once again remind ourselves and everyone that we can win this war. The Russians are using the most primitive approaches. They are pushing forward, using people as biofuel. They launch missiles and drones at our energy infrastructure every day, without any effect on the war. They have very few results, but it all happens every day and works like hypnosis. They hypnotize themselves and the world with their biological mouths and ""shaheds"" — in hypnosis, it seems, what matters is not quality, but quantity, duration. Any observer aware of the realities of war understands that all territorial gains by the Russians are worth very little. We are capable of nullifying them with our offensive operations. We are capable of balancing the pressure on our rear with strikes on Russian military and energy infrastructure. We have only one thing left to do. We must invent a set of technologies and tactics to stop the Russian infantry assault. And then we will win. When the Russians stop advancing, when they stop, they will lose faith, and their overstrained imperial machine will crumble. Prigozhin's rebellion once revealed (but did not use) a secret: Russia is empty and weak inside. Ukraine is capable of winning this war. Original"
5,"Jared Kushner – son-in-law, advisor, negotiator, and business partner. What should we expect from him?","December 15 2025, 19:21","It's always better to work with people you know and respect. It's convenient, it's beneficial, and it lays a good foundation for cooperation. However, problems arise when your acquaintance and mutual respect become the only parameters for determining the necessity of this person at work. Then it's not about convenience and cooperation, it's about nepotism in its most blatant form. Especially if, say, a young real estate developer suddenly starts dealing with an election campaign, the response to the coronavirus pandemic, the settlement of the conflict in the Middle East, and, starting this year, even negotiations between Ukraine and Russia. Like it or not, Kushner – and it is precisely him we are talking about – holds a prominent position in the Trump administration, and in many ways, the US position in the current negotiations and the final version of the American ""peace plan"" depend on how we work with him. Therefore, it is worth understanding who Jared Kushner is, how he built his career, and what approaches he uses in resolving matters. The Crown Prince of Fifth Avenue: The Genesis of a Gray Eminence Jared Kushner's story is not just a chronicle of the presidential son-in-law's ascent to the pinnacle of American power. It is a classic saga of loyalty, revenge, and dynastic survival, more reminiscent of the plot of the series ""Succession"" than a traditional political biography. Read the full article with a LIGA PRO subscription           Already have LIGA PRO? Log In  

                                opinion.informer.text                            

                                Articles published in the ""Opinions"" section reflect the point of view of the author and may not reflect the position of the LIGA.net editors"
6,How to avoid Budapest-2: what real security guarantees should include,"December 15 2025, 09:38","We are told that Donald Trump, in the event of the acceptance of Russian demands (even those edited by the American side), promises Ukraine security guarantees that will be written ""similarly to Article V of the Washington Treaty."" I want to state with full responsibility that Article 5 of the Washington (or rather, the North Atlantic) Treaty, like any other article of this international treaty, is meaningful only with the implementation of the ENTIRE treaty, that is, by ensuring Ukraine's membership in NATO. Similarly, Ukraine cannot invoke Article 42(7) of the Treaty on European Union, which stipulates that in the event of an armed attack on a Member State of the European Union, other Member States are obliged to provide it with assistance and support by all possible means, in accordance with Article 51 of the Charter of the United Nations, until Ukraine becomes an EU member. A corresponding article in bilateral agreements can only be effective if the US Congress signs and ratifies an alliance treaty between Ukraine and the US, i.e., a treaty that would provide for the US's involvement in a war against an aggressor in the event of a threat to Ukraine's territorial integrity and sovereignty. Ukraine must also be prepared for mutual obligations. That's the only way. Everything else is BUDAPEST-2, or just an imitation of security guarantees. We can't make the same mistake again! Original"
7,"The End of the Illusion: Humanity Reimagines Identity, Democracy, and the Role of the Global South","December 12 2025, 19:43","Right now, humanity is undergoing another reevaluation of all values, where the illusory peace from the final understanding of ""good"" and ""evil"" has been replaced by uncertainty about whether justice even exists. This reevaluation is caused by several discoveries. First, it turned out that democracy is not yet the end of history. There can be countries without a hint of democracy, but at the same time with stable economic growth. In the 1990s, it was believed that wealth was synonymous with democracy, because the mythical ""middle class"" was supposed to push their own countries to protect rights and freedoms. But now the ""middle class"" in many countries simply remains silent if there is an opportunity to just make money. Secondly, the Global South is becoming an influential factor in world politics, as former colonies can dictate terms to their historical metropolises. At the same time, resources and technologies are becoming available to everyone, even to those who were on the periphery yesterday. And this is at least an arithmetic majority of humanity. Therefore, the golden billion turned out to be made of tinfoil. Thirdly, the Global South itself is becoming a very complex macro-world. Battles, clashes, and alliances are taking place there as well. And all this against the backdrop of access to the latest technologies and the opportunity to choose very different paths of development – in the context of a re-evaluation of all values. By the way, fourthly, there is identity. Currently, the strongest identities are those that until recently seemed archaic. Emotionally charged ""ethnicity,"" ""religion,"" and ""culture"" are becoming stronger than rationally substantiated ""class"" or ""party affiliation."" And this is not only alarming but also makes one think that we do not know everything about the depths of our own human nature. Finally, time itself is changing. It is now developing not in an upward direction, but along a steep parabola, where the events of each year of our lives are compressed into meanings, technologies, and innovations, the comprehension of which previously took decades. But times of change are not all bad. The world is becoming brighter, more complex, and richer for us. In the end, everything will be fine. And the faded flags will be replaced by new, bright standards. Original"
8,Why Ukraine isn't getting a loan backed by Russian assets – in simple terms,"December 12 2025, 17:35","Why Euroclear is against the reparations loan (a technocratic analysis without emotional overtones). There is a frozen asset – Russian sovereign assets. It is proposed to issue a loan against them, with the expectation that the debt will then be repaid from future revenues. If something goes wrong, the Russian money will serve as collateral. A structure emerges where a real asset becomes the basis for a new debt, which begins to live separately from the asset itself. In a standard situation, collateral reduces risk. But in the case of Russian assets, on the contrary, it increases these risks – no one knows what will happen to the asset in one, two, or three years, how peace negotiations will go, post-war trials, disputes about sanctions/reparations, and so on and so forth. After the war ends, Russia may try to recover these funds through international courts. And it cannot be said that the probability of recovery is zero (to put it mildly). The U.S. is also counting on this money for reconstruction projects in Ukraine, as we can see from the ""Trump plan."" As a result, the future of the asset itself is extremely unclear. If the reparations loan scheme is approved and then the pledged asset proves to be unavailable, Belgian Euroclear will be left with the liabilities. This is a very large depository through which government securities and assets of European countries pass. In case of default, the entire financial infrastructure of the EU will be at risk (which is why the ECB is against a reparations loan backed by frozen Russian sovereign assets). There is no need to think long about who pays out of their own pocket for the failure of such schemes – we know the answers. Too big to fail and further austerity measures for hundreds of millions of Europeans. Original"
9,Ten typical use cases for AI tools,"December 12 2025, 09:17","1. Are you an expert on the issue and know what the end result should be? Delegate everything to AI as much as possible. 2. Not sure what the result should be? Try several options, tools, and ask the AI to compare the results. Try the ""critic mode"" for AI-generated content. Ask it to improve the result. 3. Not an expert on the subject? Try ""researcher mode,"" ""search mode,"" or ""deep dive mode."" Don't publish AI-generated results until you've verified all the facts. 4. Are you translating? Do you work with content? Make sure the text doesn't contain any template words, phrases, or template structures. Make sure the terms are translated correctly (or better yet, provide these definitions in the prompt). Specify the style. Add ""don't use clichés, marketing bullshit,"" indicate the style and format preferences. 5. Do you work on tasks that require analytical work? Force-enable ""reasoning mode."" 6. Need information from verified sources? Use custom GPTs or integrations with data sources. 7. Medicine? Symptoms? AI is only for superficial analysis and basic information. 8. Law? Laws? Clarification of legislation? Use direct links to the texts of the laws and write a super-detailed prompt with all the nuances. Don't forget to consult with specialists afterwards. 9. Do you work with sensory data? Activate Microsoft 365 Copilot, Gemini for Google Workspace. In simple terms, use copilots that are built on top of your main platform. 10. Automation? Start by describing the business process. Believe me, you'll learn a lot about it while you're writing. In the end, you might even rewrite it, discard it, or significantly simplify it. That's when you can add AI. Original"
